symbol,old_sector,old_industry,new_sector,new_industry,classification_changed,reason,confidence
20MICRONS,PHARMACEUTICALS,API & Bulk Drug Intermediates,MINING & MINERALS,Industrial Minerals,True,Reclassified from legacy 'PHARMACEUTICALS / API & Bulk Drug Intermediates' to clean economic model 'MINING & MINERALS / Industrial Minerals',HIGH
21STCENMGM,PROFESSIONAL & BPO SERVICES,"Staffing, Facility & Security Services",CAPITAL MARKETS,Stockbroking & Wealth Management,True,"Reclassified from legacy 'PROFESSIONAL & BPO SERVICES / Staffing, Facility & Security Services' to clean economic model 'CAPITAL MARKETS / Stockbroking & Wealth Management'",HIGH
360ONE,CAPITAL MARKETS,Wealth Management & Financial Advisory,CAPITAL MARKETS,Stockbroking & Wealth Management,True,Reclassified from legacy 'CAPITAL MARKETS / Wealth Management & Financial Advisory' to clean economic model 'CAPITAL MARKETS / Stockbroking & Wealth Management',HIGH
3BBLACKBIO,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,HEALTHCARE SERVICES,Diagnostic & Pathology Labs,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'HEALTHCARE SERVICES / Diagnostic & Pathology Labs',HIGH
3IINFOLTD,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
3MINDIA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL GOODS & MACHINERY,Industrial Abrasives & Ceramics,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL GOODS & MACHINERY / Industrial Abrasives & Ceramics',HIGH
3PLAND,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FINANCE & NBFC,Diversified Consumer & MSME NBFC,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FINANCE & NBFC / Diversified Consumer & MSME NBFC',HIGH
5PAISA,NBFC & LENDING,Corporate & Specialized Lending NBFCs,PHARMACEUTICALS,API & Bulk Drugs,True,Reclassified from legacy 'NBFC & LENDING / Corporate & Specialized Lending NBFCs' to clean economic model 'PHARMACEUTICALS / API & Bulk Drugs',HIGH
63MOONS,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
A2ZINFRA,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Building Construction,AUTO ANCILLARIES,Precision Auto Engine Components,True,Reclassified from legacy 'CONSTRUCTION & INFRASTRUCTURE / Civil & Commercial Building Construction' to clean economic model 'AUTO ANCILLARIES / Precision Auto Engine Components',HIGH
AAATECH,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
AADHARHFC,NBFC & LENDING,Housing Finance Companies (HFC),FINANCE & NBFC,Housing Finance (HFC),True,Reclassified from legacy 'NBFC & LENDING / Housing Finance Companies (HFC)' to clean economic model 'FINANCE & NBFC / Housing Finance (HFC)',HIGH
AAKAAR,COMMERCIAL TRADING,Wholesale Commodity & Industrial Distribution,METALS & FABRICATION,Precision Metal Fabrication,True,Reclassified from legacy 'COMMERCIAL TRADING / Wholesale Commodity & Industrial Distribution' to clean economic model 'METALS & FABRICATION / Precision Metal Fabrication',HIGH
AAKASH,OIL & GAS,Upstream Oil & Gas Exploration (E&P),OIL & GAS,Oil & Gas Exploration (E&P),True,Reclassified from legacy 'OIL & GAS / Upstream Oil & Gas Exploration (E&P)' to clean economic model 'OIL & GAS / Oil & Gas Exploration (E&P)',HIGH
AARADHYA,COMMERCIAL TRADING,Wholesale Commodity & Industrial Distribution,STEEL,Steel Pipes & Tubes,True,Reclassified from legacy 'COMMERCIAL TRADING / Wholesale Commodity & Industrial Distribution' to clean economic model 'STEEL / Steel Pipes & Tubes',HIGH
AAREYDRUGS,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
AARNAV,RETAIL,Specialty Consumer Retail,TEXTILES,Garments & Apparel Exports,True,Reclassified from legacy 'RETAIL / Specialty Consumer Retail' to clean economic model 'TEXTILES / Garments & Apparel Exports',HIGH
AARON,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,CAPITAL GOODS & MACHINERY,Pumps & Compressors,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'CAPITAL GOODS & MACHINERY / Pumps & Compressors',HIGH
AARTECH,IT SERVICES,Mid-Tier IT Services & Digital Consulting,IT SERVICES,Mid-Tier IT & Digital Solutions,True,Reclassified from legacy 'IT SERVICES / Mid-Tier IT Services & Digital Consulting' to clean economic model 'IT SERVICES / Mid-Tier IT & Digital Solutions',HIGH
AARTIDRUGS,PHARMACEUTICALS,API & Bulk Drug Intermediates,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / API & Bulk Drug Intermediates' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
AARTIIND,CHEMICALS,Specialty Chemicals & Custom Synthesis,CHEMICALS,Specialty Chemicals,True,Reclassified from legacy 'CHEMICALS / Specialty Chemicals & Custom Synthesis' to clean economic model 'CHEMICALS / Specialty Chemicals',HIGH
AARTIPHARM,PHARMACEUTICALS,Finished Dosage Formulations,PHARMACEUTICALS,Finished Formulations,True,Reclassified from legacy 'PHARMACEUTICALS / Finished Dosage Formulations' to clean economic model 'PHARMACEUTICALS / Finished Formulations',HIGH
AARTISURF,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,FMCG & PERSONAL CARE,Personal Care & Soaps,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'FMCG & PERSONAL CARE / Personal Care & Soaps',HIGH
AARVI,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,PROFESSIONAL & CONSUMER SERVICES,Staffing & Security Services,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'PROFESSIONAL & CONSUMER SERVICES / Staffing & Security Services',HIGH
AASTHA,INDUSTRIAL MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,TEXTILES,Cotton Spinning & Yarns,True,Reclassified from legacy 'INDUSTRIAL MANUFACTURING / Specialized Industrial Tools & Engineering Supplies' to clean economic model 'TEXTILES / Cotton Spinning & Yarns',HIGH
