symbol,company_name,macro_sector,niche_subsector,business_segment,segment_tag,is_core_revenue,segment_description
AAKAAR,AAKAAR,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AARADHYA,AARADHYA,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
AATMAJ,AATMAJ,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ABGSEC,ABGSEC,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
ABHAPOWER,ABHAPOWER,Power Generation & Grid Utilities,"Thermal, Hydro Power Generation & Transmission Grid","Thermal, Hydro Power Generation & Transmission Grid",PRIMARY,1,"Core Operating Division: Thermal, Hydro Power Generation & Transmission Grid"
ABSL10BANK,ABSL10BANK,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSLBANETF,ABSLBANETF,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSLLIQUID,ABSLLIQUID,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSLMSCIN,ABSLMSCIN,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSLNN50ET,ABSLNN50ET,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSLPSE,ABSLPSE,Exchange Traded Funds (ETFs) & Index Funds,"Equity, Debt & Commodity Index Tracking ETFs","Equity, Debt & Commodity Index Tracking ETFs",PRIMARY,1,"Core Operating Division: Equity, Debt & Commodity Index Tracking ETFs"
ABSMARINE,ABSMARINE,"Logistics, Ports & Shipping","Express Logistics, Container Rail Freight, Ports & Marine","Express Logistics, Container Rail Freight, Ports & Marine",PRIMARY,1,"Core Operating Division: Express Logistics, Container Rail Freight, Ports & Marine"
ACCENTMIC,ACCENTMIC,Diversified Commercial & Trading Enterprises,"Commercial Trading, Wholesale & General Merchandise","Commercial Trading, Wholesale & General Merchandise",PRIMARY,1,"Core Operating Division: Commercial Trading, Wholesale & General Merchandise"
