symbol,industry,basic_industry,action
# Air Conditioners & AC Components (RAC OEM/ODM & Cooling Equipment)
PGEL,Consumer Durables,Air Conditioners & AC Components,SET
AMBER,Consumer Durables,Air Conditioners & AC Components,SET
VOLTAS,Consumer Durables,Air Conditioners & AC Components,SET
BLUESTARCO,Consumer Durables,Air Conditioners & AC Components,SET
EPACK,Consumer Durables,Air Conditioners & AC Components,SET
JOHNSON,Consumer Durables,Air Conditioners & AC Components,SET
SUBROS,Automobile and Auto Components,Air Conditioners & AC Components,SET
SYMPHONY,Consumer Durables,Air Conditioners & AC Components,SET

# High-Tech Electronics Manufacturing Services (EMS) & Components
DIXON,Consumer Durables,Electronic Manufacturing Services (EMS),SET
KAYNES,Information Technology,Electronic Manufacturing Services (EMS),SET
SYRMA,Information Technology,Electronic Manufacturing Services (EMS),SET
AVALON,Information Technology,Electronic Manufacturing Services (EMS),SET
CYIENTDLM,Information Technology,Electronic Manufacturing Services (EMS),SET
IKIO,Consumer Durables,Electronic Manufacturing Services (EMS),SET
CENTRUM,Consumer Durables,Electronic Manufacturing Services (EMS),SET
VINDHYATEL,Information Technology,Electronic Manufacturing Services (EMS),SET
DCXINDIA,Capital Goods,Electronic Manufacturing Services (EMS),SET

# Water & Wastewater Treatment EPC & Equipment
WABAG,Construction,Water & Wastewater Treatment,SET
VA_TECH_WABAG,Construction,Water & Wastewater Treatment,SET
IONEXCHANG,Construction,Water & Wastewater Treatment,SET
DENTA,Construction,Water & Wastewater Treatment,SET
EMSLIMITED,Construction,Water & Wastewater Treatment,SET
PRAJIND,Capital Goods,Water & Wastewater Treatment,SET

# Aluminium, Bauxite Mining & Metal Extrusions
NATIONALUM,Metals & Mining,Aluminium & Mining,SET
HINDALCO,Metals & Mining,Aluminium & Mining,SET
VEDL,Metals & Mining,Aluminium & Mining,SET
MANAKSIA,Metals & Mining,Aluminium & Mining,SET
MAANALU,Metals & Mining,Aluminium & Mining,SET
VAML,Metals & Mining,Aluminium & Mining,SET
MANAKALUCO,Metals & Mining,Aluminium & Mining,SET
HINDALUMI,Metals & Mining,Aluminium & Mining,SET

# Wires & Cables
POLYCAB,Capital Goods,Wires & Cables,SET
KEI,Capital Goods,Wires & Cables,SET
RRKABEL,Capital Goods,Wires & Cables,SET
FINCABLES,Capital Goods,Wires & Cables,SET
APARINDS,Capital Goods,Wires & Cables,SET
UNIVCABLES,Capital Goods,Wires & Cables,SET
RAMRAT,Capital Goods,Wires & Cables,SET
CORDSCABLE,Capital Goods,Wires & Cables,SET
PRECWIRE,Capital Goods,Wires & Cables,SET
BHARATWIRE,Capital Goods,Wires & Cables,SET
BANSALWIRE,Capital Goods,Wires & Cables,SET
DYCL,Capital Goods,Wires & Cables,SET
PLAZACABLE,Capital Goods,Wires & Cables,SET
DPWIRES,Capital Goods,Wires & Cables,SET
BIRLACABLE,Capital Goods,Wires & Cables,SET
KRITIKA,Capital Goods,Wires & Cables,SET
VETO,Capital Goods,Wires & Cables,SET
GEEKAYWIRE,Capital Goods,Wires & Cables,SET
