symbol,company_name,isin,sector,sector_id,industry,industry_id,industry_exposure_weight,sector_exposure_weight,classification_confidence,classification_source,classification_rationale,primary_business,business_description,effective_from,effective_to,last_verified,market_cap,index_membership
20MICRONS,20 Microns Limited,,MINING & MINERALS,SEC_MINING_MINERALS,Industrial Minerals,IND_INDUSTRIAL_MINERALS,1.0,1.0,HIGH,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'MINING & MINERALS' and Industry 'Industrial Minerals' based on core economic business exposure: Micronized industrial minerals, calcined clay, calcium carbonate and specialty functional additives.","Micronized industrial minerals, calcined clay, calcium carbonate and specialty functional additives.","20 Microns Limited specializes in micronized industrial minerals, calcined clay, calcium carbonate and specialty functional additives.",2024-01-01,9999-12-31,2026-08-23,3326.25,NSE BROAD MARKET (EQ)
21STCENMGM,21st Century Management Services Limited,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Stockbroking & Wealth Management,IND_STOCKBROKING_WEALTH_MANAGEMENT,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'CAPITAL MARKETS' and Industry 'Stockbroking & Wealth Management' based on core economic business exposure: Capital market investments and wealth management.,Capital market investments and wealth management.,21st Century Management Services Limited specializes in capital market investments and wealth management.,2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
360ONE,360 ONE WAM LIMITED,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Stockbroking & Wealth Management,IND_STOCKBROKING_WEALTH_MANAGEMENT,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL MARKETS' and Industry 'Stockbroking & Wealth Management' based on core economic business exposure: Equities broking, algorithm trading and wealth advisory.","Equities broking, algorithm trading and wealth advisory.","360 ONE WAM LIMITED specializes in equities broking, algorithm trading and wealth advisory.",2024-01-01,9999-12-31,2026-08-23,73065.5,NSE BROAD MARKET (EQ)
3BBLACKBIO,3B Blackbio Dx Limited,,HEALTHCARE SERVICES,SEC_HEALTHCARE_SERVICES,Diagnostic & Pathology Labs,IND_DIAGNOSTIC_PATHOLOGY_LABS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'HEALTHCARE SERVICES' and Industry 'Diagnostic & Pathology Labs' based on core economic business exposure: Molecular diagnostics and PCR diagnostic test kits.,Molecular diagnostics and PCR diagnostic test kits.,3B Blackbio Dx Limited specializes in molecular diagnostics and pcr diagnostic test kits.,2024-01-01,9999-12-31,2026-08-23,2734.88,NSE BROAD MARKET (EQ)
3IINFOLTD,3i Infotech Limited,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT & Digital Solutions,IND_MID_TIER_IT_DIGITAL_SOLUTIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","3i Infotech Limited specializes in mid-sized it software consulting, cloud integration, agile application development and cybersecurity.",2024-01-01,9999-12-31,2026-08-23,671.88,NSE TRADE-TO-TRADE (T2T)
3MINDIA,3M India Limited,,CAPITAL GOODS & MACHINERY,SEC_CAPITAL_GOODS_MACHINERY,Industrial Abrasives & Ceramics,IND_INDUSTRIAL_ABRASIVES_CERAMICS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'CAPITAL GOODS & MACHINERY' and Industry 'Industrial Abrasives & Ceramics' based on core economic business exposure: Industrial adhesives, abrasives, healthcare and optical reflective products.","Industrial adhesives, abrasives, healthcare and optical reflective products.","3M India Limited specializes in industrial adhesives, abrasives, healthcare and optical reflective products.",2024-01-01,9999-12-31,2026-08-23,6645.12,NSE BROAD MARKET (EQ)
3PLAND,3P Land Holdings Limited,,FINANCE & NBFC,SEC_FINANCE_NBFC,Diversified Consumer & MSME NBFC,IND_DIVERSIFIED_CONSUMER_MSME_NBFC,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'FINANCE & NBFC' and Industry 'Diversified Consumer & MSME NBFC' based on core economic business exposure: Digital consumer financing, personal loans, SME business loans and retail credit cards.","Digital consumer financing, personal loans, SME business loans and retail credit cards.","3P Land Holdings Limited specializes in digital consumer financing, personal loans, sme business loans and retail credit cards.",2024-01-01,9999-12-31,2026-08-23,200.0,NSE BROAD MARKET (EQ)
5PAISA,5Paisa Capital Limited,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Stockbroking & Wealth Management,IND_STOCKBROKING_WEALTH_MANAGEMENT,1.0,1.0,HIGH,HARDCODED_VERIFIED_FUNDAMENTAL,Classified into Sector 'PHARMACEUTICALS' and Industry 'API & Bulk Drugs' based on core economic business exposure: Chemical synthesis and global bulk supply of active pharmaceutical ingredients (APIs).,"5Paisa Capital — discount stockbroking platform, mutual fund distribution, digital wealth management, US stocks access",5Paisa Capital Limited specializes in chemical synthesis and global bulk supply of active pharmaceutical ingredients (apis).,2024-01-01,9999-12-31,2026-08-23,2300.12,NSE BROAD MARKET (EQ)
63MOONS,63 moons technologies limited,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT & Digital Solutions,IND_MID_TIER_IT_DIGITAL_SOLUTIONS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","Mid-sized IT software consulting, cloud integration, agile application development and cybersecurity.","63 moons technologies limited specializes in mid-sized it software consulting, cloud integration, agile application development and cybersecurity.",2024-01-01,9999-12-31,2026-08-23,45551.62,NSE BROAD MARKET (EQ)
A2ZINFRA,A2Z Infra Engineering Limited,,AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Precision Auto Engine Components,IND_PRECISION_AUTO_ENGINE_COMPONENTS,1.0,1.0,HIGH,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'AUTO ANCILLARIES' and Industry 'Precision Auto Engine Components' based on core economic business exposure: Precision automotive engine parts, engineered fasteners and structural stampings.","Precision automotive engine parts, engineered fasteners and structural stampings.","A2Z Infra Engineering Limited specializes in precision automotive engine parts, engineered fasteners and structural stampings.",2024-01-01,9999-12-31,2026-08-23,2939.62,NSE BROAD MARKET (EQ)
