Date,Rolling_Rank_IC,Rolling_Spread,Model_Health_Status
2024-04-29,-0.2837,-4.5,RED
2024-04-30,-0.2709,-4.4,RED
2024-05-01,-0.2433,-3.76,RED
2024-05-02,-0.2072,-3.23,RED
2024-05-03,-0.1764,-3.27,RED
2024-05-06,-0.143,-2.82,RED
2024-05-07,-0.102,-2.33,RED
2024-05-08,-0.0401,-1.21,RED
2024-05-09,0.0218,0.09,YELLOW
2024-05-10,0.0551,1.28,YELLOW
2024-05-13,0.0864,2.5,GREEN
2024-05-14,0.0979,2.71,GREEN
2024-05-15,0.0825,2.7,GREEN
2024-05-16,0.0723,2.73,YELLOW
2024-05-17,0.0618,2.75,YELLOW
2024-05-20,0.0615,2.87,YELLOW
2024-05-21,0.0605,2.96,YELLOW
2024-05-22,0.0638,2.98,YELLOW
2024-05-23,0.0649,2.98,YELLOW
2024-05-24,0.0694,2.98,YELLOW
2024-05-27,0.0701,2.8,YELLOW
2024-05-28,0.0646,2.67,YELLOW
2024-05-29,0.0552,2.56,YELLOW
2024-05-30,0.0435,2.26,YELLOW
2024-05-31,0.0314,2.08,YELLOW
2024-06-03,0.0224,2.02,YELLOW
2024-06-04,0.0099,1.78,YELLOW
2024-06-05,-0.0358,0.15,RED
2024-06-06,-0.0621,-0.82,RED
2024-06-07,-0.058,-0.87,RED
2024-06-10,-0.0427,-0.68,RED
2024-06-11,-0.02,-0.2,RED
2024-06-12,0.0027,0.16,YELLOW
2024-06-13,0.0224,0.47,YELLOW
2024-06-14,0.0427,0.83,YELLOW
2024-06-17,0.055,0.91,YELLOW
2024-06-18,0.0554,0.95,YELLOW
2024-06-19,0.0401,0.58,YELLOW
2024-06-20,0.0259,0.3,YELLOW
2024-06-21,0.0084,-0.01,RED
2024-06-24,-0.0046,-0.2,RED
2024-06-25,-0.0085,-0.33,RED
2024-06-26,-0.0179,-0.63,RED
2024-06-27,-0.0268,-0.8,RED
2024-06-28,-0.0306,-0.89,RED
2024-07-01,-0.0329,-1.02,RED
2024-07-02,-0.0424,-1.35,RED
2024-07-03,-0.0465,-1.55,RED
2024-07-04,-0.0522,-1.67,RED
2024-07-05,-0.0576,-1.8,RED
2024-07-08,-0.07,-2.15,RED
2024-07-09,-0.0831,-2.55,RED
