date,industry,early_radar_score,alert_level,prob_1d,prob_3d,prob_5d,expected_lead_days,accumulation_pressure,cross_stock_synchronization,feature_explanation
2026-08-25,3PL Logistics & Fleet Haulage,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,API & Bulk Drugs,,NONE,,,,,,48.4,Volatility Compression
2026-08-25,Advertising & Digital Marketing,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Aerospace & Fighter Aircraft,,NONE,,,,,,55.6,Broad Breadth Expansion
2026-08-25,Air Conditioners & Commercial HVAC,,NONE,,,,,,10.0,Neutral Precursor Structure
2026-08-25,Architectural Glass & Windows,,NONE,,,,,,58.3,Volatility Compression | Broad Breadth Expansion
2026-08-25,Auto Castings & Heavy Forgings,,NONE,,,,,,62.5,Volatility Compression | Broad Breadth Expansion
2026-08-25,Auto Lighting & Electricals,,NONE,,,,,,50.0,Volatility Compression | Broad Breadth Expansion
2026-08-25,Auto Transmission & Driveline,,NONE,,,,,,45.8,Volatility Compression
2026-08-25,Automotive Radial Tyres,,NONE,,,,,,43.8,Volatility Compression
2026-08-25,Ayurvedic & Herbal Care,,NONE,,,,,,41.7,Neutral Precursor Structure
2026-08-25,Basmati Rice Milling & Global Exports,,NONE,,,,,,71.4,High Cross-Stock Synchronization
2026-08-25,Biopharma & Biosimilars,,NONE,,,,,,50.0,Volatility Compression
2026-08-25,Bridal Gold Jewellery & Retail Showrooms,,NONE,,,,,,91.7,High Cross-Stock Synchronization | Volatility Compression | Broad Breadth Expansion
2026-08-25,Building Materials,,NONE,,,,,,35.0,Neutral Precursor Structure
2026-08-25,Business Process Management (BPM),,NONE,,,,,,62.5,Volatility Compression
2026-08-25,CDMO & Sterile Injectables,,NONE,,,,,,50.0,Neutral Precursor Structure
2026-08-25,Ceramic Tiles & Sanitaryware,,NONE,,,,,,40.6,Volatility Compression
2026-08-25,Civil & Commercial Construction,,NONE,,,,,,34.0,Volatility Compression
2026-08-25,Commercial & Industrial Electronics EMS,,NONE,,,,,,59.1,Volatility Compression | Broad Breadth Expansion
