Symbol,Series,Date,PrevClose,OpenPrice,HighPrice,LowPrice,LastPrice,ClosePrice,AveragePrice,TotalTradedQuantity,Turnover₹,No.ofTrades,Sector_Group
NIFTYBEES,EQ,30-Dec-2020,148.77,149.41,149.5,148.1,149.29,149.27,148.77,"16,64,595","24,76,36,699.30","13,851",Broad Market Benchmark
NIFTYBEES,EQ,29-Dec-2020,147.78,148.4,148.95,148.1,148.75,148.77,148.61,"16,39,088","24,35,86,233.57","15,125",Broad Market Benchmark
NIFTYBEES,EQ,28-Dec-2020,146.52,159.0,159.0,146.25,147.93,147.78,147.61,"13,62,994","20,11,85,674.28","17,494",Broad Market Benchmark
NIFTYBEES,EQ,24-Dec-2020,145.12,154.7,154.7,144.45,146.59,146.52,146.15,"18,37,640","26,85,75,860.78","15,633",Broad Market Benchmark
NIFTYBEES,EQ,23-Dec-2020,143.82,143.95,145.31,143.28,145.08,145.12,144.45,"12,80,315","18,49,45,491.04","8,722",Broad Market Benchmark
NIFTYBEES,EQ,22-Dec-2020,142.5,146.4,146.4,129.7,143.75,143.82,142.54,"24,62,353","35,09,86,941.13","16,182",Broad Market Benchmark
NIFTYBEES,EQ,21-Dec-2020,146.96,146.94,146.96,140.55,142.46,142.5,144.39,"31,92,127","46,09,17,337.85","21,168",Broad Market Benchmark
NIFTYBEES,EQ,18-Dec-2020,146.56,159.0,159.0,145.4,147.02,146.96,146.44,"17,45,336","25,55,87,318.48","8,063",Broad Market Benchmark
NIFTYBEES,EQ,17-Dec-2020,145.82,154.8,154.8,145.56,146.7,146.56,146.35,"11,16,175","16,33,47,650.50","7,299",Broad Market Benchmark
NIFTYBEES,EQ,16-Dec-2020,144.61,159.0,159.0,144.0,145.99,145.82,145.56,"12,58,149","18,31,39,613.80","7,316",Broad Market Benchmark
NIFTYBEES,EQ,15-Dec-2020,144.32,146.0,146.0,143.4,144.73,144.61,144.13,"15,65,759","22,56,72,015.88","8,562",Broad Market Benchmark
NIFTYBEES,EQ,14-Dec-2020,143.93,144.99,145.7,143.45,144.29,144.32,144.19,"22,54,461","32,50,67,047.90","10,098",Broad Market Benchmark
NIFTYBEES,EQ,11-Dec-2020,143.82,148.0,148.0,142.8,143.91,143.93,144.13,"15,57,017","22,44,08,572.83","8,444",Broad Market Benchmark
NIFTYBEES,EQ,10-Dec-2020,144.41,154.0,154.0,143.0,144.02,143.82,143.47,"15,41,066","22,10,93,064.68","9,803",Broad Market Benchmark
NIFTYBEES,EQ,09-Dec-2020,142.86,146.0,146.0,140.5,144.57,144.41,143.91,"14,90,549","21,45,07,882.29","8,832",Broad Market Benchmark
NIFTYBEES,EQ,08-Dec-2020,142.29,154.0,154.0,141.3,142.83,142.86,142.65,"15,88,215","22,65,52,900.01","10,120",Broad Market Benchmark
NIFTYBEES,EQ,07-Dec-2020,141.27,143.0,143.0,140.5,142.35,142.29,141.75,"22,65,003","32,10,62,583.16","9,958",Broad Market Benchmark
NIFTYBEES,EQ,04-Dec-2020,140.12,143.2,143.2,139.95,141.32,141.27,140.86,"11,51,089","16,21,39,308.28","7,834",Broad Market Benchmark
NIFTYBEES,EQ,03-Dec-2020,139.96,141.23,143.0,139.91,140.11,140.12,140.22,"13,44,091","18,84,72,532.61","7,223",Broad Market Benchmark
NIFTYBEES,EQ,02-Dec-2020,139.79,154.0,154.0,138.6,139.95,139.96,139.48,"12,03,053","16,78,07,357.66","8,460",Broad Market Benchmark
NIFTYBEES,EQ,01-Dec-2020,138.38,149.7,149.7,133.1,139.8,139.79,139.25,"14,52,032","20,21,92,175.49","11,358",Broad Market Benchmark
NIFTYBEES,EQ,27-Nov-2020,138.24,150.0,150.0,133.04,138.32,138.38,138.42,"12,73,581","17,62,89,409.12","7,610",Broad Market Benchmark
NIFTYBEES,EQ,26-Nov-2020,137.39,144.0,144.0,136.6,138.65,138.24,137.48,"76,89,852","1,05,72,35,984.62","9,995",Broad Market Benchmark
NIFTYBEES,EQ,25-Nov-2020,139.38,154.74,154.74,137.2,137.5,137.39,138.62,"22,61,085","31,34,22,311.05","12,922",Broad Market Benchmark
NIFTYBEES,EQ,24-Nov-2020,137.76,147.88,147.88,129.5,139.73,139.38,138.86,"27,27,726","37,87,61,140.04","9,365",Broad Market Benchmark
NIFTYBEES,EQ,23-Nov-2020,137.0,149.0,149.0,136.62,138.0,137.76,137.5,"19,87,751","27,33,23,539.14","9,543",Broad Market Benchmark
NIFTYBEES,EQ,20-Nov-2020,136.25,137.0,137.33,135.0,136.9,137.0,136.49,"15,97,557","21,80,56,426.25","8,122",Broad Market Benchmark
NIFTYBEES,EQ,19-Nov-2020,137.9,120.0,143.88,120.0,136.2,136.25,137.36,"22,43,961","30,82,32,329.28","10,541",Broad Market Benchmark
NIFTYBEES,EQ,18-Nov-2020,137.39,136.0,149.88,136.0,137.95,137.9,137.44,"19,32,468","26,55,91,451.60","8,449",Broad Market Benchmark
NIFTYBEES,EQ,17-Nov-2020,136.4,154.88,154.88,136.51,137.4,137.39,137.32,"24,97,489","34,29,58,599.00","11,212",Broad Market Benchmark
NIFTYBEES,EQ,14-Nov-2020,135.79,123.6,140.0,123.6,136.5,136.4,136.37,"9,01,758","12,29,72,939.83","12,746",Broad Market Benchmark
NIFTYBEES,EQ,13-Nov-2020,135.26,140.0,140.0,130.0,135.91,135.79,135.25,"16,75,631","22,66,34,476.23","7,526",Broad Market Benchmark
NIFTYBEES,EQ,12-Nov-2020,135.83,144.7,144.7,134.65,135.43,135.26,135.18,"14,64,974","19,80,29,953.69","8,870",Broad Market Benchmark
NIFTYBEES,EQ,11-Nov-2020,134.72,154.9,154.9,122.6,136.0,135.83,135.29,"26,26,835","35,53,90,517.29","10,769",Broad Market Benchmark
NIFTYBEES,EQ,10-Nov-2020,132.73,144.7,144.7,132.94,134.81,134.72,133.83,"28,44,216","38,06,32,192.05","11,102",Broad Market Benchmark
NIFTYBEES,EQ,09-Nov-2020,130.61,132.0,133.0,131.16,132.89,132.73,132.32,"15,75,611","20,84,81,489.28","11,694",Broad Market Benchmark
NIFTYBEES,EQ,06-Nov-2020,129.12,129.0,130.8,126.51,130.51,130.61,129.97,"20,90,661","27,17,28,973.79","9,536",Broad Market Benchmark
NIFTYBEES,EQ,05-Nov-2020,127.03,133.0,133.0,127.51,129.06,129.12,128.69,"17,99,777","23,16,11,405.65","9,424",Broad Market Benchmark
NIFTYBEES,EQ,04-Nov-2020,126.01,139.0,139.0,114.7,127.0,127.03,126.49,"17,20,136","21,75,79,634.09","8,664",Broad Market Benchmark
NIFTYBEES,EQ,03-Nov-2020,124.37,126.0,126.24,124.05,126.13,126.01,125.75,"12,78,806","16,08,07,337.54","7,814",Broad Market Benchmark
NIFTYBEES,EQ,02-Nov-2020,124.57,127.69,127.69,123.4,124.25,124.37,124.16,"20,26,545","25,16,20,862.26","10,555",Broad Market Benchmark
NIFTYBEES,EQ,30-Oct-2020,124.72,130.0,138.0,123.4,124.58,124.57,124.35,"16,94,334","21,06,82,263.31","10,923",Broad Market Benchmark
NIFTYBEES,EQ,29-Oct-2020,125.4,129.5,139.0,124.0,124.92,124.72,124.76,"14,42,980","18,00,21,689.56","9,381",Broad Market Benchmark
NIFTYBEES,EQ,28-Oct-2020,126.81,119.2,145.8,119.2,125.52,125.4,125.78,"18,02,732","22,67,39,386.74","9,800",Broad Market Benchmark
NIFTYBEES,EQ,27-Oct-2020,125.81,109.5,129.99,109.5,126.85,126.81,126.15,"13,75,559","17,35,24,373.52","7,154",Broad Market Benchmark
NIFTYBEES,EQ,26-Oct-2020,127.11,146.2,146.2,125.2,125.9,125.81,125.98,"16,53,725","20,83,30,706.10","11,412",Broad Market Benchmark
NIFTYBEES,EQ,23-Oct-2020,126.73,128.0,128.0,126.73,126.9,127.11,127.13,"10,99,448","13,97,76,789.58","5,379",Broad Market Benchmark
NIFTYBEES,EQ,22-Oct-2020,126.98,128.0,128.0,126.0,126.7,126.73,126.56,"11,85,728","15,00,66,336.85","6,951",Broad Market Benchmark
NIFTYBEES,EQ,21-Oct-2020,126.77,130.0,130.0,125.41,127.08,126.98,126.95,"17,14,840","21,76,94,363.42","10,057",Broad Market Benchmark
NIFTYBEES,EQ,20-Oct-2020,126.81,130.0,130.0,125.25,126.8,126.77,126.75,"12,44,069","15,76,87,230.71","7,073",Broad Market Benchmark
NIFTYBEES,EQ,19-Oct-2020,125.62,130.0,130.0,124.61,126.9,126.81,126.64,"17,02,515","21,55,98,842.11","7,959",Broad Market Benchmark
NIFTYBEES,EQ,16-Oct-2020,124.81,125.44,125.92,124.6,125.65,125.62,125.46,"21,00,993","26,35,80,489.54","10,164",Broad Market Benchmark
NIFTYBEES,EQ,15-Oct-2020,127.42,128.0,128.0,124.0,124.83,124.81,126.34,"36,86,080","46,56,98,737.78","14,240",Broad Market Benchmark
NIFTYBEES,EQ,14-Oct-2020,127.02,127.55,127.69,125.8,127.27,127.42,126.46,"17,02,320","21,52,68,079.12","9,054",Broad Market Benchmark
NIFTYBEES,EQ,13-Oct-2020,126.96,129.0,130.0,126.0,126.96,127.02,127.13,"15,05,033","19,13,30,568.61","7,876",Broad Market Benchmark
