Date,Symbol,SecurityName,Quantity,YEAR
02-JAN-2020,BHARATFORG,BHARAT FORGE LTD,"93,600",2020
02-JAN-2020,RBLBANK,RBL BANK LIMITED,"57,000",2020
03-JAN-2020,BERGEPAINT,BERGER PAINTS (I) LIMITED,"44,000",2020
03-JAN-2020,BHARATFORG,BHARAT FORGE LTD,"5,200",2020
03-JAN-2020,INFY,INFOSYS TECHNOLOGIES LTD,"25,200",2020
03-JAN-2020,RBLBANK,RBL BANK LIMITED,"3,000",2020
03-JAN-2020,TATASTEEL,TATA STEEL LIMITED,"12,000",2020
06-JAN-2020,BHARATFORG,BHARAT FORGE LTD,"32,500",2020
06-JAN-2020,BIOCON,BIOCON LIMITED.,"69,000",2020
06-JAN-2020,INFRATEL,BHARTI INFRATEL LIMITED,"12,000",2020
06-JAN-2020,PEL,PIRAMAL ENTERPRISES LTD,"24,720",2020
07-JAN-2020,KOTAKBANK,KOTAK MAHINDRA BANK LTD,"24,800",2020
07-JAN-2020,PEL,PIRAMAL ENTERPRISES LTD,"39,552",2020
07-JAN-2020,RBLBANK,RBL BANK LIMITED,"21,000",2020
08-JAN-2020,HDFCBANK,HDFC BANK LTD,"1,500",2020
08-JAN-2020,HDFCBANK,HDFC BANK LTD,"3,000",2020
08-JAN-2020,JUBLFOOD,JUBILANT FOODWORKS LTD,"7,500",2020
08-JAN-2020,JUBLFOOD,JUBILANT FOODWORKS LTD,"10,000",2020
08-JAN-2020,JUBLFOOD,JUBILANT FOODWORKS LTD,"17,500",2020
09-JAN-2020,HDFCBANK,HDFC BANK LTD,"3,500",2020
09-JAN-2020,INFRATEL,BHARTI INFRATEL LIMITED,"68,000",2020
09-JAN-2020,JUBLFOOD,JUBILANT FOODWORKS LTD,"17,000",2020
10-JAN-2020,BHARTIARTL,BHARTI AIRTEL LIMITED,"3,46,137",2020
10-JAN-2020,HDFCBANK,HDFC BANK LTD,"9,000",2020
10-JAN-2020,INFRATEL,BHARTI INFRATEL LIMITED,"36,000",2020
13-JAN-2020,BHARTIARTL,BHARTI AIRTEL LIMITED,"1,66,590",2020
13-JAN-2020,HDFCBANK,HDFC BANK LTD,"15,500",2020
13-JAN-2020,IGL,INDRAPRASTHA GAS LTD,"16,500",2020
14-JAN-2020,BERGEPAINT,BERGER PAINTS (I) LIMITED,"37,400",2020
14-JAN-2020,TATAGLOBAL,TATA GLOBAL BEVERAGES LTD,"3,29,400",2020
15-JAN-2020,BERGEPAINT,BERGER PAINTS (I) LIMITED,"19,800",2020
15-JAN-2020,BHARTIARTL,BHARTI AIRTEL LIMITED,"96,252",2020
16-JAN-2020,BERGEPAINT,BERGER PAINTS (I) LIMITED,"2,200",2020
16-JAN-2020,BHARTIARTL,BHARTI AIRTEL LIMITED,"1,07,358",2020
17-JAN-2020,BERGEPAINT,BERGER PAINTS (I) LIMITED,"50,442",2020
17-JAN-2020,BHARTIARTL,BHARTI AIRTEL LIMITED,"1,24,017",2020
17-JAN-2020,JUSTDIAL,JUST DIAL LIMITED,"9,800",2020
21-JAN-2020,IOC,INDIAN OIL CORP LTD,"7,96,000",2020
22-JAN-2020,IOC,INDIAN OIL CORP LTD,"5,24,000",2020
23-JAN-2020,POWERGRID,POWER GRID CORP. LTD.,"1,80,000",2020
