symbol,company_name,series,inferred_sme_status,current_macro_sector,current_industry,exposure_v3_sector,exposure_v3_industry,exposure_v3_confidence,v3_master_industry,primary_conflict,all_conflicts,conflict_count,review_status
BAGDIGITAL,BAGDIGITAL,SM,SME,MEDIA & ENTERTAINMENT,Television Broadcasting & OTT,MEDIA & ENTERTAINMENT,Television Broadcasting & OTT,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Television Broadcasting & OTT' (exp_v3='Television Broadcasting & OTT', aligned=False)",1,REVIEW_REQUIRED
HEALTHCARE,HEALTHCARE,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AARTIDRUGS,Aarti Drugs Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AARTIPHARM,Aarti Pharmalabs Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ACCURACY,Accuracy Shipping Limited,BE,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Marine Offshore Vessels & Tugs' (exp_v3='Marine Offshore Vessels & Tugs', aligned=False)",1,REVIEW_REQUIRED
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,NON_SME,PHARMACEUTICALS,Specialty Enzymes & Biologicals,PHARMACEUTICALS,Specialty Enzymes & Biologicals,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Specialty Enzymes & Biologicals' (exp_v3='Specialty Enzymes & Biologicals', aligned=False)",1,REVIEW_REQUIRED
AGL,Allcargo Global Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
AHCL,Anlon Healthcare Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AJANTPHARM,Ajanta Pharma Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ALIVUS,Alivus Life Sciences Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ALKEM,Alkem Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
ALLCARGO,Allcargo Logistics Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,nan,LOGISTICS_NAME_WRONG_INDUSTRY,"LOGISTICS_NAME_WRONG_INDUSTRY: Name implies 'Logistics' but stocks.industry='Precision Auto Engine Components' (exp_v3='Precision Auto Engine Components', aligned=False)",1,REVIEW_REQUIRED
ALPA,Alpa Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AMAGI,Amagi Media Labs Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
AMANTA,Amanta Healthcare Limited,BE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
