symbol,company_name,exchange,series,sme_status,sector,industry,primary_industry,secondary_sectors,secondary_industries,classification_source,classification_confidence,verification_status
20MICRONS,20 Microns Limited,NSE,EQ,NON_SME,MINING & MINERALS,Industrial Minerals,Industrial Minerals,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
21STCENMGM,21st Century Management Services Limited,NSE,EQ,NON_SME,CAPITAL MARKETS,Stockbroking & Wealth Management,Stockbroking & Wealth Management,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
360ONE,360 ONE WAM LIMITED,NSE,EQ,NON_SME,CAPITAL MARKETS,Stockbroking & Wealth Management,Stockbroking & Wealth Management,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
3BBLACKBIO,3B Blackbio Dx Limited,NSE,EQ,NON_SME,HEALTHCARE SERVICES,Diagnostic & Pathology Labs,Diagnostic & Pathology Labs,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
3IINFOLTD,3i Infotech Limited,NSE,BE,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
3MINDIA,3M India Limited,NSE,EQ,NON_SME,CAPITAL GOODS & MACHINERY,Industrial Abrasives & Ceramics,Industrial Abrasives & Ceramics,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
3PLAND,3P Land Holdings Limited,NSE,EQ,NON_SME,FINANCE & NBFC,Diversified Consumer & MSME NBFC,Diversified Consumer & MSME NBFC,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
5PAISA,5Paisa Capital Limited,NSE,EQ,NON_SME,CAPITAL MARKETS,Stockbroking & Wealth Management,Stockbroking & Wealth Management,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
63MOONS,63 moons technologies limited,NSE,EQ,NON_SME,IT SERVICES,Mid-Tier IT & Digital Solutions,Mid-Tier IT & Digital Solutions,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
A2ZINFRA,A2Z Infra Engineering Limited,NSE,EQ,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,Precision Auto Engine Components,,,NORTHFLOW_CANONICAL_MASTER_V2,HIGH,VERIFIED
