symbol,isin,company_name,series,sme_status,previous_sector,previous_industry,new_primary_sector,new_primary_industry,new_secondary_sectors,new_secondary_industries,confidence,evidence_sources,evidence_dates,classification_reason,verification_status,effective_date,is_changed
BENGALASM,,Bengal & Assam Company Limited,EQ,NON_SME,TEA & COFFEE,Tea & Coffee Plantations,FINANCE & NBFC,Core Investment & Holding Companies,,,HIGH,RBI NBFC Register & JK Group Corporate Structure,2026-08-27,"Bengal & Assam Company Limited is an RBI-registered Core Investment Company (CIC-ND-SI) and apex holding company for the JK Group (holding stakes in JK Tyre, JK Lakshmi Cement, JK Paper). Operating plantations is minor/historical compared to its holding company function.",VERIFIED,2026-08-27,True
DCCL,,DCCL,SM,SME,TEA & COFFEE,Tea Plantations & Packaging,FINANCE & NBFC,Microfinance & MSME Lending,,,HIGH,NSE Emerge SME Security Master & RBI Registration,2026-08-27,"Dar Credit & Capital Ltd (DCCL) is an RBI-registered NBFC on NSE Emerge providing micro-credit, shopkeeper financing, and retail loans. Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
MAXESTATES,,Max Estates Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,REAL ESTATE,Commercial Office & Mixed-Use Real Estate,,,HIGH,NSE/BSE Corporate Filings & Max Group Annual Reports,2026-08-27,"Max Estates Limited is an institutional real estate developer operating commercial and luxury residential projects in Delhi NCR (Max Towers, Max House, Max Square, Estate 128). Completely unrelated to Tea & Coffee.",VERIFIED,2026-08-27,True
NARMADA,,Narmada Agrobase Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,AGRICULTURE & AGRI-INPUTS,Animal Feed & Nutrition,,,HIGH,"Company Website, NSE Filings & Annual Reports",2026-08-27,"Narmada Agrobase Limited manufactures compound cattle feed, cotton seed oil cake, maize meal, and livestock nutritional supplements under 'Gaay Chhaap' and 'Narmada Super' brands. Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
NDGL,,Naga Dhunseri Group Limited,EQ,NON_SME,TEA & COFFEE,Tea & Coffee Plantations,FINANCE & NBFC,Investment & Treasury Holding Companies,,,HIGH,RBI NBFC Disclosures & Dhunseri Group Filings,2026-08-27,Naga Dhunseri Group Limited is an RBI-registered NBFC operating primarily in treasury investments and holding strategic shares in Dhunseri Group entities. It is an investment company.,VERIFIED,2026-08-27,True
OCCLLTD,,OCCL Limited,BE,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,CHEMICALS,Specialty Chemicals,,,HIGH,NSE/BSE Filings & Demerger Disclosures,2026-08-27,"OCCL Limited (demerged from Oriental Carbon & Chemicals) manufactures insoluble sulphur (Diamond Sulf) used for tyre vulcanization, sulphuric acid, and oleum. Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
PCCL,,PCCL,SM,SME,TEA & COFFEE,Tea Plantations & Packaging,CHEMICALS & PETROCHEMICALS,Calcined Petroleum Coke & Industrial Carbon,,,HIGH,NSE Emerge Prospectus & Atha Group Disclosures,2026-08-27,Petro Carbon and Chemicals Limited (PCCL) manufactures Calcined Petroleum Coke (CPC) for aluminum smelters and graphite electrodes. Part of Atha Group. Zero connection to Tea & Coffee.,VERIFIED,2026-08-27,True
PRESTIGE,,Prestige Estates Projects Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,REAL ESTATE,Residential Townships & Commercial REITs,,,HIGH,NSE/BSE Corporate Filings & Annual Reports,2026-08-27,"Prestige Estates Projects Limited is one of India's largest real estate developers across residential townships, commercial IT parks, retail malls, and hospitality. Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
PROTEAN,,Protean eGov Technologies Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,IT SERVICES,E-Governance & Digital Public Infrastructure,,,HIGH,NSE/BSE Prospectus & Corporate Filings,2026-08-27,"Protean eGov Technologies Limited (formerly NSDL e-Governance Infrastructure) builds and operates critical national public digital infrastructure (Tax Information Network, NPS, CRA, Aadhaar authentication). Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
TEAMGTY,,Team India Guaranty Limited,EQ,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,FINANCE & NBFC,Credit Guarantee & Risk Management Services,,,HIGH,Exchange Filings & MCA Corporate Disclosures,2026-08-27,"Team India Guaranty Limited provides financial guarantee, risk underwriting, and credit facilitation services. Zero connection to Tea & Coffee.",VERIFIED,2026-08-27,True
