filter_id,market_cap_threshold,min_turnover,include_sme,eligible_count,page,selected_industry,expected_constituent_count,actual_constituent_count,leaked_symbols,score_recalculated,cache_consistent,status
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Precision Auto Engine Components,154,154,NONE,YES,YES,PASS
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Finished Formulations,153,153,NONE,YES,YES,PASS
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,152,152,NONE,YES,YES,PASS
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_ALL,0.0,0.0,True,3028,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,37,37,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Precision Auto Engine Components,149,149,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Finished Formulations,145,145,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,139,139,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_SME_OFF,0.0,0.0,False,2571,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,33,33,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Precision Auto Engine Components,149,149,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Finished Formulations,145,145,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,139,139,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_MCAP_100,100.0,0.0,False,2571,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,33,33,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Precision Auto Engine Components,149,149,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Finished Formulations,145,145,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Diversified Consumer & MSME NBFC,139,139,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Commercial Office & Mixed-Use Real Estate,1,1,NONE,YES,YES,PASS
PRESET_MCAP_200,200.0,0.0,False,2571,Industry Intelligence / Drilldown,Residential Townships & Commercial REITs,33,33,NONE,YES,YES,PASS
PRESET_MCAP_300,300.0,0.0,False,1863,Industry Intelligence / Drilldown,Tea & Coffee,0,0,NONE,YES,YES,PASS
PRESET_MCAP_300,300.0,0.0,False,1863,Industry Intelligence / Drilldown,Precision Auto Engine Components,108,108,NONE,YES,YES,PASS
