symbol,company_name,sme_status,current_sector,current_industry,proposed_sector,proposed_industry,classification_confidence,change_required,reason,risk_score
TPHQ,Teamo Productions HQ Limited,NON_SME,TEA & COFFEE,Tea Plantations & Packaging,MEDIA & ENTERTAINMENT,Television Content & OTT Production,MEDIUM,CORRECTED,"Teamo Productions HQ Ltd is a media/entertainment content production company. 'Productions' in the name clearly indicates media/entertainment, not tea or coffee.",75
BAGDIGITAL,BAGDIGITAL,SME,MEDIA & ENTERTAINMENT,Television Broadcasting & OTT,MEDIA & ENTERTAINMENT,Television Broadcasting & OTT,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
HEALTHCARE,HEALTHCARE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AARTIDRUGS,Aarti Drugs Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AARTIPHARM,Aarti Pharmalabs Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ACCURACY,Accuracy Shipping Limited,NON_SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
ADVENZYMES,Advanced Enzyme Technologies Limited,NON_SME,PHARMACEUTICALS,Specialty Enzymes & Biologicals,PHARMACEUTICALS,Specialty Enzymes & Biologicals,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AGL,Allcargo Global Limited,NON_SME,AUTO ANCILLARIES,Precision Auto Engine Components,AUTO ANCILLARIES,Precision Auto Engine Components,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AHCL,Anlon Healthcare Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
AJANTPHARM,Ajanta Pharma Limited,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,REVIEW_REQUIRED,Conflict flagged but exposure_v3 partially agrees — manual review needed,65
