symbol,company_name,isin,series,sme_status,current_sector,current_industry,v3_sector,v3_industry,exposure_v3_sector,exposure_v3_industry,proposed_sector,proposed_industry,additional_industries,classification_confidence,change_required,reason,source_1,source_2,source_3,primary_business,market_cap_cr,index_membership,has_conflict,evidence_date,review_status,risk_score
AAKAAR,AAKAAR,,SM,SME,METALS & FABRICATION,Precision Metal Fabrication,METALS & FABRICATION,Precision Metal Fabrication,METALS & FABRICATION,Precision Metal Fabrication,METALS & FABRICATION,Precision Metal Fabrication,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'METALS & FABRICATION' and Industry 'Precision Metal Fabrication' based on core economic business exposure: Precision metal fabrication and industrial engineering.,,Precision metal fabrication and industrial engineering.,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AARADHYA,AARADHYA,,SM,SME,STEEL,Steel Pipes & Tubes,STEEL,Steel Pipes & Tubes,STEEL,Steel Pipes & Tubes,STEEL,Steel Pipes & Tubes,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,"Classified into Sector 'STEEL' and Industry 'Steel Pipes & Tubes' based on core economic business exposure: Steel pipes, structural tubes and metal fabrication.",,"Steel pipes, structural tubes and metal fabrication.",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
AATMAJ,AATMAJ,,SM,SME,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,HEALTHCARE SERVICES,Hospitals & Healthcare Chains,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'HEALTHCARE SERVICES' and Industry 'Hospitals & Healthcare Chains' based on core economic business exposure: Multi-specialty healthcare surgical hospitals and maternity centers.,,Multi-specialty healthcare surgical hospitals and maternity centers.,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ABHAPOWER,ABHAPOWER,,SM,SME,POWER,Conventional Thermal & Fossil Power,POWER,Conventional Thermal & Fossil Power,POWER,Conventional Thermal & Fossil Power,POWER,Conventional Thermal & Fossil Power,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,Classified into Sector 'POWER' and Industry 'Conventional Thermal & Fossil Power' based on core economic business exposure: Abha Power and Steel - Captive power generation and casting iron components,,Abha Power and Steel - Captive power generation and casting iron components,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ABSMARINE,ABSMARINE,,ST,SME,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,SHIPBUILDING & PORTS,Marine Offshore Vessels & Tugs,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'SHIPBUILDING & PORTS' and Industry 'Marine Offshore Vessels & Tugs' based on core economic business exposure: ABS Marine Services - Owning and managing offshore supply vessels,",,"ABS Marine Services - Owning and managing offshore supply vessels, harbor tugs and dynamic positioning crew boats",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
ACCENTMIC,ACCENTMIC,,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,HARDCODED_VERIFIED_FUNDAMENTAL,Classified into Sector 'PHARMACEUTICALS' and Industry 'API & Bulk Drugs' based on core economic business exposure: Accent Microcell - Microcrystalline cellulose (MCC) excipient manufacturing for pharm,,"Accentmic — IT services, software development and technology solutions",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ACCPL,ACCPL,,ST,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'CONSTRUCTION & INFRASTRUCTURE' and Industry 'Civil & Commercial Construction' based on core economic business exposure: ACCPL Infra - Concrete foundations, commercial building ",,"ACCPL Infra - Concrete foundations, commercial building construction and site development",0.0,NSE TRADE-TO-TRADE (T2T),False,2026-08-27,NO_CHANGE,0
ACTIVEINFR,ACTIVEINFR,,SM,SME,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,CONSTRUCTION & INFRASTRUCTURE,Civil & Commercial Construction,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'CONSTRUCTION & INFRASTRUCTURE' and Industry 'Civil & Commercial Construction' based on core economic business exposure: Active Infra - Urban infrastructure projects, undergroun",,"Active Infra - Urban infrastructure projects, underground stormwater drains and road development",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ADDICTIVE,ADDICTIVE,,SM,SME,MEDIA & ENTERTAINMENT,Print Media & Publishing,MEDIA & ENTERTAINMENT,Print Media & Publishing,MEDIA & ENTERTAINMENT,Print Media & Publishing,MEDIA & ENTERTAINMENT,Print Media & Publishing,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,ANNUAL_REPORT_CONCALL_AUDIT,"Classified into Sector 'MEDIA & ENTERTAINMENT' and Industry 'Print Media & Publishing' based on core economic business exposure: Addictive Media - Digital video marketing, influencer content campaigns",,"Addictive Media - Digital video marketing, influencer content campaigns and social media solutions",0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
ADISOFT,ADISOFT,,SM,SME,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,IT SERVICES,Mid-Tier IT & Digital Solutions,,HIGH,NO_CHANGE,Current classification consistent with exposure_v3,COMPANY_NAME_AND_SECURITY_MASTER,Classified into Sector 'IT SERVICES' and Industry 'Mid-Tier IT & Digital Solutions' based on core economic business exposure: Enterprise software application development and cloud computing.,,Enterprise software application development and cloud computing.,0.0,NSE EMERGE (SME),False,2026-08-27,NO_CHANGE,0
