Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank
Saw Pipes & Ductile Iron Pipes,Other,1,68.7,1
Copper Mining,Other,1,60.7,2
Zinc & Silver Mining,Other,1,58.7,3
Construction Materials,Other,1,58.7,4
Travel Tech SaaS Solutions,Other,1,48.6,5
Dairy Products,Other,5,46.4,7
Asset Management & Wealth,Other,2,42.3,8
Heavy Electrical Equipment,Other,1,47.2,6
Structural Steel Tubes & Pipes,Other,1,41.6,9
Packaging & Containers,Other,3,40.5,10
Steel Manufacturing & Mining,Other,1,38.5,15
Auto Glass,Other,1,38.9,14
Copper & Non-Ferrous Metals,Other,1,39.2,13
Wealth & Asset Management,Other,1,39.3,12
Paints & Coatings,Other,2,40.2,11
Diagnostic & Healthcare Laboratories,Other,1,38.3,16
Data Centers & Real Estate,Other,1,37.9,17
Textiles,Other,3,32.4,18
Superalloys & Special Metals,Other,1,27.9,27
Batteries & Energy Storage,Other,1,27.8,28
Oil Gas & Consumable Fuels,Other,1,23.7,41
Sugar & Bio-Ethanol,Other,28,30.1,22
Lubricants & Specialty Oils,Other,5,31.2,19
Plastic Pipes & Fittings,Other,3,28.9,24
Internet & Digital Platforms,Other,11,29.3,23
"Hotels, Resorts & QSR",Other,17,31.0,20
API & CDMO / CRAMS,Other,9,30.4,21
Media Entertainment & Publication,Other,2,28.8,25
Pipes & Tubes,Other,18,28.3,26
Packaging Materials & Containers,Other,8,25.9,34
Pharmaceuticals,Other,39,27.6,29
Tea & Coffee,Other,13,26.6,32
Capital Markets & Asset Management,Other,11,26.2,33
Commodity Chemicals,Other,43,26.8,31
Construction,Other,5,24.6,37
Capital Goods,Other,30,25.8,35
Automobile OEMs,Other,16,27.0,30
Consumer Durables,Other,22,25.1,36
Realty,Other,3,22.9,46
"Textiles, Yarns & Apparel",Other,15,23.3,42
Aerospace & Defence,Other,20,23.0,45
"Logistics, Ports & Supply Chain",Other,15,23.2,44
IT Consulting & Software,Other,28,22.3,49
Consumer Services,Other,21,24.1,39
Wires & Cables,Other,23,24.1,40
Healthcare,Other,14,22.6,47
Breweries & Distilleries,Other,11,21.8,52
Auto Parts & Equipment,Other,40,23.2,43
Packaged Foods & Consumer Staples,Other,13,22.6,48
Electronic Manufacturing Services (EMS),Other,11,22.2,50
Hospitals & Diagnostic Centres,Other,32,21.6,53
Ship Building & Defence,Other,3,18.7,68
Automobile and Auto Components,Other,7,22.1,51
Stockbroking & Financial Products,Other,16,21.3,54
Tractors & Farm Equipment,Other,2,24.5,38
Diversified Commercial,Other,1864,20.7,55
Transformers & T&D Equipment,Other,13,20.4,57
Financial Services,Other,12,18.8,67
Banks,Other,45,19.9,60
Railway Telecom,Other,1,19.6,62
Asset Management Company (AMC),Other,3,18.1,74
Specialty Chemicals,Other,40,19.9,59
Edible Oils,Other,2,20.7,56
Aluminium & Mining,Other,11,19.0,65
Railways,Other,3,19.6,61
Fast Moving Consumer Goods,Other,14,19.0,64
Bearings & Friction Solutions,Other,9,18.0,75
Non Banking Financial Company (NBFC),Other,124,18.9,66
Services,Other,16,18.1,73
"Plywood, MDF & Laminates",Other,7,17.4,77
Logistics & Transportation,Other,20,18.2,71
Explosives & Defence Chemicals,Other,2,19.4,63
Paints,Other,4,18.1,72
Software Products & Digital Services,Other,62,18.2,70
Diversified & Fashion Retail,Other,13,18.5,69
Mining & Mineral Products,Other,8,17.5,76
Civil Construction & Infrastructure EPC,Other,10,16.5,78
Chemicals,Other,10,15.2,80
Pharmaceuticals & Biotechnology,Other,38,16.4,79
Plywood & Boards,Other,1,20.1,58
Insurance,Other,10,14.0,83
Textiles & Apparel,Other,29,15.1,81
Batteries,Other,2,14.4,82
Media & Entertainment,Other,23,14.0,84
Information Technology,Other,9,14.0,85
Oil Exploration & Refining,Other,15,13.9,86
Passenger Cars & Utility Vehicles,Other,2,10.2,95
Residential & Commercial Real Estate,Other,37,13.3,87
Telecommunication,Other,6,12.0,88
Paper & Paper Products,Other,11,11.0,90
Iron & Steel,Other,27,11.5,89
Hotels & Restaurants,Other,23,10.2,96
Civil Construction & Infrastructure,Other,43,10.6,91
Tyres & Rubber Products,Other,9,10.4,93
Ceramics & Tiles,Other,9,10.3,94
Packaged Foods & FMCG Staples,Other,20,8.9,98
Footwear,Other,2,10.5,92
Diversified Retail,Other,10,9.2,97
