Feature,Mean_OOS_IC,IC_Std,Stability_Score,Pct_Positive_Windows,Status
volatility_20d,0.2847,0.2063,1.38,80.0,ROBUST
distribution_score,0.1559,0.2506,0.62,80.0,MARGINAL
pos_breadth,0.0133,0.0239,0.56,60.0,MARGINAL
volume_ratio,0.0523,0.0985,0.53,60.0,MARGINAL
volume_norm,0.0522,0.0987,0.53,60.0,MARGINAL
rs_market_5d,0.0631,0.2554,0.25,50.0,MARGINAL
mom_1d,0.0012,0.0288,0.04,60.0,MARGINAL
rs_market_20d,-0.0101,0.3746,-0.03,50.0,UNSTABLE
rs_norm_20d,-0.013,0.3719,-0.04,50.0,UNSTABLE
breakout_pct,-0.0117,0.0806,-0.15,40.0,UNSTABLE
breadth_accel_5d,-0.0177,0.0895,-0.2,60.0,UNSTABLE
mom_20d,-0.0523,0.189,-0.28,40.0,UNSTABLE
score_v3_2,-0.098,0.2093,-0.47,20.0,UNSTABLE
accumulation_score,-0.1105,0.2325,-0.48,20.0,UNSTABLE
risk_adjusted_mom,-0.0848,0.1658,-0.51,20.0,UNSTABLE
breadth_20,-0.0821,0.159,-0.52,20.0,UNSTABLE
mom_5d,-0.0679,0.0936,-0.73,20.0,UNSTABLE
trend_stack,-0.1636,0.1836,-0.89,40.0,UNSTABLE
breadth_50,-0.1875,0.2052,-0.91,40.0,UNSTABLE
mkt_breadth_50,-0.2543,0.2383,-1.07,20.0,UNSTABLE
breadth_200,-0.2121,0.1755,-1.21,20.0,UNSTABLE
mom_accel_5d,-0.0536,0.0399,-1.34,0.0,UNSTABLE
dispersion_5d,,0.01,,,UNSTABLE
