Industry,5D_P_Pos,5D_P_Beat_Smallcap,5D_P_Gt_1pct,5D_P_Gt_2pct,5D_P_Lt_Minus1pct,5D_P_Lt_Minus3pct,10D_P_Pos,10D_P_Beat_Smallcap,20D_P_Pos,20D_P_Beat_Smallcap
API & CDMO / CRAMS,33.9,31.8,18.9,8.9,48.0,16.3,35.0,31.4,36.9,31.4
Aerospace & Defence,31.1,29.1,16.9,7.7,51.1,18.3,32.3,28.7,34.2,28.9
Affordable Housing Finance Company,13.1,12.2,5.6,2.0,74.5,39.3,13.9,12.0,15.9,12.7
Agrochemicals & Pesticides,13.9,12.9,6.0,2.2,73.3,37.8,14.8,12.7,16.8,13.4
Air Conditioners & AC Components,18.0,16.7,8.3,3.2,67.4,31.6,18.9,16.5,21.0,17.1
Air Conditioners & Appliances,19.2,17.9,9.1,3.6,65.7,30.0,20.2,17.6,22.3,18.2
Aluminium & Mining,26.2,24.5,13.5,5.9,56.8,22.4,27.3,24.1,29.4,24.5
Asset Management & Wealth,53.6,50.8,35.4,20.1,28.9,6.9,54.6,50.3,55.5,49.3
Asset Management Company (AMC),27.8,26.0,14.6,6.4,55.0,21.0,28.9,25.6,30.9,25.9
Auto Glass,42.9,40.4,26.0,13.4,38.7,11.2,44.0,39.9,45.5,39.5
Auto Lighting,12.2,11.4,5.2,1.8,75.7,40.8,13.1,11.2,15.0,12.0
Auto Parts & Equipment,27.9,26.1,14.7,6.5,54.8,20.9,29.0,25.7,31.0,26.0
Automobile OEMs,31.5,29.5,17.2,7.9,50.6,18.0,32.7,29.1,34.6,29.2
Automobile and Auto Components,27.6,25.8,14.4,6.4,55.2,21.2,28.7,25.4,30.7,25.7
Banks,27.2,25.4,14.2,6.2,55.6,21.5,28.3,25.1,30.4,25.4
Batteries,24.8,23.1,12.6,5.3,58.6,23.8,25.9,22.8,27.9,23.2
Batteries & Energy Storage,40.4,38.0,24.0,12.1,41.2,12.4,41.6,37.6,43.1,37.3
Bearings & Friction Solutions,26.7,24.9,13.8,6.0,56.3,22.0,27.8,24.6,29.8,24.9
Breweries & Distilleries,29.1,27.2,15.5,6.9,53.4,19.9,30.2,26.8,32.2,27.0
Capital Goods,32.6,30.5,18.0,8.3,49.5,17.3,33.7,30.1,35.6,30.2
Capital Markets & Asset Management,34.4,32.2,19.3,9.1,47.5,16.0,35.5,31.8,37.3,31.8
Cement,17.0,15.9,7.8,3.0,68.7,32.9,18.0,15.6,20.1,16.3
Cement & Clinker,18.2,16.9,8.5,3.3,67.1,31.3,19.2,16.7,21.3,17.3
Ceramics & Tiles,19.7,18.4,9.4,3.7,65.1,29.3,20.7,18.1,22.8,18.7
Chemicals,25.3,23.7,12.9,5.5,57.9,23.2,26.4,23.3,28.5,23.7
Civil Buildings & Commercial EPC,10.0,9.4,4.0,1.4,79.3,45.4,10.8,9.2,12.6,9.9
Civil Construction & Infrastructure,19.8,18.4,9.4,3.8,65.0,29.3,20.8,18.2,22.9,18.7
Civil Construction & Infrastructure EPC,24.7,23.1,12.5,5.3,58.7,23.9,25.8,22.7,27.8,23.1
Commodity Chemicals,32.5,30.5,17.9,8.3,49.5,17.3,33.7,30.1,35.6,30.2
Construction,33.6,31.5,18.7,8.8,48.3,16.6,34.7,31.1,36.6,31.1
Construction Materials,62.3,59.4,43.9,26.8,21.8,4.4,63.1,58.8,63.5,57.5
Consumer Durables,31.5,29.5,17.2,7.9,50.6,18.0,32.7,29.1,34.6,29.3
Consumer Services,29.0,27.1,15.4,6.9,53.6,20.0,30.1,26.7,32.1,27.0
Copper & Non-Ferrous Metals,42.5,40.0,25.6,13.1,39.2,11.4,43.6,39.5,45.0,39.1
Copper Mining,65.0,62.1,46.8,29.3,19.8,3.8,65.8,61.5,66.0,60.1
Dairy Products,55.4,52.6,37.1,21.4,27.4,6.3,56.4,52.1,57.2,51.1
Data Centers & Real Estate,41.3,38.9,24.7,12.5,40.3,12.0,42.4,38.4,43.9,38.1
Diagnostic & Healthcare Laboratories,41.1,38.7,24.5,12.4,40.5,12.1,42.3,38.2,43.8,37.9
Diversified & Fashion Retail,24.6,23.0,12.5,5.3,58.8,24.0,25.7,22.6,27.8,23.0
Diversified Commercial,27.3,25.5,14.2,6.2,55.5,21.4,28.4,25.1,30.4,25.5
Diversified Retail,18.8,17.5,8.8,3.5,66.3,30.6,19.7,17.2,21.9,17.8
Edible Oils,26.5,24.7,13.7,5.9,56.5,22.2,27.6,24.4,29.6,24.7
