Industry,5D_P10,5D_P25,5D_P50,5D_P75,5D_P90,10D_P10,10D_P50,10D_P90,20D_P10,20D_P50,20D_P90
API & CDMO / CRAMS,-3.74,-1.99,-0.89,0.36,2.56,-5.33,-1.23,3.97,-7.43,-1.63,5.97
Aerospace & Defence,-3.91,-2.16,-1.06,0.19,2.39,-5.57,-1.47,3.73,-7.78,-1.98,5.62
Affordable Housing Finance Company,-5.27,-3.52,-2.42,-1.17,1.03,-7.57,-3.47,1.73,-10.64,-4.84,2.76
Agrochemicals & Pesticides,-5.18,-3.43,-2.33,-1.08,1.12,-7.45,-3.35,1.85,-10.47,-4.67,2.93
Air Conditioners & AC Components,-4.82,-3.07,-1.97,-0.72,1.48,-6.92,-2.82,2.38,-9.7,-3.9,3.7
Air Conditioners & Appliances,-4.72,-2.97,-1.87,-0.62,1.58,-6.77,-2.67,2.53,-9.49,-3.69,3.91
Aluminium & Mining,-4.22,-2.47,-1.37,-0.12,2.08,-6.03,-1.93,3.27,-8.43,-2.63,4.97
Asset Management & Wealth,-2.66,-0.91,0.19,1.44,3.64,-3.73,0.37,5.57,-5.13,0.67,8.27
Asset Management Company (AMC),-4.12,-2.37,-1.27,-0.02,2.18,-5.88,-1.78,3.42,-8.22,-2.42,5.18
Auto Glass,-3.23,-1.48,-0.38,0.87,3.07,-4.58,-0.48,4.72,-6.35,-0.55,7.05
Auto Lighting,-5.35,-3.6,-2.5,-1.25,0.95,-7.69,-3.59,1.61,-10.82,-5.02,2.58
Auto Parts & Equipment,-4.11,-2.36,-1.26,-0.01,2.19,-5.87,-1.77,3.43,-8.2,-2.4,5.2
Automobile OEMs,-3.88,-2.13,-1.03,0.22,2.42,-5.54,-1.44,3.76,-7.73,-1.93,5.67
Automobile and Auto Components,-4.13,-2.38,-1.28,-0.03,2.17,-5.9,-1.8,3.4,-8.25,-2.45,5.15
Banks,-4.15,-2.4,-1.3,-0.05,2.15,-5.93,-1.83,3.37,-8.29,-2.49,5.11
