Formula_ID,Formula_Description,Complexity_Score,Rank_IC,Pearson_IC,Decile_Spread_pct,Sharpe_Ratio,Delta_Rank_IC,Delta_Spread,Net_Score,Status
F6_Risk_Adjusted_Mom,Sharpe-Adjusted Momentum,20.0,0.0879,0.0779,1.86,0.22,0.0682,1.76,5.79,TOP_CHALLENGER
F5_Trend_Coherence,Trend Stack x Breadth Coherence,20.0,0.0671,0.0682,2.35,0.27,0.0474,2.25,3.71,TOP_CHALLENGER
F4_Volume_Confirmation,Directional Volume Interaction,30.0,0.0351,0.0231,0.4,0.05,0.0153,0.3,-0.99,TOP_CHALLENGER
F3_Breadth_Acceleration,SMA50 Breadth 5D Acceleration,20.0,0.0241,0.018,0.52,0.06,0.0044,0.42,-0.59,TOP_CHALLENGER
F1_Mom_Acceleration,Strength Score 5D Acceleration,20.0,0.0215,0.0117,0.17,0.02,0.0018,0.07,-0.85,TOP_CHALLENGER
F0_Baseline_Existing,Deterministic Money Flow Score Baseline,10.0,0.0197,0.0138,0.1,0.01,0.0,0.0,0.47,CHAMPION
F9_HYBRID_CHALLENGER,Enhanced Deterministic Hybrid,40.0,0.0171,-0.0046,0.41,0.05,-0.0026,0.32,-4.29,REJECTED
F8_Leadership_Acceleration,Second Derivative Acceleration,30.0,0.0057,0.0062,0.31,0.04,-0.014,0.21,-3.93,REJECTED
F2_RS_Acceleration,Relative Strength 5D Acceleration,20.0,0.0004,-0.0339,0.13,0.02,-0.0193,0.04,-2.96,REJECTED
F7_Pressure_Persistence,Accumulation Pressure Level,20.0,-0.0377,-0.0329,-1.12,-0.13,-0.0574,-1.22,-6.77,REJECTED
