date,basic_industry,Q1_CURRENT_STRENGTH,EXPECTED_RETURN_20D,P_gt_5pct_20D,BEST_HORIZON,OPPORTUNITY_CLASS,Q3_KEY_POSITIVE_DRIVERS,Q3_KEY_RISK_FACTORS
2024-10-28,API & CDMO / CRAMS,41.3,-3.0,15.2,60D_STRUCTURAL,NEUTRAL,,-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-2.2% 20D RS)
2024-10-29,API & CDMO / CRAMS,42.3,-0.29,24.2,5D_SHORT_TERM,NEUTRAL,+Strength Accelerating (+8.7 pts),-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-3.5% 20D RS)
2024-10-30,API & CDMO / CRAMS,47.2,1.38,31.4,5D_SHORT_TERM,EMERGING_LEADER,+Strength Accelerating (+11.5 pts),-Weak Breadth Participation (56% > SMA50); -Underperforming NIFTY (-2.9% 20D RS)
2024-10-31,API & CDMO / CRAMS,51.6,2.28,35.7,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+0.4% 20D RS); +Strength Accelerating (+10.5 pts),-Weak Breadth Participation (56% > SMA50)
2024-11-01,API & CDMO / CRAMS,49.3,1.41,31.5,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+2.4% 20D RS); +Strength Accelerating (+8.8 pts),-Weak Breadth Participation (56% > SMA50)
2024-11-04,API & CDMO / CRAMS,58.4,4.72,48.5,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+5.4% 20D RS); +Strength Accelerating (+17.2 pts); +Volume Accumulation (1.3x 20D avg),-Weak Breadth Participation (56% > SMA50)
2024-11-05,API & CDMO / CRAMS,53.2,2.72,37.9,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+4.7% 20D RS); +Strength Accelerating (+10.9 pts),-Weak Breadth Participation (56% > SMA50)
2024-11-06,API & CDMO / CRAMS,69.7,7.42,62.8,5D_SHORT_TERM,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.5% 20D RS); +Strength Accelerating (+22.5 pts),
2024-11-07,API & CDMO / CRAMS,59.6,3.74,43.2,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (67% > SMA50); +Outperforming NIFTY (+1.6% 20D RS); +Strength Accelerating (+8.0 pts),
2024-11-08,API & CDMO / CRAMS,55.4,2.41,36.3,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (67% > SMA50); +Strength Accelerating (+6.1 pts),-Underperforming NIFTY (-1.0% 20D RS)
2024-11-11,API & CDMO / CRAMS,48.6,-2.11,17.8,60D_STRUCTURAL,WEAKENING,+Broad Industry Participation (67% > SMA50),-Underperforming NIFTY (-4.0% 20D RS); -Strength Decelerating (-9.8 pts)
2024-11-12,API & CDMO / CRAMS,47.7,-1.53,19.7,60D_STRUCTURAL,NEUTRAL,+Volume Accumulation (1.2x 20D avg),-Weak Breadth Participation (56% > SMA50); -Underperforming NIFTY (-4.3% 20D RS)
2024-11-13,API & CDMO / CRAMS,34.0,-6.53,8.0,60D_STRUCTURAL,DISTRIBUTION,+Volume Accumulation (1.9x 20D avg),-Weak Breadth Participation (33% > SMA50); -Underperforming NIFTY (-8.4% 20D RS)
2024-11-14,API & CDMO / CRAMS,39.7,-5.16,10.3,60D_STRUCTURAL,WEAKENING,,-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-5.0% 20D RS)
2024-11-18,API & CDMO / CRAMS,38.7,-5.41,9.9,60D_STRUCTURAL,WEAKENING,,-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-5.9% 20D RS)
2024-11-19,API & CDMO / CRAMS,42.5,-2.89,15.5,60D_STRUCTURAL,WEAKENING,,-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-3.0% 20D RS)
2024-11-20,API & CDMO / CRAMS,47.0,-0.83,22.1,60D_STRUCTURAL,NEUTRAL,+Outperforming NIFTY (+0.8% 20D RS),-Weak Breadth Participation (44% > SMA50)
2024-11-21,API & CDMO / CRAMS,45.1,0.83,28.9,5D_SHORT_TERM,EMERGING_LEADER,+Strength Accelerating (+11.1 pts),-Weak Breadth Participation (44% > SMA50); -Underperforming NIFTY (-1.4% 20D RS)
2024-11-22,API & CDMO / CRAMS,55.3,3.97,44.4,5D_SHORT_TERM,EMERGING_LEADER,+Outperforming NIFTY (+1.5% 20D RS); +Strength Accelerating (+15.6 pts),-Weak Breadth Participation (56% > SMA50)
2024-11-25,API & CDMO / CRAMS,64.6,6.21,56.5,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.9% 20D RS); +Strength Accelerating (+25.9 pts),
2024-11-26,API & CDMO / CRAMS,63.7,5.98,55.3,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+2.8% 20D RS); +Strength Accelerating (+21.1 pts),
2024-11-27,API & CDMO / CRAMS,65.4,6.4,57.5,5D_SHORT_TERM,ESTABLISHED_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.7% 20D RS); +Strength Accelerating (+18.4 pts),
2024-11-28,API & CDMO / CRAMS,63.7,5.98,55.3,5D_SHORT_TERM,EMERGING_LEADER,+Broad Industry Participation (78% > SMA50); +Outperforming NIFTY (+3.5% 20D RS); +Strength Accelerating (+18.6 pts),
