date,ensemble_dispersion,model_agreement_score
2024-10-28,2.8597258329728685,57.1
2024-10-29,2.5768377193211656,61.3
2024-10-30,2.2295835022859234,66.6
2024-10-31,1.9721472100103712,70.4
2024-11-01,1.8146059046036906,72.8
2024-11-04,1.4598174150143066,78.1
2024-11-05,1.2673198741074259,81.0
2024-11-06,1.1649459704084402,82.5
2024-11-07,0.969029701094256,85.5
2024-11-08,1.2840299263834674,80.7
2024-11-11,1.1717708040855526,82.4
2024-11-12,2.0782123771240575,68.8
2024-11-13,2.3708214622569415,64.4
2024-11-14,2.8921898826109915,56.6
2024-11-18,2.9462077788524,55.8
2024-11-19,2.512846669043603,62.3
2024-11-20,2.3838302079578733,64.2
2024-11-21,2.4744256209231414,62.9
2024-11-22,2.2441464447001014,66.3
2024-11-25,2.138841891737392,67.9
2024-11-26,1.569488999361494,76.5
2024-11-27,1.5010295778246208,77.5
2024-11-28,1.675146402346811,74.9
2024-11-29,1.4196004456654299,78.7
2024-12-02,1.0106738849779748,84.8
2024-12-03,0.609128406578036,90.9
2024-12-04,0.31937418610213925,95.2
2024-12-05,0.10128030391587561,98.5
2024-12-06,0.6714661832420914,89.9
2024-12-09,0.6569144976937037,90.1
2024-12-10,0.5724554303426169,91.4
2024-12-11,0.5106499562558365,92.3
2024-12-12,0.47857884694262826,92.8
2024-12-13,0.5495558089959943,91.8
2024-12-16,0.5003253712348541,92.5
2024-12-17,0.5574183430351045,91.6
2024-12-18,0.2363239041214775,96.5
2024-12-19,0.2809314618040753,95.8
2024-12-20,1.4148787914346657,78.8
2024-12-23,1.964928501201833,70.5
2024-10-28,3.4661964879367217,48.0
2024-10-29,3.5351377524056344,47.0
2024-10-30,1.9638849319483456,70.5
2024-10-31,1.6665766001708846,75.0
2024-11-01,2.2065603012474133,66.9
2024-11-04,2.0231088260617005,69.7
2024-11-05,1.065731405138279,84.0
2024-11-06,0.7917714840477804,88.1
2024-11-07,0.8630417143413883,87.1
2024-11-08,1.0040061912688747,84.9
2024-11-11,0.7882680336243219,88.2
2024-11-12,1.9093442359940809,71.4
2024-11-13,3.953400287292975,40.7
2024-11-14,3.799997664602986,43.0
2024-11-18,3.7929864622636487,43.1
2024-11-19,2.0385856828237126,69.4
2024-11-20,2.0159560554372096,69.8
2024-11-21,3.426190511893735,48.6
2024-11-22,2.89227791728481,56.6
2024-11-25,2.429971187309175,63.6
2024-11-26,1.7597409726294246,73.6
2024-11-27,1.4786482003123447,77.8
2024-11-28,1.551722054083344,76.7
2024-11-29,1.5313277249079644,77.0
2024-12-02,1.3334885693890803,80.0
2024-12-03,1.2774768815414523,80.8
2024-12-04,0.3315026496524425,95.0
2024-12-05,0.5925760803628631,91.1
2024-12-06,1.1803173313063549,82.3
2024-12-09,1.1407515788362115,82.9
2024-12-10,0.6739429918508837,89.9
2024-12-11,0.9169791369554168,86.2
2024-12-12,0.497254218841691,92.5
2024-12-13,0.3104169443308174,95.3
2024-12-16,0.32209506650054126,95.2
2024-12-17,0.2364437986330074,96.5
2024-12-18,0.30699397936240186,95.4
2024-12-19,0.15162175116979493,97.7
2024-12-20,1.7286700862182163,74.1
2024-12-23,2.1596845887394247,67.6
2024-10-28,2.6967559783340422,59.5
2024-10-29,2.2290141455336556,66.6
2024-10-30,1.8035051388817258,72.9
2024-10-31,2.1472632158870577,67.8
2024-11-01,1.8090875321402384,72.9
2024-11-04,1.914571409207163,71.3
2024-11-05,1.5701434531664875,76.4
2024-11-06,1.1647674542677002,82.5
2024-11-07,1.2644928985215365,81.0
2024-11-08,1.8621999210471043,72.1
2024-11-11,1.7510908760837793,73.7
2024-11-12,2.6620968204862234,60.1
2024-11-13,2.670583508968047,59.9
2024-11-14,2.950082665508065,55.7
2024-11-18,2.9244737646021894,56.1
2024-11-19,2.6120998784745773,60.8
2024-11-20,3.1288783681188286,53.1
2024-11-21,3.8188002757144153,42.7
2024-11-22,3.2566633583355804,51.2
2024-11-25,3.2815405313845116,50.8
2024-11-26,2.8607256846355753,57.1
2024-11-27,2.1496669096859256,67.8
2024-11-28,1.913313571577397,71.3
2024-11-29,2.4935031205302804,62.6
2024-12-02,0.9688052502398284,85.5
2024-12-03,0.6854890860934492,89.7
2024-12-04,0.7423855103742074,88.9
2024-12-05,0.647575214628349,90.3
2024-12-06,0.4957698826484188,92.6
2024-12-09,0.7229490203899591,89.2
2024-12-10,0.6155059075377511,90.8
2024-12-11,0.6080987984190931,90.9
2024-12-12,0.5912149796724891,91.1
2024-12-13,0.6063035835153444,90.9
2024-12-16,0.761428559734541,88.6
2024-12-17,0.773309804585746,88.4
2024-12-18,0.3437702677223831,94.8
2024-12-19,0.1870746261679377,97.2
2024-12-20,2.3828456754744636,64.3
2024-12-23,2.1335587645208425,68.0
2024-10-28,3.06015372354797,54.1
