Date,Rolling_Rank_IC,Rolling_MAE,Rolling_Decile_Spread,Monitoring_Status
2024-12-10,-0.2821,5.16,-4.59,FAILED
2024-12-11,-0.3262,5.4,-5.17,FAILED
2024-12-12,-0.3694,5.69,-6.01,FAILED
2024-12-13,-0.4137,6.0,-6.84,FAILED
2024-12-16,-0.4566,6.36,-7.73,FAILED
2024-12-17,-0.4996,6.86,-8.94,FAILED
2024-12-18,-0.5267,7.27,-9.73,FAILED
2024-12-19,-0.5401,7.61,-9.89,FAILED
2024-12-20,-0.5539,7.85,-10.12,FAILED
2024-12-23,-0.5559,8.0,-10.16,FAILED
2024-12-24,-0.5477,8.11,-10.08,FAILED
2024-12-25,-0.5277,8.25,-9.82,FAILED
2024-12-26,-0.4951,8.43,-9.4,FAILED
2024-12-27,-0.4443,8.48,-8.31,FAILED
2024-12-30,-0.3889,8.61,-7.24,FAILED
2024-12-31,-0.3145,8.78,-5.64,FAILED
2025-01-01,-0.2365,9.07,-4.24,FAILED
2025-01-02,-0.1826,9.37,-3.13,FAILED
2025-01-03,-0.1255,9.69,-1.89,FAILED
2025-01-06,-0.0786,10.05,-1.2,DEGRADING
2025-01-07,-0.1037,10.14,-2.06,FAILED
2025-01-08,-0.0745,10.38,-1.61,DEGRADING
2025-01-09,-0.0692,10.53,-1.58,DEGRADING
2025-01-10,-0.0693,10.61,-1.47,DEGRADING
2025-01-13,-0.0882,10.59,-1.78,DEGRADING
2025-01-14,-0.1396,10.47,-2.51,FAILED
2025-01-15,-0.1508,10.44,-2.47,FAILED
2025-01-16,-0.1591,10.45,-2.2,FAILED
2025-01-17,-0.1593,10.56,-1.6,FAILED
2025-01-20,-0.1484,10.77,-1.13,FAILED
2025-01-21,-0.1274,10.91,-0.86,FAILED
2025-01-22,-0.1127,11.07,-0.66,FAILED
2025-01-23,-0.1088,11.04,-0.66,FAILED
2025-01-24,-0.113,10.98,-0.97,FAILED
2025-01-27,-0.1037,10.8,-1.09,FAILED
2025-01-28,-0.0848,10.39,-0.89,DEGRADING
2025-01-29,-0.0877,10.06,-1.38,DEGRADING
2025-01-30,-0.0606,9.92,-1.01,DEGRADING
2025-01-31,-0.0309,9.92,-0.46,DEGRADING
2025-02-03,-0.0137,10.1,-0.0,DEGRADING
2025-02-04,-0.0221,10.33,-0.2,DEGRADING
2025-02-05,-0.0254,10.46,-0.09,DEGRADING
2025-02-06,-0.0233,10.56,-0.1,DEGRADING
2025-02-07,-0.0318,10.7,-0.17,DEGRADING
2025-02-10,-0.0291,10.83,-0.11,DEGRADING
2025-02-11,-0.0113,10.84,0.22,DEGRADING
2025-02-12,0.0153,10.65,0.51,WATCH
2025-02-13,0.0408,10.48,0.95,WATCH
2025-02-14,0.0768,10.27,1.3,WATCH
2025-02-17,0.0765,9.94,1.7,WATCH
2025-02-18,-0.0002,9.84,0.09,DEGRADING
2025-02-19,-0.0432,9.62,-0.87,DEGRADING
2025-02-20,-0.0654,9.48,-1.17,DEGRADING
2025-02-21,-0.0815,9.41,-1.12,DEGRADING
2025-02-24,-0.0882,9.4,-1.07,DEGRADING
2025-02-25,-0.0748,9.44,-0.82,DEGRADING
2025-02-27,-0.0673,9.36,-0.73,DEGRADING
2025-02-28,-0.0822,9.25,-1.02,DEGRADING
2025-03-03,-0.1008,9.13,-1.56,FAILED
2025-03-04,-0.1208,8.94,-2.21,FAILED
2025-03-05,-0.1169,8.71,-2.08,FAILED
2025-03-06,-0.102,8.34,-1.75,FAILED
2025-03-07,-0.0899,8.15,-1.71,DEGRADING
2025-03-10,-0.0748,7.95,-1.29,DEGRADING
2025-03-11,-0.0767,7.81,-1.51,DEGRADING
2025-03-12,-0.073,7.77,-1.41,DEGRADING
2025-03-13,-0.0645,7.82,-1.4,DEGRADING
2025-03-17,-0.0647,7.8,-1.51,DEGRADING
2025-03-18,-0.0706,7.72,-1.78,DEGRADING
2025-03-19,-0.0448,7.47,-1.13,DEGRADING
2025-03-20,-0.0054,7.17,0.05,DEGRADING
2025-03-21,0.0326,6.9,0.86,WATCH
2025-03-24,0.0736,6.6,1.63,WATCH
2025-03-25,0.0875,6.31,2.0,HEALTHY
2025-03-26,0.1222,5.95,2.73,HEALTHY
2025-03-27,0.1627,5.64,3.17,HEALTHY
2025-03-28,0.1593,5.47,2.8,HEALTHY
2025-04-01,0.1602,5.29,2.55,HEALTHY
2025-04-02,0.1419,5.1,1.86,HEALTHY
2025-04-03,0.0856,5.11,0.92,WATCH
2025-04-04,0.0339,5.18,-0.07,DEGRADING
2025-04-07,0.0178,5.17,0.02,WATCH
2025-04-08,0.0032,5.22,-0.25,DEGRADING
2025-04-09,-0.0122,5.31,-0.37,DEGRADING
2025-04-11,-0.0287,5.48,-0.43,DEGRADING
2025-04-15,-0.0372,5.6,-0.24,DEGRADING
2025-04-16,-0.0427,5.62,-0.15,DEGRADING
2025-04-17,-0.0501,5.62,-0.16,DEGRADING
2025-04-21,-0.0315,5.56,-0.06,DEGRADING
2025-04-22,-0.0161,5.41,0.07,DEGRADING
2025-04-23,-0.0019,5.27,0.14,DEGRADING
2025-04-24,-0.0369,5.3,-0.34,DEGRADING
2025-04-25,-0.0999,5.26,-1.65,DEGRADING
2025-04-28,-0.1433,5.26,-2.51,FAILED
2025-04-29,-0.1802,5.24,-3.24,FAILED
2025-04-30,-0.1902,5.21,-3.49,FAILED
2025-05-02,-0.173,5.15,-3.09,FAILED
2025-05-05,-0.1377,5.05,-2.41,FAILED
2025-05-06,-0.0877,4.9,-1.61,DEGRADING
2025-05-07,-0.0777,4.95,-1.26,DEGRADING
2025-05-08,-0.0825,5.06,-1.12,DEGRADING
2025-05-09,-0.0909,5.24,-1.18,DEGRADING
2025-05-12,-0.0991,5.45,-1.15,DEGRADING
2025-05-13,-0.0875,5.46,-1.07,DEGRADING
2025-05-14,-0.0866,5.45,-0.96,DEGRADING
2025-05-15,-0.0964,5.41,-1.2,DEGRADING
2025-05-16,-0.1321,5.42,-1.78,FAILED
2025-05-19,-0.1776,5.48,-2.35,FAILED
2025-05-20,-0.2277,5.57,-3.21,FAILED
2025-05-21,-0.2666,5.58,-3.65,FAILED
2025-05-22,-0.3003,5.59,-4.0,FAILED
2025-05-23,-0.3522,5.69,-4.91,FAILED
2025-05-26,-0.3925,5.73,-5.72,FAILED
2025-05-27,-0.4124,5.76,-6.1,FAILED
2025-05-28,-0.4067,5.68,-6.08,FAILED
2025-05-29,-0.4047,5.63,-6.37,FAILED
2025-05-30,-0.4137,5.68,-6.58,FAILED
2025-06-02,-0.4196,5.72,-6.64,FAILED
2025-06-03,-0.4217,5.76,-6.62,FAILED
2025-06-04,-0.4283,5.82,-6.82,FAILED
2025-06-05,-0.4333,5.87,-6.9,FAILED
2025-06-06,-0.4415,5.94,-7.0,FAILED
2025-06-09,-0.4485,6.03,-7.17,FAILED
2025-06-10,-0.4466,6.15,-7.21,FAILED
2025-06-11,-0.4427,6.31,-7.14,FAILED
2025-06-12,-0.4369,6.46,-7.1,FAILED
2025-06-13,-0.4096,6.48,-6.69,FAILED
2025-06-16,-0.376,6.46,-6.01,FAILED
2025-06-17,-0.3419,6.46,-5.63,FAILED
2025-06-18,-0.2963,6.3,-4.46,FAILED
