Evaluation_Date,Rolling_60D_Rank_IC,Drift_Alert_Level
2024-06-07,-0.1754,RED (Significant Degradation)
2024-07-05,-0.1702,RED (Significant Degradation)
2024-08-02,-0.1838,RED (Significant Degradation)
2024-08-30,-0.0549,RED (Significant Degradation)
2024-09-27,-0.0515,RED (Significant Degradation)
2024-10-25,0.0195,YELLOW (Deterioration)
2024-11-25,-0.2556,RED (Significant Degradation)
2024-12-23,-0.3235,RED (Significant Degradation)
2025-01-20,-0.3748,RED (Significant Degradation)
2025-02-17,0.0574,GREEN (Normal)
2025-03-19,-0.2173,RED (Significant Degradation)
2025-04-22,0.0234,YELLOW (Deterioration)
2025-05-21,-0.0894,RED (Significant Degradation)
2025-06-18,-0.3511,RED (Significant Degradation)
2025-07-16,-0.2544,RED (Significant Degradation)
2025-08-13,0.0714,GREEN (Normal)
2026-07-21,0.1056,GREEN (Normal)
2026-07-23,0.1566,GREEN (Normal)
