Model,Rank_IC,Pearson_IC,IC_IR,Decile_Spread_pct,Directional_Accuracy_pct,Hit_Rate_pct,Profit_Factor,Sharpe_Ratio,MAE,RMSE,Brier_Score,Sample_Size_N
Existing_Deterministic_V1,-0.021,-0.0334,-0.26,-1.19,55.3,37.9,0.56,-0.14,6.28,8.8,0.2674,14643
CatBoost_Tree,-0.0256,-0.0352,-0.32,-0.03,47.5,39.5,0.8,-0.0,9.2,11.99,0.3995,14643
RandomForest,-0.0283,-0.0336,-0.35,1.56,47.5,39.6,0.8,0.19,9.13,11.89,0.3969,14643
XGBoost,-0.0541,-0.0539,-0.68,0.5,45.3,37.8,0.77,0.06,8.79,11.46,0.3985,14643
QUANT_MULTI_MODEL_V1,-0.0599,-0.0648,-0.75,1.32,44.9,37.8,0.77,0.16,8.55,11.23,0.3961,14643
LightGBM,-0.0599,-0.0597,-0.75,0.68,45.2,37.6,0.78,0.08,8.68,11.36,0.3971,14643
ElasticNet,-0.0762,-0.0968,-0.95,-0.08,41.4,35.5,0.69,-0.01,7.66,10.32,0.3673,14643
Ridge,-0.0919,-0.1086,-1.15,-3.97,42.3,37.1,0.72,-0.47,8.51,11.32,0.3997,14643
LogisticRegression,-0.0973,-0.104,-1.22,-2.89,42.4,36.0,0.79,-0.34,7.07,9.74,0.3291,14643
Historical_Baseline,-0.145,-0.1016,-1.81,-3.28,40.8,33.4,0.75,-0.39,6.83,9.31,0.3065,14643
