Industry,5D_Expected_Excess (%),10D_Expected_Excess (%),20D_Expected_Excess (%),30D_Expected_Excess (%),60D_Expected_Excess (%),90D_Expected_Excess (%)
API & CDMO / CRAMS,-0.94,-1.32,-1.87,-2.29,-3.24,-3.97
Aerospace & Defence,-1.04,-1.47,-2.08,-2.54,-3.6,-4.4
Affordable Housing Finance Company,-2.29,-3.23,-4.57,-5.6,-7.92,-9.7
Agrochemicals & Pesticides,-2.22,-3.14,-4.44,-5.44,-7.69,-9.42
Air Conditioners & AC Components,-1.88,-2.66,-3.76,-4.61,-6.52,-7.99
Air Conditioners & Appliances,-1.79,-2.54,-3.59,-4.4,-6.22,-7.61
Aluminium & Mining,-1.31,-1.86,-2.63,-3.22,-4.55,-5.57
Asset Management & Wealth,0.21,0.3,0.42,0.52,0.73,0.9
Asset Management Company (AMC),-1.17,-1.65,-2.34,-2.86,-4.05,-4.96
Auto Glass,-0.44,-0.62,-0.88,-1.07,-1.52,-1.86
Auto Lighting,-2.35,-3.33,-4.71,-5.77,-8.16,-9.99
Auto Parts & Equipment,-1.23,-1.74,-2.47,-3.02,-4.27,-5.23
Automobile OEMs,-1.0,-1.41,-1.99,-2.44,-3.45,-4.23
Automobile and Auto Components,-1.25,-1.77,-2.5,-3.07,-4.34,-5.31
Banks,-1.23,-1.74,-2.45,-3.01,-4.25,-5.21
Batteries,-1.42,-2.0,-2.83,-3.47,-4.91,-6.01
Batteries & Energy Storage,-0.55,-0.78,-1.1,-1.35,-1.9,-2.33
Bearings & Friction Solutions,-1.34,-1.9,-2.69,-3.29,-4.65,-5.7
Breweries & Distilleries,-1.15,-1.62,-2.29,-2.81,-3.97,-4.87
Capital Goods,-0.93,-1.32,-1.87,-2.29,-3.24,-3.96
Capital Markets & Asset Management,-0.79,-1.12,-1.58,-1.93,-2.73,-3.35
Cement,-1.98,-2.81,-3.97,-4.86,-6.88,-8.42
Cement & Clinker,-1.86,-2.63,-3.71,-4.55,-6.43,-7.88
Ceramics & Tiles,-1.73,-2.44,-3.46,-4.23,-5.99,-7.33
Chemicals,-1.38,-1.96,-2.77,-3.39,-4.8,-5.87
Civil Buildings & Commercial EPC,-2.56,-3.62,-5.12,-6.27,-8.87,-10.87
Civil Construction & Infrastructure,-1.78,-2.52,-3.56,-4.36,-6.17,-7.56
Civil Construction & Infrastructure EPC,-1.4,-1.99,-2.81,-3.44,-4.87,-5.96
Commodity Chemicals,-0.94,-1.33,-1.88,-2.3,-3.26,-3.99
Construction,-0.87,-1.23,-1.75,-2.14,-3.02,-3.7
Construction Materials,0.78,1.1,1.56,1.91,2.7,3.3
Consumer Durables,-1.01,-1.42,-2.01,-2.46,-3.48,-4.27
Consumer Services,-1.1,-1.56,-2.21,-2.71,-3.83,-4.69
Copper & Non-Ferrous Metals,-0.46,-0.65,-0.92,-1.12,-1.59,-1.95
Copper Mining,0.91,1.28,1.81,2.22,3.14,3.84
Dairy Products,0.33,0.47,0.66,0.81,1.14,1.4
Data Centers & Real Estate,-0.51,-0.72,-1.02,-1.25,-1.77,-2.16
