Industry,Extreme_Upside_Score,Extreme_Upside_Signature,P_gt_10pct,P_gt_15pct,P90_Potential (%),P95_Potential (%)
API & CDMO / CRAMS,34.9,NEGATIVE DOWNSIDE PRESSURE,1.7,0.5,4.24,6.32
Aerospace & Defence,28.1,NEGATIVE DOWNSIDE PRESSURE,1.6,0.5,4.04,6.11
Affordable Housing Finance Company,15.6,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.54,3.61
Agrochemicals & Pesticides,20.3,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.67,3.75
Air Conditioners & AC Components,19.0,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.35,4.42
Air Conditioners & Appliances,20.2,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.52,4.6
Aluminium & Mining,21.2,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.48,5.56
Asset Management & Wealth,56.7,MODERATE UPSIDE SIGNATURE,3.2,0.8,6.54,8.61
Asset Management Company (AMC),42.9,NEUTRAL / DORMANT,1.5,0.5,3.78,5.85
Auto Glass,38.2,NEUTRAL / DORMANT,2.2,0.6,5.23,7.31
Auto Lighting,12.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.4,3.48
Auto Parts & Equipment,20.8,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.65,5.72
Automobile OEMs,24.2,NEGATIVE DOWNSIDE PRESSURE,1.6,0.5,4.12,6.19
Automobile and Auto Components,31.6,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.61,5.68
Banks,30.3,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.66,5.73
Batteries,13.5,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.28,5.35
Batteries & Energy Storage,14.4,NEGATIVE DOWNSIDE PRESSURE,2.1,0.6,5.01,7.09
Bearings & Friction Solutions,38.1,NEUTRAL / DORMANT,1.3,0.5,3.43,5.5
Breweries & Distilleries,40.2,NEUTRAL / DORMANT,1.5,0.5,3.82,5.89
Capital Goods,30.5,NEGATIVE DOWNSIDE PRESSURE,1.7,0.5,4.24,6.32
Capital Markets & Asset Management,37.8,NEUTRAL / DORMANT,1.8,0.5,4.53,6.61
Cement,18.0,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.14,4.22
Cement & Clinker,20.1,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.4,4.47
Ceramics & Tiles,21.0,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.66,4.73
Chemicals,28.3,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.34,5.42
Civil Buildings & Commercial EPC,12.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,0.99,3.06
Civil Construction & Infrastructure,23.4,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.55,4.62
Civil Construction & Infrastructure EPC,20.1,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.3,5.38
Commodity Chemicals,28.1,NEGATIVE DOWNSIDE PRESSURE,1.6,0.5,4.23,6.31
Construction,43.7,NEUTRAL / DORMANT,1.7,0.5,4.37,6.44
Construction Materials,48.5,NEUTRAL / DORMANT,4.6,1.1,7.67,9.74
Consumer Durables,30.3,NEGATIVE DOWNSIDE PRESSURE,1.6,0.5,4.1,6.17
Consumer Services,30.7,NEGATIVE DOWNSIDE PRESSURE,1.5,0.5,3.9,5.98
Copper & Non-Ferrous Metals,33.1,NEGATIVE DOWNSIDE PRESSURE,2.2,0.6,5.19,7.27
Copper Mining,57.5,MODERATE UPSIDE SIGNATURE,5.0,1.2,7.92,10.0
Dairy Products,58.8,MODERATE UPSIDE SIGNATURE,3.5,0.9,6.77,8.84
Data Centers & Real Estate,31.4,NEGATIVE DOWNSIDE PRESSURE,2.1,0.6,5.09,7.17
Diagnostic & Healthcare Laboratories,27.7,NEGATIVE DOWNSIDE PRESSURE,2.1,0.6,5.08,7.15
Diversified & Fashion Retail,19.8,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.33,5.4
Diversified Commercial,27.6,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.6,5.67
Diversified Retail,21.5,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.44,4.52
Edible Oils,30.3,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.46,5.54
Electronic Manufacturing Services (EMS),18.2,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.66,5.73
Explosives & Defence Chemicals,30.7,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.42,5.5
Fast Moving Consumer Goods,22.0,NEGATIVE DOWNSIDE PRESSURE,1.3,0.5,3.41,5.49
Fertilizers,15.6,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.56,3.64
Fertilizers & Agrochemicals,11.4,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,2.42,4.49
Financial Services,36.0,NEUTRAL / DORMANT,1.4,0.5,3.68,5.76
Footwear,27.2,NEGATIVE DOWNSIDE PRESSURE,1.1,0.5,2.85,4.93
Gas Distribution,18.9,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.59,3.67
Gas Transmission & Distribution,23.1,NEGATIVE DOWNSIDE PRESSURE,1.0,0.5,1.88,3.96
Healthcare,25.6,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.73,5.81
Heavy Electrical Equipment,42.2,NEUTRAL / DORMANT,2.2,0.6,5.26,7.33
Hospitals & Diagnostic Centres,26.1,NEGATIVE DOWNSIDE PRESSURE,1.4,0.5,3.74,5.81
