Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank,Leadership_State,Leadership_Acceleration_Score,Forward_Opportunity_Score,Best_Horizon,5D_Expected_Return (%),10D_Expected_Return (%),20D_Expected_Return (%),30D_Expected_Return (%),60D_Expected_Return (%),90D_Expected_Return (%),20D_P10 (%),20D_P50 (%),20D_P90 (%),Upside_Asymmetry_Score,Model_Consensus_Score,Model_Consensus_Label,Analog_Quality_Score,Reliability_Level,Model_Confidence (%),Final_Opportunity_Class,Final_Research_Rank
Copper Mining,Other,1,60.7,2,EMERGING LEADER,100.0,59.8,5D,1.06,1.63,2.61,3.42,5.64,7.64,-2.7,2.61,7.92,54.9,76.1,MODERATE CONSENSUS,66.2,LOW (N<2),49.0,INSUFFICIENT DATA,1
Travel Tech SaaS Solutions,Other,1,48.6,5,EMERGING LEADER,100.0,59.3,5D,0.99,1.54,2.48,3.26,5.42,7.37,-2.83,2.48,7.8,54.7,77.3,MODERATE CONSENSUS,62.3,LOW (N<2),48.6,INSUFFICIENT DATA,2
Zinc & Silver Mining,Other,1,58.7,3,EMERGING LEADER,86.9,59.0,5D,1.01,1.56,2.52,3.3,5.48,7.44,-2.79,2.52,7.83,54.7,86.4,HIGH MODEL CONSENSUS,69.4,LOW (N<2),52.7,INSUFFICIENT DATA,3
Saw Pipes & Ductile Iron Pipes,Other,1,68.7,1,EMERGING LEADER,87.4,58.7,5D,1.07,1.66,2.65,3.47,5.7,7.72,-2.66,2.65,7.96,54.9,75.8,MODERATE CONSENSUS,43.0,LOW (N<2),44.2,INSUFFICIENT DATA,4
Construction Materials,Other,1,58.7,4,NEUTRAL,51.5,53.8,5D,0.93,1.45,2.36,3.11,5.2,7.1,-2.95,2.36,7.67,54.5,78.4,MODERATE CONSENSUS,68.1,LOW (N<2),50.0,INSUFFICIENT DATA,5
Asset Management & Wealth,Other,2,42.3,8,EMERGING LEADER,100.0,53.6,5D,0.36,0.65,1.22,1.72,3.23,4.7,-4.09,1.22,6.54,53.1,88.6,HIGH MODEL CONSENSUS,59.6,MODERATE,56.8,STRONG OPPORTUNITY,6
Dairy Products,Other,5,46.4,7,EMERGING LEADER,75.4,52.2,5D,0.48,0.82,1.46,2.01,3.64,5.2,-3.85,1.46,6.77,53.3,86.5,HIGH MODEL CONSENSUS,63.0,HIGH,67.4,STRONG OPPORTUNITY,7
Copper & Non-Ferrous Metals,Other,1,39.2,13,EMERGING LEADER,79.3,45.0,90D (Sparse),-0.31,-0.3,-0.12,0.08,0.91,1.85,-5.43,-0.12,5.19,52.0,97.0,HIGH MODEL CONSENSUS,69.1,LOW (N<2),55.8,INSUFFICIENT DATA,8
Oil Gas & Consumable Fuels,Other,1,23.7,41,NEUTRAL,52.9,42.6,90D (Sparse),-0.29,-0.27,-0.08,0.12,0.97,1.93,-5.4,-0.08,5.23,52.0,97.1,HIGH MODEL CONSENSUS,66.9,LOW (N<2),55.4,INSUFFICIENT DATA,9
Steel Manufacturing & Mining,Other,1,38.5,15,NEUTRAL,51.4,42.6,90D (Sparse),-0.28,-0.26,-0.06,0.15,1.01,1.98,-5.37,-0.06,5.25,52.0,97.2,HIGH MODEL CONSENSUS,69.1,LOW (N<2),55.9,INSUFFICIENT DATA,9
Textiles,Other,3,32.4,18,NEUTRAL,42.7,42.2,90D (Sparse),-0.23,-0.19,0.03,0.26,1.17,2.18,-5.28,0.03,5.35,52.1,97.3,HIGH MODEL CONSENSUS,64.8,MODERATE,64.5,WATCHLIST,11
Structural Steel Tubes & Pipes,Other,1,41.6,9,NEUTRAL,47.7,42.1,90D (Sparse),-0.29,-0.27,-0.08,0.12,0.97,1.93,-5.4,-0.08,5.23,52.0,97.1,HIGH MODEL CONSENSUS,68.6,LOW (N<2),55.8,INSUFFICIENT DATA,12
Wealth & Asset Management,Other,1,39.3,12,NEUTRAL,50.8,42.1,90D (Sparse),-0.31,-0.3,-0.13,0.07,0.9,1.84,-5.44,-0.13,5.19,52.0,97.0,HIGH MODEL CONSENSUS,69.1,LOW (N<2),55.8,INSUFFICIENT DATA,12
Superalloys & Special Metals,Other,1,27.9,27,NEUTRAL,48.5,41.9,90D (Sparse),-0.31,-0.3,-0.12,0.07,0.91,1.85,-5.43,-0.12,5.19,52.0,97.0,HIGH MODEL CONSENSUS,67.7,LOW (N<2),55.5,INSUFFICIENT DATA,14
Diagnostic & Healthcare Laboratories,Other,1,38.3,16,NEUTRAL,50.2,41.4,90D (Sparse),-0.37,-0.38,-0.24,-0.07,0.71,1.6,-5.55,-0.24,5.08,51.9,96.5,HIGH MODEL CONSENSUS,68.8,LOW (N<2),55.6,INSUFFICIENT DATA,15
Data Centers & Real Estate,Other,1,37.9,17,NEUTRAL,46.4,41.1,90D (Sparse),-0.36,-0.37,-0.22,-0.05,0.73,1.64,-5.53,-0.22,5.09,51.9,96.6,HIGH MODEL CONSENSUS,69.0,LOW (N<2),55.7,INSUFFICIENT DATA,16
Batteries & Energy Storage,Other,1,27.8,28,NEUTRAL,49.8,41.0,90D (Sparse),-0.4,-0.43,-0.3,-0.15,0.6,1.47,-5.61,-0.3,5.01,51.9,96.1,HIGH MODEL CONSENSUS,67.0,LOW (N<2),55.1,INSUFFICIENT DATA,17
Heavy Electrical Equipment,Other,1,47.2,6,DECELERATING,34.2,40.9,90D (Sparse),-0.28,-0.25,-0.06,0.15,1.02,1.99,-5.37,-0.06,5.26,52.0,97.2,HIGH MODEL CONSENSUS,67.1,LOW (N<2),55.5,INSUFFICIENT DATA,18
Packaging & Containers,Other,3,40.5,10,NEUTRAL,43.9,40.8,90D (Sparse),-0.37,-0.38,-0.24,-0.07,0.7,1.6,-5.55,-0.24,5.07,51.9,96.4,HIGH MODEL CONSENSUS,68.8,MODERATE,65.0,NEUTRAL,19
Pipes & Tubes,Other,18,28.3,26,EMERGING LEADER,70.8,40.8,90D (Sparse),-0.58,-0.69,-0.67,-0.6,-0.04,0.68,-5.98,-0.67,4.64,51.7,93.2,HIGH MODEL CONSENSUS,65.3,VERY HIGH,95.8,NEUTRAL,19
