Industry,Leadership_State,Accel_Score,Recent_RS_Delta,Recent_Breadth_Delta
API & CDMO / CRAMS,NEUTRAL,44.4,1.62,0.0
Aerospace & Defence,DECELERATING,39.2,-3.34,5.0
Affordable Housing Finance Company,NEUTRAL,47.6,-3.34,0.0
Agrochemicals & Pesticides,WEAKENING,39.0,5.68,0.0
Air Conditioners & AC Components,NEUTRAL,45.2,-2.06,0.0
Air Conditioners & Appliances,NEUTRAL,51.2,1.77,0.0
Aluminium & Mining,NEUTRAL,51.9,3.04,0.0
Asset Management & Wealth,EMERGING LEADER,100.0,2.66,100.0
Asset Management Company (AMC),ACCELERATING,77.3,2.86,33.33
Auto Glass,DECELERATING,16.5,-4.89,0.0
Auto Lighting,NEUTRAL,54.8,7.01,0.0
Auto Parts & Equipment,NEUTRAL,42.5,-2.84,-5.0
Automobile OEMs,NEUTRAL,53.5,0.04,0.0
Automobile and Auto Components,NEUTRAL,47.4,-0.02,14.29
Banks,ACCELERATING,59.3,0.71,4.44
Batteries,NEUTRAL,48.7,-1.43,0.0
Batteries & Energy Storage,NEUTRAL,49.8,-0.15,0.0
Bearings & Friction Solutions,NEUTRAL,49.3,1.23,11.11
Breweries & Distilleries,EMERGING LEADER,61.3,0.45,18.18
Capital Goods,NEUTRAL,48.2,-1.3,0.0
Capital Markets & Asset Management,EMERGING LEADER,65.6,0.33,9.09
Cement,WEAKENING,42.3,-0.2,0.0
Cement & Clinker,NEUTRAL,54.8,0.84,0.0
Ceramics & Tiles,NEUTRAL,46.4,-0.68,0.0
Chemicals,NEUTRAL,52.6,-2.6,10.0
Civil Buildings & Commercial EPC,ACCELERATING,77.6,-2.65,0.0
Civil Construction & Infrastructure,NEUTRAL,47.4,-1.11,2.33
Civil Construction & Infrastructure EPC,NEUTRAL,52.1,3.32,0.0
Commodity Chemicals,NEUTRAL,50.7,-0.71,-2.33
Construction,EMERGING LEADER,60.4,1.65,20.0
Construction Materials,NEUTRAL,51.5,2.2,0.0
Consumer Durables,NEUTRAL,52.6,0.64,4.55
Consumer Services,ACCELERATING,59.0,1.54,4.76
Copper & Non-Ferrous Metals,EMERGING LEADER,79.3,-0.68,0.0
Copper Mining,EMERGING LEADER,100.0,1.12,0.0
Dairy Products,EMERGING LEADER,75.4,1.95,40.0
Data Centers & Real Estate,NEUTRAL,46.4,-5.15,0.0
Diagnostic & Healthcare Laboratories,NEUTRAL,50.2,0.4,0.0
Diversified & Fashion Retail,ACCELERATING,58.5,-0.62,0.0
Diversified Commercial,NEUTRAL,53.0,0.01,2.63
Diversified Retail,NEUTRAL,47.9,3.02,-10.0
Edible Oils,NEUTRAL,49.1,-1.31,0.0
Electronic Manufacturing Services (EMS),DECELERATING,32.2,0.13,-9.09
Explosives & Defence Chemicals,DECELERATING,31.4,-5.41,0.0
Fast Moving Consumer Goods,NEUTRAL,45.2,-2.27,-7.14
Fertilizers,ACCELERATING,64.2,-0.97,0.0
Fertilizers & Agrochemicals,WEAKENING,43.5,-1.69,-11.76
