Industry,Market_Regime,Risk_State,Regime_Conditional_20D_Return
API & CDMO / CRAMS,SIDEWAYS_ROTATION,ROTATION,-1.27
Aerospace & Defence,SIDEWAYS_ROTATION,ROTATION,-1.48
Affordable Housing Finance Company,SIDEWAYS_ROTATION,ROTATION,-3.97
Agrochemicals & Pesticides,SIDEWAYS_ROTATION,ROTATION,-3.84
Air Conditioners & AC Components,SIDEWAYS_ROTATION,ROTATION,-3.16
Air Conditioners & Appliances,SIDEWAYS_ROTATION,ROTATION,-2.99
Aluminium & Mining,SIDEWAYS_ROTATION,ROTATION,-2.03
Asset Management & Wealth,SIDEWAYS_ROTATION,ROTATION,1.02
Asset Management Company (AMC),SIDEWAYS_ROTATION,ROTATION,-1.74
Auto Glass,SIDEWAYS_ROTATION,ROTATION,-0.28
Auto Lighting,SIDEWAYS_ROTATION,ROTATION,-4.11
Auto Parts & Equipment,SIDEWAYS_ROTATION,ROTATION,-1.87
Automobile OEMs,SIDEWAYS_ROTATION,ROTATION,-1.39
Automobile and Auto Components,SIDEWAYS_ROTATION,ROTATION,-1.9
Banks,SIDEWAYS_ROTATION,ROTATION,-1.85
Batteries,SIDEWAYS_ROTATION,ROTATION,-2.23
Batteries & Energy Storage,SIDEWAYS_ROTATION,ROTATION,-0.5
Bearings & Friction Solutions,SIDEWAYS_ROTATION,ROTATION,-2.09
Breweries & Distilleries,SIDEWAYS_ROTATION,ROTATION,-1.69
Capital Goods,SIDEWAYS_ROTATION,ROTATION,-1.27
Capital Markets & Asset Management,SIDEWAYS_ROTATION,ROTATION,-0.98
Cement,SIDEWAYS_ROTATION,ROTATION,-3.37
Cement & Clinker,SIDEWAYS_ROTATION,ROTATION,-3.11
Ceramics & Tiles,SIDEWAYS_ROTATION,ROTATION,-2.86
Chemicals,SIDEWAYS_ROTATION,ROTATION,-2.17
Civil Buildings & Commercial EPC,SIDEWAYS_ROTATION,ROTATION,-4.52
Civil Construction & Infrastructure,SIDEWAYS_ROTATION,ROTATION,-2.96
Civil Construction & Infrastructure EPC,SIDEWAYS_ROTATION,ROTATION,-2.21
Commodity Chemicals,SIDEWAYS_ROTATION,ROTATION,-1.28
Construction,SIDEWAYS_ROTATION,ROTATION,-1.15
Construction Materials,SIDEWAYS_ROTATION,ROTATION,2.16
Consumer Durables,SIDEWAYS_ROTATION,ROTATION,-1.41
Consumer Services,SIDEWAYS_ROTATION,ROTATION,-1.61
Copper & Non-Ferrous Metals,SIDEWAYS_ROTATION,ROTATION,-0.32
Copper Mining,SIDEWAYS_ROTATION,ROTATION,2.41
Dairy Products,SIDEWAYS_ROTATION,ROTATION,1.26
Data Centers & Real Estate,SIDEWAYS_ROTATION,ROTATION,-0.42
