Industry,Constituent_Count,Reliability_Level,Analog_Count,Analog_Similarity,Confidence_Score
API & CDMO / CRAMS,9,HIGH,10,86.3,78.6
Aerospace & Defence,20,VERY HIGH,10,94.6,97.7
Affordable Housing Finance Company,1,LOW (N<2),10,97.9,46.4
Agrochemicals & Pesticides,2,MODERATE,10,98.1,52.1
Air Conditioners & AC Components,9,HIGH,10,93.2,74.0
Air Conditioners & Appliances,4,MODERATE,10,91.0,61.4
Aluminium & Mining,11,VERY HIGH,10,93.5,81.2
Asset Management & Wealth,2,MODERATE,10,74.1,56.8
Asset Management Company (AMC),3,MODERATE,10,87.7,61.1
Auto Glass,1,LOW (N<2),10,97.3,55.8
Auto Lighting,1,LOW (N<2),10,95.3,45.8
Auto Parts & Equipment,40,VERY HIGH,10,95.0,98.0
Automobile OEMs,16,VERY HIGH,10,91.6,91.6
Automobile and Auto Components,7,HIGH,10,94.8,73.0
Banks,45,VERY HIGH,10,93.7,98.0
Batteries,2,MODERATE,10,78.1,54.9
Batteries & Energy Storage,1,LOW (N<2),10,92.6,55.1
Bearings & Friction Solutions,9,HIGH,10,92.0,76.8
Breweries & Distilleries,11,VERY HIGH,10,93.9,82.1
Capital Goods,30,VERY HIGH,10,94.4,98.0
Capital Markets & Asset Management,11,VERY HIGH,10,89.2,83.6
Cement,8,HIGH,10,95.3,71.4
Cement & Clinker,21,VERY HIGH,10,94.1,94.7
Ceramics & Tiles,9,HIGH,10,95.0,75.0
Chemicals,10,VERY HIGH,10,93.9,78.9
Civil Buildings & Commercial EPC,1,LOW (N<2),10,84.8,43.8
Civil Construction & Infrastructure,43,VERY HIGH,10,94.6,98.0
Civil Construction & Infrastructure EPC,10,VERY HIGH,10,93.2,78.7
Commodity Chemicals,43,VERY HIGH,10,94.7,98.0
Construction,5,HIGH,10,86.1,69.0
Construction Materials,1,LOW (N<2),10,95.3,50.0
Consumer Durables,22,VERY HIGH,10,92.7,98.0
Consumer Services,21,VERY HIGH,10,90.7,98.0
Copper & Non-Ferrous Metals,1,LOW (N<2),10,97.7,55.8
