Industry,Horizon,Mean,P5,P10,P25,P50,P75,P90,P95
API & CDMO / CRAMS,20D,-1.07,-8.46,-6.38,-3.64,-1.07,1.5,4.24,6.32
Aerospace & Defence,20D,-1.28,-8.66,-6.59,-3.84,-1.28,1.29,4.04,6.11
Affordable Housing Finance Company,20D,-3.77,-11.16,-9.09,-6.34,-3.77,-1.21,1.54,3.61
Agrochemicals & Pesticides,20D,-3.64,-11.03,-8.95,-6.21,-3.64,-1.07,1.67,3.75
Air Conditioners & AC Components,20D,-2.96,-10.35,-8.28,-5.53,-2.96,-0.4,2.35,4.42
Air Conditioners & Appliances,20D,-2.79,-10.18,-8.1,-5.36,-2.79,-0.22,2.52,4.6
Aluminium & Mining,20D,-1.83,-9.21,-7.14,-4.39,-1.83,0.74,3.48,5.56
Asset Management & Wealth,20D,1.22,-6.16,-4.09,-1.34,1.22,3.79,6.54,8.61
Asset Management Company (AMC),20D,-1.54,-8.92,-6.85,-4.1,-1.54,1.03,3.78,5.85
Auto Glass,20D,-0.08,-7.46,-5.39,-2.64,-0.08,2.49,5.23,7.31
Auto Lighting,20D,-3.91,-11.3,-9.22,-6.48,-3.91,-1.34,1.4,3.48
Auto Parts & Equipment,20D,-1.67,-9.05,-6.98,-4.23,-1.67,0.9,3.65,5.72
Automobile OEMs,20D,-1.19,-8.58,-6.5,-3.76,-1.19,1.37,4.12,6.19
Automobile and Auto Components,20D,-1.7,-9.09,-7.02,-4.27,-1.7,0.86,3.61,5.68
Banks,20D,-1.65,-9.04,-6.97,-4.22,-1.65,0.91,3.66,5.73
Batteries,20D,-2.03,-9.42,-7.34,-4.6,-2.03,0.53,3.28,5.35
Batteries & Energy Storage,20D,-0.3,-7.69,-5.61,-2.87,-0.3,2.27,5.01,7.09
Bearings & Friction Solutions,20D,-1.89,-9.27,-7.2,-4.45,-1.89,0.68,3.43,5.5
Breweries & Distilleries,20D,-1.49,-8.88,-6.81,-4.06,-1.49,1.07,3.82,5.89
Capital Goods,20D,-1.07,-8.46,-6.38,-3.64,-1.07,1.5,4.24,6.32
Capital Markets & Asset Management,20D,-0.78,-8.16,-6.09,-3.34,-0.78,1.79,4.53,6.61
Cement,20D,-3.17,-10.56,-8.48,-5.74,-3.17,-0.6,2.14,4.22
Cement & Clinker,20D,-2.91,-10.3,-8.23,-5.48,-2.91,-0.35,2.4,4.47
Ceramics & Tiles,20D,-2.66,-10.04,-7.97,-5.22,-2.66,-0.09,2.66,4.73
Chemicals,20D,-1.97,-9.36,-7.28,-4.54,-1.97,0.6,3.34,5.42
Civil Buildings & Commercial EPC,20D,-4.32,-11.71,-9.63,-6.89,-4.32,-1.76,0.99,3.06
Civil Construction & Infrastructure,20D,-2.76,-10.15,-8.08,-5.33,-2.76,-0.2,2.55,4.62
Civil Construction & Infrastructure EPC,20D,-2.01,-9.4,-7.32,-4.58,-2.01,0.56,3.3,5.38
Commodity Chemicals,20D,-1.08,-8.47,-6.39,-3.65,-1.08,1.49,4.23,6.31
Construction,20D,-0.95,-8.33,-6.26,-3.51,-0.95,1.62,4.37,6.44
Construction Materials,20D,2.36,-5.03,-2.95,-0.21,2.36,4.92,7.67,9.74
Consumer Durables,20D,-1.21,-8.6,-6.52,-3.78,-1.21,1.35,4.1,6.17
Consumer Services,20D,-1.41,-8.8,-6.72,-3.98,-1.41,1.16,3.9,5.98
Copper & Non-Ferrous Metals,20D,-0.12,-7.5,-5.43,-2.68,-0.12,2.45,5.19,7.27
Copper Mining,20D,2.61,-4.77,-2.7,0.05,2.61,5.18,7.92,10.0
Dairy Products,20D,1.46,-5.93,-3.85,-1.11,1.46,4.02,6.77,8.84
Data Centers & Real Estate,20D,-0.22,-7.61,-5.53,-2.79,-0.22,2.35,5.09,7.17
Diagnostic & Healthcare Laboratories,20D,-0.24,-7.62,-5.55,-2.8,-0.24,2.33,5.08,7.15
Diversified & Fashion Retail,20D,-1.99,-9.37,-7.3,-4.55,-1.99,0.58,3.33,5.4
Diversified Commercial,20D,-1.71,-9.1,-7.02,-4.28,-1.71,0.85,3.6,5.67
Diversified Retail,20D,-2.87,-10.25,-8.18,-5.43,-2.87,-0.3,2.44,4.52
Edible Oils,20D,-1.85,-9.24,-7.16,-4.42,-1.85,0.72,3.46,5.54
Electronic Manufacturing Services (EMS),20D,-1.66,-9.04,-6.97,-4.22,-1.66,0.91,3.66,5.73
Explosives & Defence Chemicals,20D,-1.89,-9.27,-7.2,-4.45,-1.89,0.68,3.42,5.5
Fast Moving Consumer Goods,20D,-1.9,-9.29,-7.21,-4.47,-1.9,0.67,3.41,5.49
Fertilizers,20D,-3.75,-11.13,-9.06,-6.31,-3.75,-1.18,1.56,3.64
Fertilizers & Agrochemicals,20D,-2.89,-10.28,-8.21,-5.46,-2.89,-0.33,2.42,4.49
Financial Services,20D,-1.63,-9.02,-6.94,-4.2,-1.63,0.94,3.68,5.76
Footwear,20D,-2.46,-9.85,-7.77,-5.03,-2.46,0.11,2.85,4.93
Gas Distribution,20D,-3.72,-11.11,-9.03,-6.29,-3.72,-1.15,1.59,3.67
Gas Transmission & Distribution,20D,-3.43,-10.82,-8.74,-6.0,-3.43,-0.86,1.88,3.96
Healthcare,20D,-1.58,-8.97,-6.89,-4.15,-1.58,0.99,3.73,5.81
Heavy Electrical Equipment,20D,-0.06,-7.44,-5.37,-2.62,-0.06,2.51,5.26,7.33
Hospitals & Diagnostic Centres,20D,-1.57,-8.96,-6.89,-4.14,-1.57,0.99,3.74,5.81
Hospitals & Healthcare Services,20D,-3.95,-11.33,-9.26,-6.51,-3.95,-1.38,1.37,3.44
Hotels & Restaurants,20D,-2.64,-10.03,-7.95,-5.21,-2.64,-0.07,2.67,4.75
"Hotels, Resorts & QSR",20D,-0.9,-8.29,-6.21,-3.47,-0.9,1.66,4.41,6.48
Housing & Urban Infrastructure Financing,20D,-3.74,-11.12,-9.05,-6.3,-3.74,-1.17,1.58,3.65
IT Consulting & Software,20D,-1.37,-8.76,-6.68,-3.94,-1.37,1.19,3.94,6.01
Information Technology,20D,-2.3,-9.69,-7.61,-4.87,-2.3,0.26,3.01,5.08
Insurance,20D,-2.11,-9.5,-7.43,-4.68,-2.11,0.45,3.2,5.27
Internet & Digital Platforms,20D,-0.67,-8.05,-5.98,-3.23,-0.67,1.9,4.65,6.72
Iron & Steel,20D,-2.71,-10.1,-8.03,-5.28,-2.71,-0.15,2.6,4.67
Logistics & Transportation,20D,-1.84,-9.23,-7.15,-4.41,-1.84,0.73,3.47,5.55
"Logistics, Ports & Supply Chain",20D,-1.35,-8.74,-6.67,-3.92,-1.35,1.21,3.96,6.03
Lubricants & Specialty Oils,20D,-0.89,-8.28,-6.2,-3.46,-0.89,1.68,4.42,6.5
Media & Entertainment,20D,-2.21,-9.59,-7.52,-4.77,-2.21,0.36,3.11,5.18
Media Entertainment & Publication,20D,-0.54,-7.92,-5.85,-3.1,-0.54,2.03,4.78,6.85
Metals & Mining,20D,-2.87,-10.25,-8.18,-5.43,-2.87,-0.3,2.44,4.52
Microfinance NBFC,20D,-3.62,-11.01,-8.94,-6.19,-3.62,-1.06,1.69,3.76
Mining & Mineral Products,20D,-1.94,-9.32,-7.25,-4.5,-1.94,0.63,3.38,5.45
Non Banking Financial Company (NBFC),20D,-1.88,-9.26,-7.19,-4.44,-1.88,0.69,3.44,5.51
Oil Exploration & Refining,20D,-2.32,-9.71,-7.63,-4.89,-2.32,0.24,2.99,5.06
Oil Gas & Consumable Fuels,20D,-0.08,-7.47,-5.4,-2.65,-0.08,2.48,5.23,7.3
Packaged Foods & Consumer Staples,20D,-1.56,-8.95,-6.87,-4.13,-1.56,1.0,3.75,5.82
Packaged Foods & FMCG Staples,20D,-2.66,-10.04,-7.97,-5.22,-2.66,-0.09,2.66,4.73
Packaging & Containers,20D,-0.24,-7.62,-5.55,-2.8,-0.24,2.33,5.07,7.15
Packaging Materials & Containers,20D,-0.9,-8.28,-6.21,-3.46,-0.9,1.67,4.42,6.49
Paints,20D,-1.97,-9.36,-7.28,-4.54,-1.97,0.59,3.34,5.41
Paints & Coatings,20D,-0.3,-7.69,-5.62,-2.87,-0.3,2.26,5.01,7.08
Paper & Paper Products,20D,-2.6,-9.99,-7.91,-5.16,-2.6,-0.03,2.71,4.79
Passenger Cars & Utility Vehicles,20D,-1.98,-9.37,-7.3,-4.55,-1.98,0.58,3.33,5.4
Pharmaceuticals,20D,-1.01,-8.4,-6.32,-3.58,-1.01,1.55,4.3,6.37
Pharmaceuticals & Biotechnology,20D,-2.11,-9.5,-7.42,-4.68,-2.11,0.46,3.2,5.28
Pipes & Tubes,20D,-0.67,-8.05,-5.98,-3.23,-0.67,1.9,4.64,6.72
Plastic Pipes & Fittings,20D,-0.54,-7.92,-5.85,-3.1,-0.54,2.03,4.78,6.85
Plastic Pipes & Moulded Products,20D,-3.24,-10.63,-8.55,-5.81,-3.24,-0.68,2.07,4.14
Plywood & Boards,20D,-2.76,-10.15,-8.08,-5.33,-2.76,-0.2,2.55,4.62
"Plywood, MDF & Laminates",20D,-1.78,-9.17,-7.09,-4.35,-1.78,0.78,3.53,5.6
Power,20D,-3.38,-10.76,-8.69,-5.94,-3.38,-0.81,1.94,4.01
Power Generation & Distribution,20D,-3.81,-11.2,-9.13,-6.38,-3.81,-1.25,1.5,3.57
Power Generation & Utilities,20D,-3.47,-10.86,-8.79,-6.04,-3.47,-0.91,1.84,3.91
Power Sector Financing NBFC,20D,-3.79,-11.18,-9.1,-6.36,-3.79,-1.22,1.52,3.6
Project Management & Civil Construction,20D,-3.67,-11.05,-8.98,-6.23,-3.67,-1.1,1.65,3.72
Pumps & Compressors,20D,-2.86,-10.24,-8.17,-5.42,-2.86,-0.29,2.45,4.53
Railway Financing,20D,-3.71,-11.09,-9.02,-6.27,-3.71,-1.14,1.6,3.68
Railway Infrastructure,20D,-3.67,-11.06,-8.99,-6.24,-3.67,-1.11,1.64,3.71
Railway Infrastructure & Consulting,20D,-3.71,-11.09,-9.02,-6.27,-3.71,-1.14,1.6,3.68
Railway Telecom,20D,-1.11,-8.49,-6.42,-3.67,-1.11,1.46,4.2,6.28
Railway Ticketing & Catering,20D,-3.76,-11.15,-9.07,-6.33,-3.76,-1.19,1.55,3.63
Railway Wagons & Equipment,20D,-3.69,-11.07,-9.0,-6.25,-3.69,-1.12,1.62,3.7
Railways,20D,-1.74,-9.12,-7.05,-4.3,-1.74,0.83,3.58,5.65
Realty,20D,-0.86,-8.25,-6.17,-3.43,-0.86,1.71,4.45,6.53
Renewable Energy,20D,-2.9,-10.28,-8.21,-5.46,-2.9,-0.33,2.42,4.49
Renewable Energy - Solar & Wind,20D,-3.11,-10.5,-8.43,-5.68,-3.11,-0.55,2.2,4.27
Renewable Energy Financing NBFC,20D,-3.7,-11.08,-9.01,-6.26,-3.7,-1.13,1.62,3.69
Residential & Commercial Real Estate,20D,-2.39,-9.78,-7.71,-4.96,-2.39,0.17,2.92,4.99
Roads & Highways EPC,20D,-3.67,-11.05,-8.98,-6.23,-3.67,-1.1,1.65,3.72
Rubber Chemicals,20D,-3.52,-10.9,-8.83,-6.08,-3.52,-0.95,1.8,3.87
Saw Pipes & Ductile Iron Pipes,20D,2.65,-4.74,-2.66,0.08,2.65,5.22,7.96,10.04
Semiconductors & Electronic Components,20D,-4.12,-11.51,-5.89,-3.85,-1.82,0.25,2.32,4.37
Services,20D,-1.88,-9.27,-7.19,-4.45,-1.88,0.69,3.43,5.51
Ship Building & Defence,20D,-1.38,-8.77,-6.69,-3.95,-1.38,1.18,3.93,6.01
Software Products & Digital Services,20D,-2.02,-9.4,-7.33,-4.58,-2.02,0.55,3.3,5.37
Specialty Chemicals,20D,-1.83,-9.21,-7.14,-4.39,-1.83,0.74,3.49,5.56
Steel Manufacturing & Mining,20D,-0.06,-7.44,-5.37,-2.62,-0.06,2.51,5.25,7.33
Stockbroking & Financial Products,20D,-1.62,-9.01,-6.93,-4.19,-1.62,0.94,3.69,5.76
Structural Steel Tubes & Pipes,20D,-0.08,-7.47,-5.4,-2.65,-0.08,2.48,5.23,7.3
Sugar & Bio-Ethanol,20D,-1.1,-8.49,-6.42,-3.67,-1.1,1.46,4.21,6.28
Superalloys & Special Metals,20D,-0.12,-7.51,-5.43,-2.69,-0.12,2.45,5.19,7.27
Tea & Coffee,20D,-0.86,-8.25,-6.17,-3.43,-0.86,1.7,4.45,6.52
Telecom Services & Infrastructure,20D,-2.94,-10.33,-8.25,-5.51,-2.94,-0.37,2.37,4.45
Telecommunication,20D,-2.53,-9.92,-7.85,-5.1,-2.53,0.03,2.78,4.85
Textiles,20D,0.03,-7.35,-5.28,-2.53,0.03,2.6,5.35,7.42
Textiles & Apparel,20D,-2.15,-9.53,-7.46,-4.71,-2.15,0.42,3.16,5.24
"Textiles, Yarns & Apparel",20D,-1.21,-8.6,-6.53,-3.78,-1.21,1.35,4.1,6.17
Tractors & Farm Equipment,20D,-1.86,-9.25,-7.17,-4.43,-1.86,0.71,3.45,5.53
Transformers & T&D Equipment,20D,-1.6,-8.98,-6.91,-4.16,-1.6,0.97,3.72,5.79
Travel Tech SaaS Solutions,20D,2.48,-4.9,-2.83,-0.08,2.48,5.05,7.8,9.87
Tyres & Rubber Products,20D,-2.62,-10.01,-7.94,-5.19,-2.62,-0.06,2.69,4.76
Utilities,20D,-3.7,-11.08,-9.01,-6.26,-3.7,-1.13,1.61,3.69
Water & Wastewater Treatment,20D,-3.36,-10.75,-8.67,-5.93,-3.36,-0.79,1.95,4.03
Wealth & Asset Management,20D,-0.13,-7.51,-5.44,-2.69,-0.13,2.44,5.19,7.26
Wires & Cables,20D,-1.6,-8.99,-6.92,-4.17,-1.6,0.96,3.71,5.78
Zinc & Silver Mining,20D,2.52,-4.87,-2.79,-0.05,2.52,5.08,7.83,9.9
