forecast_date,industry,sector,constituent_count,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,P_positive,P_beat_benchmark,P_return_gt_2,P_return_gt_5,P_return_gt_8,P_return_gt_10,P_return_gt_15,P_excess_gt_2,P_excess_gt_5,P_excess_gt_8,P_excess_gt_10,P_excess_gt_15,P10,P25,P50,P75,P90,P95,upside_asymmetry,downside_risk,model_consensus,historical_analog_quality,reliability,confidence,best_horizon,final_opportunity_class,model_version,feature_version,current_rank,opportunity_rank,date,basic_industry,close,fwd_ret_1d,bench_fwd_1d,excess_fwd_1d,fwd_ret_3d,bench_fwd_3d,excess_fwd_3d,fwd_ret_5d,bench_fwd_5d,excess_fwd_5d,fwd_ret_10d,bench_fwd_10d,excess_fwd_10d,fwd_ret_15d,bench_fwd_15d,excess_fwd_15d,fwd_ret_20d,bench_fwd_20d,excess_fwd_20d,mfe_5d,mae_5d,mfe_10d,mae_10d,mfe_20d,mae_20d,Y5_pos,Y5_excess,Y10_pos,Y10_excess,Y20_pos,Y20_excess,5D_realized_ret,5D_realized_excess,5D_forecast_error,5D_abs_error,20D_realized_ret,20D_realized_excess,20D_forecast_error,20D_abs_error,20D_excess_error,realized_gt_2pct,realized_gt_5pct,realized_gt_8pct,realized_gt_10pct,realized_gt_15pct,realized_beat_bench,20D_quantile_hit
2026-07-02,API & CDMO / CRAMS,Other,9,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,HIGH,77.0,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,API & CDMO / CRAMS,3300.3755555555554,0.19304200397396443,0.07173301970990753,0.1213089842640569,-0.1358094600681814,-0.1682111508701123,0.032401690801930894,2.4011408802634637,-0.5986092691294909,2.9997501493929546,1.8080433943881147,0.6989798897313326,1.109063504656782,0.1847264520064673,-1.8467082050896977,2.031434657096165,5.192271047941355,-0.7659863151192603,5.958257363060615,2.4011408802634637,-0.28495073624615896,2.887583837260266,-0.28495073624615896,6.774313226306217,-0.28495073624615896,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.0,-3.47,3.47,5.19,5.96,-6.83,6.83,-8.4,1,1,0,0,0,1,>= P90 (Upside Tail)
2026-07-02,Aerospace & Defence,Other,20,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,VERY HIGH,95.0,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Aerospace & Defence,2079.3994736842105,-1.6183569193433778,0.07173301970990753,-1.6900899390532853,-0.7888664212010732,-0.1682111508701123,-0.6206552703309609,-1.6763949308239101,-0.5986092691294909,-1.0777856616944193,-4.346396568442456,0.6989798897313326,-5.045376458173789,-4.592191217150498,-1.8467082050896977,-2.7454830120608005,-6.83641203090265,-0.7659863151192603,-6.07042571578339,0.551550941200385,-2.6452222162319683,0.551550941200385,-4.800829389254346,0.551550941200385,-7.25963644868115,0.0,0.0,0.0,0.0,0.0,0.0,-1.68,-1.08,0.61,0.61,-6.84,-6.07,5.2,5.2,3.63,0,0,0,0,0,0,P10 - P25
2026-07-02,Affordable Housing Finance Company,Other,1,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,LOW,35.7,30D,INSUFFICIENT DATA,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Affordable Housing Finance Company,1503.9,0.1462863222288613,0.07173301970990753,0.07455330251895376,0.15293570051200245,-0.1682111508701123,0.32114685138211474,0.09309129596382082,-0.5986092691294909,0.6917005650933117,-0.20613072677705402,0.6989798897313326,-0.9051106165083866,-7.846266374094024,-1.8467082050896977,-5.9995581690043265,-9.39557151406345,-0.7659863151192603,-8.62958519894419,0.6715872065961692,-0.2726245096083657,1.462863222288724,-3.7502493516856195,1.462863222288724,-9.39557151406345,1.0,1.0,0.0,0.0,0.0,0.0,0.09,0.69,-1.16,1.16,-9.4,-8.63,7.76,7.76,6.19,0,0,0,0,0,0,< P10 (Downside Tail)
2026-07-02,Agrochemicals & Pesticides,Other,2,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,MODERATE,44.2,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Agrochemicals & Pesticides,1031.525,-0.5501563219505234,0.07173301970990753,-0.621889341660431,-1.8322386757470777,-0.1682111508701123,-1.6640275248769654,-2.8743850124815284,-0.5986092691294909,-2.2757757433520376,-0.26659557451346183,0.6989798897313326,-0.9655754642447945,-6.344974673420434,-1.8467082050896977,-4.498266468330736,-8.18933132982721,-0.7659863151192603,-7.42334501470795,-0.5501563219505234,-4.037711155813007,0.03393034584715515,-4.037711155813007,0.03393034584715515,-8.18933132982721,0.0,0.0,0.0,0.0,0.0,0.0,-2.87,-2.28,1.8,1.8,-8.19,-7.42,6.55,6.55,4.98,0,0,0,0,0,0,< P10 (Downside Tail)
2026-07-02,Air Conditioners & AC Components,Other,9,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,HIGH,77.0,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Air Conditioners & AC Components,1627.0177777777778,0.31434471794338226,0.07173301970990753,0.24261169823347473,1.4738621991428058,-0.1682111508701123,1.642073350012918,0.9271222878121987,-0.5986092691294909,1.5257315569416896,6.538001360362111,0.6989798897313326,5.839021470630779,0.5305548802307714,-1.8467082050896977,2.377263085320469,0.441093315923613,-0.7659863151192603,1.2070796310428733,1.4738621991428058,-1.0912262107359405,6.538001360362111,-1.0912262107359405,6.538001360362111,-1.0912262107359405,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.53,-2.0,2.0,0.44,1.21,-2.08,2.08,-3.65,0,0,0,0,0,1,P50 - P75
2026-07-02,Air Conditioners & Appliances,Other,4,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,MODERATE,56.3,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Air Conditioners & Appliances,632.57,-0.38968019349637784,0.07173301970990753,-0.46141321320628537,0.42722544540525487,-0.1682111508701123,0.5954365962753672,-1.005027111624024,-0.5986092691294909,-0.40641784249453305,-2.883870559779955,0.6989798897313326,-3.582850449511288,-2.1381032929161936,-1.8467082050896977,-0.2913950878264959,2.5886463158227624,-0.7659863151192603,3.3546326309420227,0.42722544540525487,-1.5081334872030117,0.42722544540525487,-2.883870559779955,2.5886463158227624,-2.883870559779955,0.0,0.0,0.0,0.0,1.0,1.0,-1.01,-0.41,-0.06,0.06,2.59,3.35,-4.23,4.23,-5.79,1,0,0,0,0,1,P75 - P90
2026-07-02,Aluminium & Mining,Other,11,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,VERY HIGH,83.5,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Aluminium & Mining,237.555,0.7652964576624344,0.07173301970990753,0.6935634379525268,-0.5682894487592294,-0.1682111508701123,-0.4000782978891171,-0.9736692555408211,-0.5986092691294909,-0.3750599864113302,-1.0161857254109674,0.6989798897313326,-1.7151656151423,-2.8570225842436625,-1.8467082050896977,-1.0103143791539648,-1.1412094041379994,-0.7659863151192603,-0.37522308901873913,1.7486476815895324,-0.9736692555408211,1.7486476815895324,-1.1281597945738908,1.7486476815895324,-4.745006419566,0.0,0.0,0.0,0.0,0.0,0.0,-0.97,-0.38,-0.1,0.1,-1.14,-0.38,-0.5,0.5,-2.06,0,0,0,0,0,0,P50 - P75
2026-07-02,Asset Management & Wealth,Other,2,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,MODERATE,44.2,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Asset Management & Wealth,1808.08,-0.7073802044157196,0.07173301970990753,-0.7791132241256271,-4.523583027299671,-0.1682111508701123,-4.355371876429559,-5.00724525463474,-0.5986092691294909,-4.408635985505249,-6.865570107517371,0.6989798897313326,-7.564549997248704,-6.032365824521035,-1.8467082050896977,-4.185657619431337,-8.428554046281134,-0.7659863151192603,-7.662567731161873,-0.7073802044157196,-6.176441307906733,-0.7073802044157196,-6.865570107517371,-0.7073802044157196,-8.428554046281134,0.0,0.0,0.0,0.0,0.0,0.0,-5.01,-4.41,3.94,3.94,-8.43,-7.66,6.79,6.79,5.22,0,0,0,0,0,0,< P10 (Downside Tail)
2026-07-02,Asset Management Company (AMC),Other,3,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,MODERATE,50.8,30D,NEUTRAL,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Asset Management Company (AMC),1639.2333333333333,1.5667893527462118,0.07173301970990753,1.4950563330363043,0.8479573784492711,-0.1682111508701123,1.0161685293193834,0.4412631921426602,-0.5986092691294909,1.039872461272151,-4.62614636923766,0.6989798897313326,-5.325126258968993,-8.116599223214116,-1.8467082050896977,-6.269891018124419,-6.409500376192123,-0.7659863151192603,-5.643514061072863,1.5667893527462118,-2.419830408524315,1.5667893527462118,-4.62614636923766,1.5667893527462118,-8.501941964739624,1.0,1.0,0.0,0.0,0.0,0.0,0.44,1.04,-1.51,1.51,-6.41,-5.64,4.77,4.77,3.2,0,0,0,0,0,0,P10 - P25
2026-07-02,Auto Glass,Other,1,50.0,NEUTRAL,50.0,34.5,-1.07,-1.38,-1.64,-1.79,-1.22,-1.73,-2.44,-2.99,33.0,26.0,17.6,6.4,2.5,1.4,0.5,13.4,4.9,2.0,1.1,0.4,-6.96,-4.21,-1.64,0.92,3.67,5.74,65.9,5.32,85.0,78.0,LOW,35.7,30D,INSUFFICIENT DATA,MODEL_V10.1_FROZEN,FEATURE_V10.1,1,1,2026-07-02,Auto Glass,888.85,-1.7100748157731993,0.07173301970990753,-1.7818078354831068,-2.0419643359396944,-0.1682111508701123,-1.873753185069582,0.3037632896439213,-0.5986092691294909,0.9023725587734122,1.0181695449175798,0.6989798897313326,0.3191896551862472,-1.8450807222816001,-1.8467082050896977,0.0016274828080975468,-2.1994712268661787,-0.7659863151192603,-1.4334849117469184,0.3037632896439213,-2.0419643359396944,3.9545480114755005,-2.0419643359396944,3.9545480114755005,-2.1994712268661787,1.0,1.0,1.0,1.0,0.0,0.0,0.3,0.9,-1.37,1.37,-2.2,-1.43,0.56,0.56,-1.01,0,0,0,0,0,0,P25 - P50
