industry,constituent_count,reliability_tier,P_positive,P_gt_5pct,P_gt_8pct,P_gt_10pct,P_gt_15pct
API & CDMO / CRAMS,9,MODERATE_RELIABILITY,36.8,17.0,8.7,5.8,2.1
Aerospace & Defence,20,VERY_HIGH_RELIABILITY,39.9,18.9,9.6,6.4,2.3
Affordable Housing Finance Company,1,RESEARCH_ONLY,20.1,8.8,4.8,3.4,1.3
Agrochemicals & Pesticides,2,RESEARCH_ONLY,20.9,9.1,4.9,3.5,1.4
Air Conditioners & AC Components,9,MODERATE_RELIABILITY,22.6,9.9,5.3,3.7,1.5
Air Conditioners & Appliances,4,RESEARCH_ONLY,20.8,9.1,4.9,3.4,1.4
Aluminium & Mining,11,HIGH_RELIABILITY,31.2,14.0,7.2,4.9,1.8
Asset Management & Wealth,2,RESEARCH_ONLY,61.1,42.1,21.5,13.9,3.8
Asset Management Company (AMC),3,RESEARCH_ONLY,36.1,16.6,8.5,5.7,2.1
Auto Glass,1,RESEARCH_ONLY,49.3,25.5,12.7,8.3,2.8
Auto Lighting,1,RESEARCH_ONLY,19.3,8.5,4.6,3.3,1.3
Auto Parts & Equipment,40,VERY_HIGH_RELIABILITY,36.5,16.9,8.6,5.8,2.1
Automobile OEMs,16,VERY_HIGH_RELIABILITY,35.3,16.2,8.3,5.6,2.0
Automobile and Auto Components,7,MODERATE_RELIABILITY,38.9,18.3,9.3,6.2,2.2
Banks,45,VERY_HIGH_RELIABILITY,40.5,19.3,9.7,6.5,2.3
Batteries,2,RESEARCH_ONLY,32.0,14.4,7.4,5.1,1.9
Batteries & Energy Storage,1,RESEARCH_ONLY,20.2,8.8,4.8,3.4,1.3
Bearings & Friction Solutions,9,MODERATE_RELIABILITY,30.2,13.5,7.0,4.8,1.8
Breweries & Distilleries,11,HIGH_RELIABILITY,36.5,16.9,8.6,5.8,2.1
Capital Goods,30,VERY_HIGH_RELIABILITY,44.4,21.9,10.9,7.3,2.5
Capital Markets & Asset Management,11,HIGH_RELIABILITY,37.2,17.3,8.8,5.9,2.1
Cement,8,MODERATE_RELIABILITY,23.8,10.4,5.5,3.9,1.5
Cement & Clinker,21,VERY_HIGH_RELIABILITY,23.3,10.2,5.4,3.8,1.5
Ceramics & Tiles,9,MODERATE_RELIABILITY,30.2,13.5,7.0,4.8,1.8
Chemicals,10,HIGH_RELIABILITY,22.6,9.9,5.3,3.7,1.5
Civil Buildings & Commercial EPC,1,RESEARCH_ONLY,17.2,7.6,4.2,3.0,1.2
Civil Construction & Infrastructure,43,VERY_HIGH_RELIABILITY,24.3,10.7,5.6,3.9,1.5
Civil Construction & Infrastructure EPC,10,HIGH_RELIABILITY,24.6,10.8,5.7,4.0,1.5
Commodity Chemicals,43,VERY_HIGH_RELIABILITY,35.2,16.2,8.3,5.6,2.0
Construction,5,MODERATE_RELIABILITY,41.3,19.8,10.0,6.6,2.3
Construction Materials,1,RESEARCH_ONLY,70.5,55.7,28.8,18.4,4.9
Consumer Durables,22,VERY_HIGH_RELIABILITY,36.2,16.7,8.5,5.7,2.1
Consumer Services,21,VERY_HIGH_RELIABILITY,35.8,16.5,8.4,5.7,2.1
Copper & Non-Ferrous Metals,1,RESEARCH_ONLY,48.9,25.2,12.6,8.2,2.8
Copper Mining,1,RESEARCH_ONLY,72.4,59.1,30.7,19.6,5.2
Dairy Products,5,MODERATE_RELIABILITY,63.2,44.7,22.8,14.7,4.0
Data Centers & Real Estate,1,RESEARCH_ONLY,48.0,24.5,12.2,8.0,2.7
Diagnostic & Healthcare Laboratories,1,RESEARCH_ONLY,20.5,9.0,4.8,3.4,1.4
Diversified & Fashion Retail,13,HIGH_RELIABILITY,26.3,11.6,6.1,4.2,1.6
Diversified Commercial,1864,VERY_HIGH_RELIABILITY,32.5,14.7,7.6,5.1,1.9
Diversified Retail,10,HIGH_RELIABILITY,28.3,12.5,6.5,4.5,1.7
Edible Oils,2,RESEARCH_ONLY,21.2,9.3,5.0,3.5,1.4
Electronic Manufacturing Services (EMS),11,HIGH_RELIABILITY,35.1,16.1,8.2,5.6,2.0
Explosives & Defence Chemicals,2,RESEARCH_ONLY,48.5,24.9,12.4,8.2,2.8
Fast Moving Consumer Goods,14,HIGH_RELIABILITY,27.4,12.1,6.3,4.4,1.7
Fertilizers,2,RESEARCH_ONLY,20.2,8.9,4.8,3.4,1.4
Fertilizers & Agrochemicals,17,VERY_HIGH_RELIABILITY,21.7,9.5,5.1,3.6,1.4
Financial Services,12,HIGH_RELIABILITY,28.4,12.6,6.6,4.5,1.7
Footwear,2,RESEARCH_ONLY,28.7,12.8,6.6,4.6,1.7
Gas Distribution,1,RESEARCH_ONLY,20.4,8.9,4.8,3.4,1.4
Gas Transmission & Distribution,4,RESEARCH_ONLY,22.1,9.7,5.2,3.6,1.4
