industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Dairy Products,Other,5,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,45.0,42.4,NEUTRAL,50.0,53.1,30D,EMERGING LEADER,0.48,0.82,1.46,2.01,0.33,0.47,0.66,0.81,-7.17,-3.27,0.62,5.2,9.78,12.07,63.2,44.7,22.8,14.7,4.0,63.7,86.4,79.2,100.0%,HIGH,1,1
Packaging Materials & Containers,Other,8,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,57.0,22.2,NEUTRAL,50.0,41.0,30D,NEUTRAL,-0.7,-0.85,-0.9,-0.88,-0.85,-1.2,-1.7,-2.08,-8.84,-4.85,-0.87,4.99,10.84,14.43,41.7,20.1,10.1,6.7,2.4,71.7,86.4,79.2,100.0%,HIGH,15,2
Capital Goods,Other,30,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,87.5,29.2,NEUTRAL,50.0,40.9,30D,NEUTRAL,-0.55,-0.64,-0.61,-0.52,-0.7,-0.99,-1.41,-1.72,-8.08,-4.03,0.02,4.8,9.59,11.77,44.4,21.9,10.9,7.3,2.5,60.6,86.4,79.2,100.0%,HIGH,2,3
Aerospace & Defence,Other,20,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,82.5,26.3,NEUTRAL,50.0,39.3,30D,NEUTRAL,-0.8,-1.0,-1.1,-1.13,-0.95,-1.35,-1.9,-2.33,-9.8,-5.1,-0.41,5.73,11.87,20.37,39.9,18.9,9.6,6.4,2.3,67.3,86.4,79.2,100.0%,HIGH,6,4
Pipes & Tubes,Other,18,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,81.5,26.9,NEUTRAL,50.0,38.5,30D,NEUTRAL,-0.68,-0.82,-0.86,-0.83,-0.83,-1.17,-1.66,-2.03,-8.67,-4.75,-0.82,3.13,7.09,9.44,42.1,20.3,10.2,6.8,2.4,53.4,86.4,79.2,100.0%,HIGH,4,5
Mining & Mineral Products,Other,8,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,57.0,21.2,NEUTRAL,50.0,37.8,30D,LAGGARD,-0.78,-0.97,-1.07,-1.09,-0.93,-1.32,-1.87,-2.29,-10.78,-6.02,-1.26,3.83,8.92,11.4,40.2,19.1,9.6,6.4,2.3,56.2,86.4,79.2,100.0%,HIGH,22,6
Banks,Other,45,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,95.0,26.1,NEUTRAL,50.0,37.4,30D,LAGGARD,-0.77,-0.95,-1.04,-1.05,-0.92,-1.3,-1.84,-2.25,-6.07,-3.29,-0.51,2.26,5.03,6.94,40.5,19.3,9.7,6.5,2.3,52.7,86.4,79.2,100.0%,HIGH,8,7
"Textiles, Yarns & Apparel",Other,15,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.0,24.0,NEUTRAL,50.0,37.1,30D,LAGGARD,-0.86,-1.07,-1.21,-1.27,-1.01,-1.42,-2.01,-2.47,-9.63,-5.08,-0.53,4.36,9.24,17.39,38.9,18.3,9.3,6.2,2.2,56.1,86.4,79.2,100.0%,HIGH,11,8
Transformers & T&D Equipment,Other,13,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,74.0,26.2,NEUTRAL,50.0,36.8,30D,LAGGARD,-0.65,-0.78,-0.8,-0.75,-0.8,-1.13,-1.6,-1.95,-11.57,-5.49,0.6,5.38,10.16,13.45,42.6,20.7,10.4,6.9,2.4,40.0,86.4,79.2,100.0%,HIGH,7,9
Construction,Other,5,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,45.0,28.6,NEUTRAL,50.0,36.8,30D,LAGGARD,-0.72,-0.88,-0.95,-0.94,-0.87,-1.23,-1.75,-2.14,-9.62,-4.2,1.22,5.9,10.58,13.25,41.3,19.8,10.0,6.6,2.3,45.6,86.4,79.2,100.0%,HIGH,3,9
Automobile and Auto Components,Other,7,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,53.0,25.7,NEUTRAL,50.0,36.4,30D,LAGGARD,-0.85,-1.07,-1.21,-1.26,-1.0,-1.42,-2.01,-2.46,-11.01,-5.4,0.21,5.73,11.24,30.04,38.9,18.3,9.3,6.2,2.2,51.8,86.4,79.2,100.0%,HIGH,9,11
Lubricants & Specialty Oils,Other,5,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,45.0,20.2,NEUTRAL,50.0,36.3,30D,LAGGARD,-1.04,-1.33,-1.58,-1.72,-1.19,-1.68,-2.38,-2.92,-7.25,-3.93,-0.61,3.79,8.18,12.05,35.8,16.5,8.4,5.7,2.1,63.3,86.4,79.2,100.0%,HIGH,27,12
Tea & Coffee,Other,13,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,74.0,22.0,NEUTRAL,50.0,35.9,30D,LAGGARD,-0.95,-1.2,-1.39,-1.49,-1.1,-1.55,-2.19,-2.69,-8.7,-4.44,-0.17,4.26,8.69,12.47,37.4,17.4,8.8,5.9,2.1,54.4,86.4,79.2,100.0%,HIGH,17,13
Sugar & Bio-Ethanol,Other,28,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,86.5,22.1,NEUTRAL,50.0,35.7,30D,LAGGARD,-0.99,-1.26,-1.48,-1.59,-1.14,-1.61,-2.28,-2.79,-8.07,-4.33,-0.58,3.56,7.69,11.97,36.6,16.9,8.6,5.8,2.1,56.5,86.4,79.2,100.0%,HIGH,16,14
Breweries & Distilleries,Other,11,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,68.0,20.9,NEUTRAL,50.0,35.6,30D,LAGGARD,-1.0,-1.27,-1.49,-1.61,-1.15,-1.62,-2.29,-2.81,-6.92,-3.41,0.1,3.91,7.72,10.39,36.5,16.9,8.6,5.8,2.1,55.6,86.4,79.2,100.0%,HIGH,25,15
Information Technology,Other,9,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,61.0,18.4,NEUTRAL,50.0,35.6,30D,LAGGARD,-1.02,-1.3,-1.53,-1.66,-1.17,-1.65,-2.33,-2.86,-8.83,-4.19,0.46,5.55,10.65,16.6,36.2,16.7,8.5,5.7,2.1,57.1,86.4,79.2,100.0%,HIGH,31,15
Wires & Cables,Other,23,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,84.0,23.2,NEUTRAL,50.0,35.5,30D,LAGGARD,-1.05,-1.35,-1.6,-1.74,-1.2,-1.7,-2.4,-2.94,-9.55,-4.37,0.82,6.63,12.44,18.42,35.6,16.4,8.3,5.6,2.0,58.8,86.4,79.2,100.0%,HIGH,12,17
