industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility
Air Conditioners & Appliances,Other,4,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,45.0,0.8,NEUTRAL,50.0,22.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.08,-2.8,-3.66,-4.26,-2.23,-3.15,-4.46,-5.46,-13.23,-7.12,-1.02,2.67,6.35,8.45,20.8,9.1,4.9,3.4,1.4,27.2,86.4,79.2,100.0%,HIGH
Gas Transmission & Distribution,Other,4,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,45.0,3.2,NEUTRAL,50.0,25.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.96,-2.64,-3.43,-3.98,-2.11,-2.99,-4.23,-5.18,-10.54,-6.25,-1.96,1.7,5.37,7.55,22.1,9.7,5.2,3.6,1.4,45.3,86.4,79.2,100.0%,HIGH
Paints,Other,4,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,45.0,9.4,NEUTRAL,50.0,28.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.67,-2.22,-2.84,-3.26,-1.82,-2.57,-3.64,-4.46,-7.52,-4.43,-1.33,1.6,4.52,6.42,26.0,11.4,6.0,4.2,1.6,50.1,86.4,79.2,100.0%,HIGH
Packaging & Containers,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,40.5,NEUTRAL,50.0,44.7,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.37,-0.38,-0.24,-0.07,-0.52,-0.73,-1.04,-1.27,-9.56,-4.89,-0.21,6.37,12.95,16.86,47.8,24.4,12.1,8.0,2.7,72.7,86.4,79.2,100.0%,HIGH
Railway Wagons & Equipment,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,0.7,NEUTRAL,50.0,29.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.09,-2.82,-3.69,-4.3,-2.24,-3.17,-4.49,-5.5,-13.2,-8.18,-3.15,4.18,11.52,15.67,20.6,9.0,4.9,3.4,1.4,74.5,86.4,79.2,100.0%,HIGH
Realty,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,14.5,NEUTRAL,50.0,31.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.26,-1.64,-2.02,-2.25,-1.41,-1.99,-2.82,-3.45,-12.78,-7.06,-1.34,3.57,8.47,12.89,32.1,14.5,7.5,5.1,1.9,44.1,86.4,79.2,100.0%,HIGH
Textiles,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,39.1,NEUTRAL,50.0,44.7,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.23,-0.19,0.03,0.26,-0.38,-0.54,-0.77,-0.94,-6.96,-2.7,1.57,6.77,11.98,16.59,50.3,26.4,13.1,8.6,2.9,63.3,86.4,79.2,100.0%,HIGH
Ship Building & Defence,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,2.0,NEUTRAL,50.0,33.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.83,-3.69,-4.3,-2.25,-3.18,-4.49,-5.5,-12.57,-7.38,-2.2,8.57,19.35,24.32,20.6,9.0,4.9,3.4,1.4,99.0,86.4,79.2,100.0%,HIGH
Plastic Pipes & Fittings,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,17.3,NEUTRAL,50.0,34.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.1,-1.41,-1.69,-1.85,-1.25,-1.76,-2.49,-3.05,-9.78,-5.74,-1.7,2.39,6.49,10.26,34.8,15.9,8.1,5.5,2.0,53.0,86.4,79.2,100.0%,HIGH
Railways,Other,3,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,40.0,19.6,NEUTRAL,50.0,35.6,30D,INSUFFICIENT_INDUSTRY_BREADTH,-1.12,-1.44,-1.74,-1.91,-1.27,-1.79,-2.54,-3.11,-10.55,-6.14,-1.73,3.88,9.49,14.28,34.4,15.7,8.0,5.4,2.0,64.4,86.4,79.2,100.0%,HIGH
