industry,constituent_count,reliability_tier,20D_exp_ret,P10,P25,P50,P75,P90,P95,Upside_Spread (P90-P50),Downside_Spread (P50-P10)
API & CDMO / CRAMS,9,MODERATE_RELIABILITY,-1.46,-8.01,-2.81,2.4,7.66,12.93,16.01,10.53,10.41
Aerospace & Defence,20,VERY_HIGH_RELIABILITY,-1.1,-9.8,-5.1,-0.41,5.73,11.87,20.37,12.28,9.39
Affordable Housing Finance Company,1,RESEARCH_ONLY,-3.77,-10.95,-6.45,-1.95,3.3,8.55,11.62,10.5,9.0
Agrochemicals & Pesticides,2,RESEARCH_ONLY,-3.64,-11.01,-6.77,-2.52,2.87,8.26,12.81,10.78,8.49
Air Conditioners & AC Components,9,MODERATE_RELIABILITY,-3.35,-9.69,-5.12,-0.54,3.86,8.26,11.06,8.8,9.15
Air Conditioners & Appliances,4,RESEARCH_ONLY,-3.66,-13.23,-7.12,-1.02,2.67,6.35,8.45,7.37,12.21
Aluminium & Mining,11,HIGH_RELIABILITY,-2.14,-8.81,-4.71,-0.61,3.38,7.37,10.56,7.98,8.2
Asset Management & Wealth,2,RESEARCH_ONLY,1.22,-5.25,-2.89,-0.54,2.37,5.28,6.82,5.82,4.71
Asset Management Company (AMC),3,RESEARCH_ONLY,-1.54,-8.59,-4.13,0.34,3.91,7.48,9.87,7.14,8.93
Auto Glass,1,RESEARCH_ONLY,-0.08,-7.58,-3.21,1.16,5.88,10.6,13.79,9.44,8.74
Auto Lighting,1,RESEARCH_ONLY,-3.91,-8.03,-4.11,-0.2,4.73,9.66,13.49,9.86,7.83
Auto Parts & Equipment,40,VERY_HIGH_RELIABILITY,-1.49,-7.76,-3.58,0.59,4.4,8.2,10.25,7.61,8.35
Automobile OEMs,16,VERY_HIGH_RELIABILITY,-1.63,-7.43,-3.55,0.33,3.44,6.55,8.82,6.22,7.76
Automobile and Auto Components,7,MODERATE_RELIABILITY,-1.21,-11.01,-5.4,0.21,5.73,11.24,30.04,11.03,11.22
Banks,45,VERY_HIGH_RELIABILITY,-1.04,-6.07,-3.29,-0.51,2.26,5.03,6.94,5.54,5.56
Batteries,2,RESEARCH_ONLY,-2.03,-8.75,-4.62,-0.49,3.42,7.33,10.77,7.82,8.26
Batteries & Energy Storage,1,RESEARCH_ONLY,-3.76,-10.26,-6.51,-2.77,4.25,11.27,18.08,14.04,7.49
Bearings & Friction Solutions,9,MODERATE_RELIABILITY,-2.27,-9.62,-5.5,-1.39,4.36,10.1,13.26,11.49,8.23
Breweries & Distilleries,11,HIGH_RELIABILITY,-1.49,-6.92,-3.41,0.1,3.91,7.72,10.39,7.62,7.02
Capital Goods,30,VERY_HIGH_RELIABILITY,-0.61,-8.08,-4.03,0.02,4.8,9.59,11.77,9.57,8.1
Capital Markets & Asset Management,11,HIGH_RELIABILITY,-1.41,-10.35,-5.33,-0.31,4.52,9.35,11.98,9.66,10.04
Cement,8,MODERATE_RELIABILITY,-3.17,-11.04,-6.75,-2.46,2.33,7.12,9.7,9.58,8.58
Cement & Clinker,21,VERY_HIGH_RELIABILITY,-3.24,-8.47,-4.94,-1.41,2.28,5.98,8.59,7.39,7.06
Ceramics & Tiles,9,MODERATE_RELIABILITY,-2.27,-10.02,-6.01,-2.0,2.96,7.92,12.21,9.92,8.02
Chemicals,10,HIGH_RELIABILITY,-3.35,-9.22,-5.56,-1.91,1.87,5.64,8.35,7.55,7.31
Civil Buildings & Commercial EPC,1,RESEARCH_ONLY,-4.32,-13.26,-8.08,-2.89,2.82,8.53,12.95,11.42,10.37
Civil Construction & Infrastructure,43,VERY_HIGH_RELIABILITY,-3.09,-15.04,-8.3,-1.56,3.27,8.1,11.04,9.66,13.48
Civil Construction & Infrastructure EPC,10,HIGH_RELIABILITY,-3.05,-10.01,-5.97,-1.94,1.48,4.89,7.01,6.83,8.07
Commodity Chemicals,43,VERY_HIGH_RELIABILITY,-1.64,-10.31,-5.01,0.28,4.59,8.9,11.33,8.62,10.59
Construction,5,MODERATE_RELIABILITY,-0.95,-9.62,-4.2,1.22,5.9,10.58,13.25,9.36,10.84
