industry,industry_rank,symbol,relative_strength,momentum_score,trend_state,volume_confirmation,turnover_cr,breakout_status,volatility_pct,human_due_diligence_priority
Dairy Products,1,DODLA,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Dairy Products,1,HATSUN,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Dairy Products,1,HERITGFOOD,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Dairy Products,1,MILKYMIST,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Dairy Products,1,PARAGMILK,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Packaging Materials & Containers,2,COSMOFIRST,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Packaging Materials & Containers,2,EPL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Packaging Materials & Containers,2,HUHTAMAKI,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Packaging Materials & Containers,2,JINDALPOLY,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Packaging Materials & Containers,2,MOLDTKPAC,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Capital Goods,3,AIAENG,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Capital Goods,3,ANUP,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Capital Goods,3,ATLANTAELE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Capital Goods,3,AZAD,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Capital Goods,3,BALUFORGE,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,BREAKOUT_NEW_HIGH,2.0,PRIORITY_2
Aerospace & Defence,4,AEQUS,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Aerospace & Defence,4,APOLLO,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Aerospace & Defence,4,ASTRAMICRO,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
Aerospace & Defence,4,BDL,50.0,50.0,ABOVE_ALL_EMAS,NORMAL,10.0,CONSOLIDATING,2.0,PRIORITY_2
