Metric,Champion_V3_2,Best_Challenger_V3_3,Superiority_Delta
Model Version,MODEL_V3.2_FROZEN,V3.3_Ensemble_Adaptive,CONTROL
Architecture Type,Deterministic Multi-Factor Composite,50% V3.2 + 50% Huber Regressor,N/A
Out-of-Sample Rank IC,+0.1140,+0.0682,-0.0458 (V3.2 WINS)
IC Information Ratio,1.42,0.85,-0.57 (V3.2 WINS)
t-statistic (HAC),8.42 (p < 1e-16),4.95 (p < 1e-6),-3.47 (V3.2 WINS)
20D Decile Spread,+2.46%,+1.12%,-1.34% (V3.2 WINS)
Directional Hit Rate,56.4%,52.8%,-3.6% (V3.2 WINS)
Net CAGR (30 bps cost),+28.4%,+19.5%,-8.9% (V3.2 WINS)
Net Sharpe Ratio,1.14,0.78,-0.36 (V3.2 WINS)
Max Drawdown,-14.8%,-22.1%,-7.3% (V3.2 WINS)
Brier Calibration Score,0.1784,0.2104,-0.0320 (V3.2 WINS)
Tournament Decision,RETAINED AS PRODUCTION CHAMPION,REJECTED (INSUFFICIENT OOS ALPHA),V3.2 REMAINS CHAMPION
