Model,Split,Train_Period,Test_Period,OOS_Rank_IC,Decile_Spread_20d
V3.2_Frozen_Control,1,2024-03-18 to 2024-06-12,2024-07-11 to 2024-10-07,0.0687,2.04
V3.2_Frozen_Control,2,2024-03-18 to 2024-09-09,2024-10-08 to 2025-01-03,0.0199,0.08
V3.2_Frozen_Control,3,2024-03-18 to 2024-12-06,2025-01-06 to 2025-04-07,0.0797,1.24
V3.2_Frozen_Control,4,2024-03-18 to 2025-03-06,2025-04-08 to 2025-07-09,-0.0571,-2.68
V3.2_Frozen_Control,5,2024-03-18 to 2025-06-11,2025-07-10 to 2026-07-24,0.0076,-1.94
V3.3_Deterministic_Composite,1,2024-03-18 to 2024-06-12,2024-07-11 to 2024-10-07,0.0675,2.11
V3.3_Deterministic_Composite,2,2024-03-18 to 2024-09-09,2024-10-08 to 2025-01-03,0.0188,0.03
V3.3_Deterministic_Composite,3,2024-03-18 to 2024-12-06,2025-01-06 to 2025-04-07,0.0805,1.33
V3.3_Deterministic_Composite,4,2024-03-18 to 2025-03-06,2025-04-08 to 2025-07-09,-0.0624,-2.88
V3.3_Deterministic_Composite,5,2024-03-18 to 2025-06-11,2025-07-10 to 2026-07-24,0.0085,-2.03
Ridge_L2,1,2024-03-18 to 2024-06-12,2024-07-11 to 2024-10-07,-0.1229,-1.91
Ridge_L2,2,2024-03-18 to 2024-09-09,2024-10-08 to 2025-01-03,-0.0094,0.04
Ridge_L2,3,2024-03-18 to 2024-12-06,2025-01-06 to 2025-04-07,-0.0779,-0.97
Ridge_L2,4,2024-03-18 to 2025-03-06,2025-04-08 to 2025-07-09,-0.0076,-1.15
Ridge_L2,5,2024-03-18 to 2025-06-11,2025-07-10 to 2026-07-24,-0.0211,-1.4
ElasticNet,1,2024-03-18 to 2024-06-12,2024-07-11 to 2024-10-07,-0.1133,-1.78
ElasticNet,2,2024-03-18 to 2024-09-09,2024-10-08 to 2025-01-03,-0.0109,0.07
ElasticNet,3,2024-03-18 to 2024-12-06,2025-01-06 to 2025-04-07,-0.0673,-0.77
ElasticNet,4,2024-03-18 to 2025-03-06,2025-04-08 to 2025-07-09,-0.012,-1.12
ElasticNet,5,2024-03-18 to 2025-06-11,2025-07-10 to 2026-07-24,-0.0196,-1.52
