date,industry,constituents,early_radar_score,accumulation_pressure,cross_stock_synchronization,prob_5d,expected_lead_time_days,lifecycle_state
2024-09-26,Wind Turbines & Wind Energy,5,31.4,33.1,70.0,0.13828032212078692,1.0,QUIET (Consolidation / Base)
2024-09-27,Wind Turbines & Wind Energy,5,53.4,57.9,50.0,0.15254546744750164,1.0,EMERGING (Broadening Participation)
2024-10-01,Wind Turbines & Wind Energy,5,54.9,61.6,50.0,0.18192774516630109,1.0,EMERGING (Broadening Participation)
2024-10-02,Wind Turbines & Wind Energy,5,57.9,62.8,50.0,0.14369246084815146,1.0,EMERGING (Broadening Participation)
2024-10-03,Wind Turbines & Wind Energy,5,50.2,50.6,50.0,0.19277677231366466,1.0,QUIET (Consolidation / Base)
2024-10-04,Wind Turbines & Wind Energy,5,41.6,50.3,40.0,0.1228804321158093,1.0,QUIET (Consolidation / Base)
2024-10-07,Wind Turbines & Wind Energy,5,27.0,35.1,20.0,0.17014216882352054,1.0,BREAKDOWN (Downtrend)
2024-10-08,Wind Turbines & Wind Energy,5,44.7,53.0,40.0,0.18783695456728142,1.0,QUIET (Consolidation / Base)
2024-10-10,Wind Turbines & Wind Energy,5,30.7,21.9,50.0,0.1422787487093402,1.0,QUIET (Consolidation / Base)
2024-10-14,Wind Turbines & Wind Energy,5,36.8,21.8,70.0,0.16924853920511593,1.0,QUIET (Consolidation / Base)
2024-11-01,Wind Turbines & Wind Energy,5,53.8,41.3,80.0,0.1890174448669818,1.0,BREAKOUT (Expansion Phase)
2024-11-05,Wind Turbines & Wind Energy,5,60.8,59.0,70.0,0.14761013057626893,1.0,EMERGING (Broadening Participation)
2024-11-22,Wind Turbines & Wind Energy,5,34.3,42.1,40.0,0.1221772475730909,1.0,QUIET (Consolidation / Base)
2024-11-25,Wind Turbines & Wind Energy,5,14.4,21.7,40.0,0.16415691148182784,1.0,QUIET (Consolidation / Base)
2024-11-29,Wind Turbines & Wind Energy,5,9.3,20.6,40.0,0.1411808601106787,1.0,QUIET (Consolidation / Base)
2024-12-02,Wind Turbines & Wind Energy,5,33.9,57.8,50.0,0.2424736666476588,1.0,QUIET (Consolidation / Base)
2024-12-04,Wind Turbines & Wind Energy,5,48.1,64.4,80.0,0.17899621203289037,1.0,EMERGING (Broadening Participation)
2024-12-05,Wind Turbines & Wind Energy,5,46.2,62.8,70.0,0.1565058224497088,1.0,EMERGING (Broadening Participation)
2024-12-06,Wind Turbines & Wind Energy,5,52.6,74.1,80.0,0.20596774889340727,1.0,EMERGING (Broadening Participation)
2024-12-11,Wind Turbines & Wind Energy,5,17.5,39.3,40.0,0.15855239075240646,1.0,EXHAUSTION (Distribution Warning)
2024-12-16,Wind Turbines & Wind Energy,5,35.4,71.9,40.0,0.1548976421630241,1.0,QUIET (Consolidation / Base)
2024-12-17,Wind Turbines & Wind Energy,5,20.4,35.9,60.0,0.32565957431200493,1.0,QUIET (Consolidation / Base)
2024-12-27,Wind Turbines & Wind Energy,5,19.0,14.6,30.0,0.12446358626636199,1.0,DISTRIBUTION (Liquidation)
2024-12-30,Wind Turbines & Wind Energy,5,18.8,14.2,30.0,0.1439789972912558,1.0,DISTRIBUTION (Liquidation)
2024-12-31,Wind Turbines & Wind Energy,5,38.5,42.5,20.0,0.19896399897868888,1.0,QUIET (Consolidation / Base)
2025-01-02,Wind Turbines & Wind Energy,5,50.6,42.3,50.0,0.16182027932615053,1.0,QUIET (Consolidation / Base)
2025-01-03,Wind Turbines & Wind Energy,5,31.3,26.1,50.0,0.19724752942726212,1.0,QUIET (Consolidation / Base)
2025-01-07,Wind Turbines & Wind Energy,5,58.6,60.2,50.0,0.14755940052550778,1.0,QUIET (Consolidation / Base)
2025-01-08,Wind Turbines & Wind Energy,5,34.0,32.2,40.0,0.12440761545819548,1.0,DISTRIBUTION (Liquidation)
2025-01-09,Wind Turbines & Wind Energy,5,39.0,39.2,30.0,0.12439545476038062,1.0,QUIET (Consolidation / Base)
2025-01-10,Wind Turbines & Wind Energy,5,19.4,24.5,10.0,0.13751800039603868,1.0,DISTRIBUTION (Liquidation)
2025-01-22,Wind Turbines & Wind Energy,5,15.6,16.3,20.0,0.15081502404568453,1.0,BREAKDOWN (Downtrend)
2025-02-10,Wind Turbines & Wind Energy,5,15.5,16.7,20.0,0.15020501121180846,1.0,DISTRIBUTION (Liquidation)
2025-03-25,Wind Turbines & Wind Energy,5,64.2,56.0,70.0,0.16819656498895263,1.0,EMERGING (Broadening Participation)
2025-03-27,Wind Turbines & Wind Energy,5,37.0,32.8,30.0,0.15758144959822004,1.0,DISTRIBUTION (Liquidation)
2025-03-28,Wind Turbines & Wind Energy,5,51.7,52.8,40.0,0.11868612523877901,1.0,QUIET (Consolidation / Base)
2025-04-02,Wind Turbines & Wind Energy,5,33.2,52.4,20.0,0.19782047137350592,1.0,QUIET (Consolidation / Base)
2025-04-04,Wind Turbines & Wind Energy,5,32.7,37.4,20.0,0.13589913408826593,1.0,QUIET (Consolidation / Base)
2025-04-15,Wind Turbines & Wind Energy,5,31.5,37.1,40.0,0.21594530018200336,1.0,QUIET (Consolidation / Base)
2025-04-16,Wind Turbines & Wind Energy,5,48.0,38.7,60.0,0.13219741926624629,1.0,QUIET (Consolidation / Base)
2025-04-17,Wind Turbines & Wind Energy,5,42.7,28.7,60.0,0.13961662987652929,1.0,QUIET (Consolidation / Base)
2025-04-21,Wind Turbines & Wind Energy,5,70.5,70.2,70.0,0.17430765074668048,1.0,EMERGING (Broadening Participation)
