Feature_Name,Gini_Importance,Rank
breadth_50,0.2023637464597515,1
ind_ret_5d,0.11906546082640163,2
breadth_200,0.11778697035351532,3
vol_compression_ratio,0.1079131242587589,4
breadth_20,0.09281302598762321,5
ind_deliv_intensity,0.08610802216710432,6
breadth_acc_5d,0.06940735087286785,7
cross_stock_synchronization,0.06195518419432177,8
ret_accel_5d,0.05444762499702514,9
breadth_impulse_10d,0.02425408313183575,10
ind_ret_1d,0.023871083602913817,11
pre_breakout_score,0.00987256428673542,12
early_radar_score,0.009309084191285337,13
ind_ret_3d,0.008724938188134171,14
ind_vol_ratio,0.008371535609389405,15
accumulation_pressure,0.0037362008723364317,16
