date,industry,early_radar_score,alert_tier,accumulation_pressure,cross_stock_synchronization,prob_5d,ind_fwd_5d,major_industry_move_5d
2025-03-25,Secondary Steel & TMT Rebars,58.2,WATCH (Unusual Precursor),48.5,52.6,0.14005681526662073,1.946607149248887,0
2025-04-22,Secondary Steel & TMT Rebars,59.5,WATCH (Unusual Precursor),58.5,72.4,0.12266111618436427,-1.9272446189537025,0
2025-04-23,Secondary Steel & TMT Rebars,56.8,WATCH (Unusual Precursor),54.0,66.4,0.13205362754690814,-4.141334575336187,0
2025-05-12,Secondary Steel & TMT Rebars,58.9,WATCH (Unusual Precursor),67.0,57.6,0.12507505800801502,5.126857302042651,0
2025-05-13,Secondary Steel & TMT Rebars,56.4,WATCH (Unusual Precursor),61.2,66.1,0.12013470986204426,3.3813536111302294,0
2025-05-14,Secondary Steel & TMT Rebars,67.8,EARLY (Elevated Probability),70.8,71.2,0.11741953086387717,1.3994610402287178,0
2025-05-15,Secondary Steel & TMT Rebars,71.2,EARLY (Elevated Probability),70.3,79.3,0.11684881366446401,0.31745669933826093,0
2025-05-16,Secondary Steel & TMT Rebars,61.7,WATCH (Unusual Precursor),54.3,81.9,0.1384238980762372,0.5090743935505593,0
2025-05-19,Secondary Steel & TMT Rebars,65.5,EARLY (Elevated Probability),61.9,75.4,0.11263998843479753,0.5718150411729268,0
2025-06-09,Secondary Steel & TMT Rebars,59.4,WATCH (Unusual Precursor),67.6,66.9,0.09750943951347153,-1.2656876585975487,0
2025-06-10,Secondary Steel & TMT Rebars,63.6,WATCH (Unusual Precursor),68.0,74.6,0.14778801922289347,-2.17048752249061,0
2025-06-11,Secondary Steel & TMT Rebars,71.9,EARLY (Elevated Probability),76.8,73.3,0.12119797781005827,-2.0586270141796876,0
2025-08-19,Secondary Steel & TMT Rebars,60.6,WATCH (Unusual Precursor),65.4,45.0,0.10757832173317886,12.694642864400407,0
2025-08-20,Secondary Steel & TMT Rebars,62.8,WATCH (Unusual Precursor),65.9,50.0,0.112440744287285,11.96632340983471,0
2026-07-31,Secondary Steel & TMT Rebars,60.4,WATCH (Unusual Precursor),59.4,54.7,0.07453615389831555,3.3188229848857276,0
