Probability_Bucket,Predicted_P5,Actual_Event_Rate_P5,Sample_Size,Brier_Loss,Status
0% - 10%,6.2%,5.8%,12450,0.0028,CALIBRATED
10% - 20%,15.4%,14.8%,18230,0.0084,CALIBRATED
20% - 30%,25.1%,24.2%,9420,0.0145,CALIBRATED
30% - 40%,34.8%,33.5%,4120,0.021,CALIBRATED
40% - 50%,44.6%,43.1%,1850,0.0285,CALIBRATED
50% - 60%,54.2%,52.8%,920,0.035,CALIBRATED
60% - 70%,64.8%,63.2%,480,0.0412,CALIBRATED
70% - 80%,74.5%,72.4%,210,0.0485,CALIBRATED
80% - 90%,84.1%,81.5%,95,0.052,CALIBRATED
90% - 100%,93.5%,89.2%,42,0.056,CALIBRATED
