Industry,Sector,Constituent_Count,Current_Strength_Score,Current_Strength_Rank,Leadership_State,Leadership_Acceleration_Score,Forward_Opportunity_Score,Best_Horizon,5D_Expected_Return (%),10D_Expected_Return (%),20D_Expected_Return (%),30D_Expected_Return (%),60D_Expected_Return (%),90D_Expected_Return (%),5D_Expected_Excess_Return (%),10D_Expected_Excess_Return (%),20D_Expected_Excess_Return (%),30D_Expected_Excess_Return (%),60D_Expected_Excess_Return (%),90D_Expected_Excess_Return (%),20D_P_Positive (%),20D_P_Beat_Benchmark (%),20D_P_Gt_5pct (%),20D_P_Gt_8pct (%),20D_P_Gt_10pct (%),20D_P_Gt_15pct (%),20D_P10 (%),20D_P25 (%),20D_P50 (%),20D_P75 (%),20D_P90 (%),Selection_Tier,Divergence_Signal,Reliability_Level,Model_Confidence (%),Analog_Matches_Found,Analog_Mean_20D_Return (%),Final_Research_Rank
Copper Mining,Other,1,60.7,2,EMERGING LEADER,100.0,55.9,5D,1.06,1.63,2.61,3.42,5.64,7.64,0.91,1.28,1.81,2.22,3.14,3.84,70.5,64.4,31.1,13.3,6.4,0.5,-3.19,-0.19,2.61,6.41,10.21,TIER X (INSUFFICIENT DATA / N<2),STRONG NOW + STRONG FUTURE,LOW (N<4),35.7,5,,1
Saw Pipes & Ductile Iron Pipes,Other,1,68.7,1,EMERGING LEADER,87.4,54.9,5D,1.07,1.66,2.65,3.47,5.7,7.72,0.92,1.31,1.85,2.27,3.2,3.92,70.8,64.7,31.4,13.5,6.5,0.5,-3.15,-0.15,2.65,6.45,10.25,TIER X (INSUFFICIENT DATA / N<2),STRONG NOW + STRONG FUTURE,LOW (N<4),35.7,5,,2
Travel Tech SaaS Solutions,Other,1,48.6,5,EMERGING LEADER,100.0,54.7,5D,0.99,1.54,2.48,3.26,5.42,7.37,0.84,1.19,1.68,2.06,2.92,3.57,69.6,63.5,30.2,12.8,6.1,0.5,-3.32,-0.32,2.48,6.28,10.08,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + IMPROVING FUTURE (ROTATION CANDIDATE),LOW (N<4),25.7,5,,3
Zinc & Silver Mining,Other,1,58.7,3,EMERGING LEADER,86.9,54.0,5D,1.01,1.56,2.52,3.3,5.48,7.44,0.86,1.21,1.72,2.1,2.98,3.64,69.8,63.7,30.4,12.9,6.1,0.5,-3.28,-0.28,2.52,6.32,10.12,TIER X (INSUFFICIENT DATA / N<2),STRONG NOW + STRONG FUTURE,LOW (N<4),35.7,5,4.62,4
Construction Materials,Other,1,58.7,4,NEUTRAL,51.5,49.5,5D,0.93,1.45,2.36,3.11,5.2,7.1,0.78,1.1,1.56,1.91,2.7,3.3,68.7,62.5,29.3,12.2,5.8,0.5,-3.44,-0.44,2.36,6.16,9.96,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),35.7,5,,5
Asset Management & Wealth,Other,2,42.3,8,EMERGING LEADER,100.0,47.2,5D,0.36,0.65,1.22,1.72,3.23,4.7,0.21,0.3,0.42,0.52,0.73,0.9,60.0,53.4,21.8,8.1,3.5,0.5,-4.58,-1.58,1.22,5.02,8.82,TIER B (EMERGING LEADER / EARLY ROTATION),WEAK NOW + IMPROVING FUTURE (ROTATION CANDIDATE),LOW (N<4),34.2,5,,6
Dairy Products,Other,5,46.4,7,EMERGING LEADER,75.4,47.0,5D,0.48,0.82,1.46,2.01,3.64,5.2,0.33,0.47,0.66,0.81,1.14,1.4,61.8,55.3,23.3,8.9,3.9,0.5,-4.34,-1.34,1.46,5.26,9.06,TIER B (EMERGING LEADER / EARLY ROTATION),WEAK NOW + IMPROVING FUTURE (ROTATION CANDIDATE),MODERATE,51.2,5,,7
Copper & Non-Ferrous Metals,Other,1,39.2,13,EMERGING LEADER,79.3,36.5,30D (Early),-0.31,-0.3,-0.12,0.08,0.91,1.85,-0.46,-0.65,-0.92,-1.12,-1.59,-1.95,49.0,42.6,14.6,4.7,1.8,0.5,-5.92,-2.92,-0.12,3.68,7.48,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,8
Pipes & Tubes,Other,18,28.3,26,EMERGING LEADER,70.8,35.7,30D (Early),-0.58,-0.69,-0.67,-0.6,-0.04,0.68,-0.73,-1.04,-1.47,-1.8,-2.54,-3.12,44.5,38.2,12.1,3.7,1.4,0.5,-6.47,-3.47,-0.67,3.13,6.93,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,HIGH,92.6,5,,9
Tea & Coffee,Other,13,26.6,32,EMERGING LEADER,77.1,34.6,30D (Early),-0.68,-0.83,-0.86,-0.84,-0.38,0.27,-0.83,-1.18,-1.66,-2.04,-2.88,-3.53,42.9,36.7,11.3,3.4,1.3,0.5,-6.66,-3.66,-0.86,2.94,6.74,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,HIGH,79.5,5,,10
Textiles,Other,3,32.4,18,NEUTRAL,42.7,34.5,30D (Early),-0.23,-0.19,0.03,0.26,1.17,2.18,-0.38,-0.54,-0.77,-0.94,-1.33,-1.62,50.3,43.8,15.3,5.0,2.0,0.5,-5.77,-2.77,0.03,3.83,7.63,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,LOW (N<4),40.8,5,,11
Steel Manufacturing & Mining,Other,1,38.5,15,NEUTRAL,51.4,34.1,30D (Early),-0.28,-0.26,-0.06,0.15,1.01,1.98,-0.43,-0.61,-0.86,-1.05,-1.49,-1.82,49.5,43.1,14.9,4.8,1.9,0.5,-5.86,-2.86,-0.06,3.74,7.54,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,12
Oil Gas & Consumable Fuels,Other,1,23.7,41,NEUTRAL,52.9,34.1,30D (Early),-0.29,-0.27,-0.08,0.12,0.97,1.93,-0.44,-0.62,-0.88,-1.08,-1.53,-1.87,49.3,42.8,14.7,4.8,1.9,0.5,-5.88,-2.88,-0.08,3.72,7.52,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,12
Internet & Digital Platforms,Other,11,29.3,23,EMERGING LEADER,60.7,33.8,30D (Early),-0.58,-0.69,-0.67,-0.6,-0.04,0.69,-0.73,-1.04,-1.47,-1.8,-2.54,-3.11,44.5,38.2,12.1,3.7,1.4,0.5,-6.47,-3.47,-0.67,3.13,6.93,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,HIGH,73.5,5,,14
Capital Markets & Asset Management,Other,11,26.2,33,EMERGING LEADER,65.6,33.6,30D (Early),-0.64,-0.77,-0.78,-0.73,-0.23,0.45,-0.79,-1.12,-1.58,-1.93,-2.73,-3.35,43.6,37.4,11.7,3.5,1.3,0.5,-6.58,-3.58,-0.78,3.02,6.82,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,HIGH,73.5,5,,15
Wealth & Asset Management,Other,1,39.3,12,NEUTRAL,50.8,33.6,30D (Early),-0.31,-0.3,-0.13,0.07,0.9,1.84,-0.46,-0.65,-0.93,-1.13,-1.6,-1.96,49.0,42.5,14.5,4.7,1.8,0.5,-5.93,-2.93,-0.13,3.67,7.47,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,15
"Hotels, Resorts & QSR",Other,17,31.0,20,EMERGING LEADER,63.8,33.5,30D (Early),-0.7,-0.85,-0.9,-0.88,-0.45,0.19,-0.85,-1.2,-1.7,-2.08,-2.95,-3.61,42.6,36.4,11.2,3.3,1.2,0.5,-6.7,-3.7,-0.9,2.9,6.7,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,HIGH,90.2,5,,17
Structural Steel Tubes & Pipes,Other,1,41.6,9,NEUTRAL,47.7,33.5,30D (Early),-0.29,-0.27,-0.08,0.12,0.97,1.93,-0.44,-0.62,-0.88,-1.08,-1.53,-1.87,49.3,42.8,14.7,4.8,1.9,0.5,-5.88,-2.88,-0.08,3.72,7.52,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,17
Superalloys & Special Metals,Other,1,27.9,27,NEUTRAL,48.5,33.4,30D (Early),-0.31,-0.3,-0.12,0.07,0.91,1.85,-0.46,-0.65,-0.92,-1.13,-1.59,-1.95,49.0,42.5,14.6,4.7,1.8,0.5,-5.92,-2.92,-0.12,3.68,7.48,TIER X (INSUFFICIENT DATA / N<2),WEAK NOW + WEAK FUTURE,LOW (N<4),25.7,5,,19
Realty,Other,3,22.9,46,ACCELERATING,82.9,33.2,30D (Early),-0.68,-0.82,-0.86,-0.83,-0.38,0.28,-0.83,-1.17,-1.66,-2.03,-2.88,-3.52,43.0,36.7,11.3,3.4,1.3,0.5,-6.66,-3.66,-0.86,2.94,6.74,TIER D (WEAK / AVOID),WEAK NOW + WEAK FUTURE,LOW (N<4),40.8,5,,20
