Industry,P_Pos_20D,P_Beat_Smallcap_20D,P_Gt_2pct_20D,P_Gt_5pct_20D,P_Gt_8pct_20D,P_Gt_10pct_20D,P_Gt_15pct_20D,P_Gt_20pct_20D,P_Excess_Gt_2pct_20D,P_Excess_Gt_5pct_20D,P_Excess_Gt_10pct_20D
API & CDMO / CRAMS,41.3,35.1,26.3,10.5,3.1,1.1,0.5,0.1,21.5,8.0,0.8
Aerospace & Defence,39.6,33.6,25.0,9.8,2.8,1.0,0.5,0.1,20.3,7.4,0.7
Affordable Housing Finance Company,21.8,17.5,11.7,3.5,1.0,1.0,0.5,0.1,9.0,2.5,0.5
Agrochemicals & Pesticides,22.6,18.2,12.2,3.7,1.0,1.0,0.5,0.1,9.4,2.7,0.5
Air Conditioners & AC Components,27.1,22.1,15.3,5.0,1.2,1.0,0.5,0.1,12.0,3.7,0.5
Air Conditioners & Appliances,28.3,23.2,16.2,5.4,1.3,1.0,0.5,0.1,12.7,4.0,0.5
Aluminium & Mining,35.3,29.6,21.5,8.0,2.1,1.0,0.5,0.1,17.2,6.0,0.5
Asset Management & Wealth,60.0,53.4,43.6,21.8,8.1,3.5,0.5,0.1,37.4,17.5,2.5
Asset Management Company (AMC),37.6,31.7,23.3,8.9,2.5,1.0,0.5,0.1,18.8,6.7,0.6
Auto Glass,49.4,42.9,33.4,14.8,4.8,1.9,0.5,0.1,27.9,11.5,1.3
Auto Lighting,21.0,16.8,11.2,3.3,1.0,1.0,0.5,0.1,8.5,2.4,0.5
Auto Parts & Equipment,36.6,30.7,22.5,8.5,2.3,1.0,0.5,0.1,18.1,6.4,0.5
Automobile OEMs,40.3,34.2,25.5,10.1,2.9,1.1,0.5,0.1,20.8,7.7,0.7
Automobile and Auto Components,36.3,30.5,22.3,8.3,2.3,1.0,0.5,0.1,17.9,6.3,0.5
Banks,36.6,30.8,22.6,8.5,2.3,1.0,0.5,0.1,18.2,6.4,0.6
Batteries,33.8,28.2,20.3,7.4,1.9,1.0,0.5,0.1,16.2,5.5,0.5
Batteries & Energy Storage,47.5,41.1,31.8,13.7,4.4,1.7,0.5,0.1,26.4,10.7,1.2
Bearings & Friction Solutions,34.9,29.2,21.2,7.8,2.1,1.0,0.5,0.1,16.9,5.8,0.5
Breweries & Distilleries,37.9,32.0,23.6,9.0,2.5,1.0,0.5,0.1,19.0,6.8,0.6
Capital Goods,41.3,35.1,26.3,10.5,3.1,1.1,0.5,0.1,21.5,8.0,0.8
Capital Markets & Asset Management,43.6,37.4,28.3,11.7,3.5,1.3,0.5,0.1,23.3,9.0,0.9
Cement,25.7,20.9,14.3,4.6,1.1,1.0,0.5,0.1,11.2,3.4,0.5
Cement & Clinker,27.4,22.4,15.6,5.1,1.2,1.0,0.5,0.1,12.2,3.8,0.5
Ceramics & Tiles,29.2,24.0,16.9,5.7,1.4,1.0,0.5,0.1,13.3,4.2,0.5
Chemicals,34.2,28.6,20.7,7.5,2.0,1.0,0.5,0.1,16.5,5.6,0.5
Civil Buildings & Commercial EPC,18.6,14.8,9.6,2.7,1.0,1.0,0.5,0.1,7.3,1.9,0.5
Civil Construction & Infrastructure,28.4,23.4,16.3,5.5,1.3,1.0,0.5,0.1,12.8,4.0,0.5
Civil Construction & Infrastructure EPC,33.9,28.3,20.4,7.4,2.0,1.0,0.5,0.1,16.3,5.6,0.5
Commodity Chemicals,41.2,35.1,26.3,10.5,3.1,1.1,0.5,0.1,21.4,8.0,0.8
Construction,42.3,36.1,27.2,11.0,3.3,1.2,0.5,0.1,22.2,8.4,0.8
Construction Materials,68.7,62.5,52.9,29.3,12.2,5.8,0.5,0.1,46.4,24.1,4.2
Consumer Durables,40.1,34.1,25.4,10.0,2.9,1.0,0.5,0.1,20.6,7.6,0.7
Consumer Services,38.6,32.6,24.1,9.3,2.6,1.0,0.5,0.1,19.5,7.1,0.6
Copper & Non-Ferrous Metals,49.0,42.6,33.1,14.6,4.7,1.8,0.5,0.1,27.6,11.4,1.3
Copper Mining,70.5,64.4,55.0,31.1,13.3,6.4,0.5,0.1,48.5,25.8,4.7
Dairy Products,61.8,55.3,45.5,23.3,8.9,3.9,0.5,0.1,39.2,18.8,2.8
