Strategy,Cost_Scenario,Round_Trip_Cost_bps,Net_CAGR_pct,Net_Sharpe,Max_Drawdown_pct,Win_Rate_pct,Daily_Turnover_pct,Viability
Top_10_Percent,Low_15bps,15,-15.9,-3.25,-35.9,44.1,46.5,MARGINAL
Top_10_Percent,Base_30bps,30,-16.6,-3.42,-36.4,43.6,46.5,MARGINAL
Top_10_Percent,High_50bps,50,-17.6,-3.64,-37.1,42.8,46.5,MARGINAL
Top_20_Percent,Low_15bps,15,-14.6,-3.24,-32.7,44.4,38.0,MARGINAL
Top_20_Percent,Base_30bps,30,-15.2,-3.39,-33.2,43.3,38.0,MARGINAL
Top_20_Percent,High_50bps,50,-16.1,-3.58,-33.9,43.1,38.0,MARGINAL
Top_30_Percent,Low_15bps,15,-14.0,-3.17,-31.6,43.6,32.2,MARGINAL
Top_30_Percent,Base_30bps,30,-14.5,-3.3,-32.0,43.1,32.2,MARGINAL
Top_30_Percent,High_50bps,50,-15.2,-3.46,-32.6,42.8,32.2,MARGINAL
Long_Short_Deciles,Low_15bps,15,-8.1,-1.65,-22.2,49.9,46.5,MARGINAL
Long_Short_Deciles,Base_30bps,30,-8.9,-1.83,-22.5,49.1,46.5,MARGINAL
Long_Short_Deciles,High_50bps,50,-10.0,-2.06,-23.0,48.8,46.5,MARGINAL
