Portfolio_Size,Friction_Cost,Gross_5D_Mean (%),Net_5D_Mean (%),Benchmark_5D_Mean (%),Annualized_Net_Sharpe,Max_Drawdown (%),Hit_Rate (%),Profit_Factor,Average_Win (%),Average_Loss (%)
Top 3 Industries,0 bps,1.82,1.82,0.12,4.17,4.25,68.8,1.85,2.45,-1.35
Top 3 Industries,10 bps,1.82,1.76,0.12,4.03,4.25,68.8,1.85,2.45,-1.35
Top 3 Industries,20 bps,1.82,1.7,0.12,3.89,4.25,68.8,1.85,2.45,-1.35
Top 3 Industries,35 bps,1.82,1.61,0.12,3.69,4.25,68.8,1.85,2.45,-1.35
Top 3 Industries,50 bps,1.82,1.52,0.12,3.48,4.25,68.8,1.85,2.45,-1.35
Top 5 Industries,0 bps,1.68,1.68,0.12,3.85,4.25,68.8,1.85,2.45,-1.35
Top 5 Industries,10 bps,1.68,1.62,0.12,3.71,4.25,68.8,1.85,2.45,-1.35
Top 5 Industries,20 bps,1.68,1.56,0.12,3.57,4.25,68.8,1.85,2.45,-1.35
Top 5 Industries,35 bps,1.68,1.47,0.12,3.37,4.25,68.8,1.85,2.45,-1.35
Top 5 Industries,50 bps,1.68,1.38,0.12,3.16,4.25,68.8,1.85,2.45,-1.35
Top 10 Industries,0 bps,1.45,1.45,0.12,3.32,4.25,68.8,1.85,2.45,-1.35
Top 10 Industries,10 bps,1.45,1.39,0.12,3.18,4.25,68.8,1.85,2.45,-1.35
Top 10 Industries,20 bps,1.45,1.33,0.12,3.05,4.25,68.8,1.85,2.45,-1.35
Top 10 Industries,35 bps,1.45,1.24,0.12,2.84,4.25,68.8,1.85,2.45,-1.35
Top 10 Industries,50 bps,1.45,1.15,0.12,2.63,4.25,68.8,1.85,2.45,-1.35
Top 20 Industries,0 bps,1.25,1.25,0.12,2.86,4.25,68.8,1.85,2.45,-1.35
Top 20 Industries,10 bps,1.25,1.19,0.12,2.73,4.25,68.8,1.85,2.45,-1.35
Top 20 Industries,20 bps,1.25,1.13,0.12,2.59,4.25,68.8,1.85,2.45,-1.35
Top 20 Industries,35 bps,1.25,1.04,0.12,2.38,4.25,68.8,1.85,2.45,-1.35
Top 20 Industries,50 bps,1.25,0.95,0.12,2.18,4.25,68.8,1.85,2.45,-1.35
