Portfolio_Size,Friction_Cost,Gross_5D_Return (%),Net_5D_Return (%),Benchmark_5D_Return (%),Universe_5D_Return (%),Bottom_Q5_Return (%),Net_Annualized_Sharpe,Max_Drawdown (%),Return_Per_Unit_Turnover,Return_Per_Unit_Drawdown,Hit_Rate (%)
Top 3 Industries,10 bps,0.67,0.61,-0.13,0.68,1.92,4.47,0.33,2.05,1.86,66.7
Top 3 Industries,20 bps,0.67,0.55,-0.13,0.68,1.92,4.03,0.39,1.85,1.42,66.7
Top 3 Industries,35 bps,0.67,0.46,-0.13,0.68,1.92,3.38,0.48,1.55,0.97,66.7
Top 3 Industries,50 bps,0.67,0.37,-0.13,0.68,1.92,2.72,0.57,1.25,0.66,66.7
Top 5 Industries,10 bps,-0.52,-0.58,-0.13,0.68,0.65,-4.09,3.32,-1.93,-0.17,16.7
Top 5 Industries,20 bps,-0.52,-0.64,-0.13,0.68,0.65,-4.51,3.56,-2.13,-0.18,16.7
Top 5 Industries,35 bps,-0.52,-0.73,-0.13,0.68,0.65,-5.15,3.92,-2.43,-0.19,16.7
Top 5 Industries,50 bps,-0.52,-0.82,-0.13,0.68,0.65,-5.78,4.28,-2.73,-0.19,16.7
Top 10 Industries,10 bps,-0.85,-0.91,-0.13,0.68,0.03,-5.52,5.21,-3.03,-0.17,33.3
Top 10 Industries,20 bps,-0.85,-0.97,-0.13,0.68,0.03,-5.89,5.45,-3.23,-0.18,33.3
Top 10 Industries,35 bps,-0.85,-1.06,-0.13,0.68,0.03,-6.43,5.81,-3.53,-0.18,33.3
Top 10 Industries,50 bps,-0.85,-1.15,-0.13,0.68,0.03,-6.98,6.17,-3.83,-0.19,33.3
Top 20 Industries,10 bps,-1.17,-1.23,-0.13,0.68,-0.23,-10.84,6.33,-4.08,-0.19,0.0
Top 20 Industries,20 bps,-1.17,-1.29,-0.13,0.68,-0.23,-11.38,6.63,-4.28,-0.19,0.0
Top 20 Industries,35 bps,-1.17,-1.38,-0.13,0.68,-0.23,-12.17,7.08,-4.58,-0.19,0.0
Top 20 Industries,50 bps,-1.17,-1.47,-0.13,0.68,-0.23,-12.97,7.53,-4.88,-0.19,0.0
