Session_Index,Date,Stocks_Count,Industries_Count,Valid_Industry_Obs,Missing_Industry_Obs,Has_Forward_5D,Has_Forward_10D,Has_Forward_20D,Is_Non_Overlapping_5D,Is_Non_Overlapping_10D,Is_Non_Overlapping_20D
1,2026-07-02,3162,134,134,1,1,1,1,1,1,1
2,2026-07-03,3165,134,134,1,1,1,1,0,0,0
3,2026-07-06,3180,134,134,1,1,1,1,0,0,0
4,2026-07-07,3121,134,134,1,1,1,1,0,0,0
5,2026-07-08,3152,134,134,1,1,1,1,0,0,0
6,2026-07-09,3156,134,134,1,1,1,1,1,0,0
7,2026-07-10,3148,134,134,1,1,1,1,0,0,0
8,2026-07-13,3164,134,134,1,1,1,1,0,0,0
9,2026-07-14,3143,134,134,1,1,1,1,0,0,0
10,2026-07-15,3146,134,134,1,1,1,1,0,0,0
11,2026-07-16,3167,134,134,1,1,1,1,1,1,0
12,2026-07-17,3162,134,134,1,1,1,1,0,0,0
13,2026-07-20,3144,134,134,1,1,1,1,0,0,0
14,2026-07-21,3148,134,134,1,1,1,1,0,0,0
15,2026-07-22,3156,134,134,1,1,1,1,0,0,0
16,2026-07-23,3137,134,134,1,1,1,1,1,0,0
17,2026-07-24,3151,134,134,1,1,1,1,0,0,0
18,2026-07-27,3182,134,134,1,1,1,0,0,0,0
19,2026-07-28,3157,134,134,1,1,1,0,0,0,0
20,2026-07-29,3153,134,134,1,1,1,0,0,0,0
21,2026-07-30,3158,134,134,1,1,1,0,1,1,0
22,2026-07-31,3165,134,134,1,1,1,0,0,0,0
23,2026-08-03,3195,134,134,1,1,1,0,0,0,0
24,2026-08-04,3176,134,134,1,1,1,0,0,0,0
25,2026-08-05,3184,134,134,1,1,1,0,0,0,0
26,2026-08-06,3175,134,134,1,1,1,0,1,0,0
27,2026-08-07,3182,134,134,1,1,1,0,0,0,0
28,2026-08-10,3231,134,134,1,1,0,0,0,0,0
29,2026-08-11,3187,134,134,1,1,0,0,0,0,0
30,2026-08-12,3045,134,134,1,1,0,0,0,0,0
31,2026-08-13,3052,134,134,1,1,0,0,1,0,0
32,2026-08-14,3050,134,134,1,1,0,0,0,0,0
33,2026-08-17,3205,135,135,0,0,0,0,0,0,0
34,2026-08-18,3204,135,135,0,0,0,0,0,0,0
35,2026-08-19,3207,135,135,0,0,0,0,0,0,0
36,2026-08-20,3220,135,135,0,0,0,0,0,0,0
37,2026-08-21,3355,135,135,0,0,0,0,0,0,0
