date,symbol,industry,basic_industry,close,stock_strength_score,momentum_20d,market_rs_20d,volume_confirmation_score
2024-08-27,VENUSREM,Diversified Commercial,Diversified Commercial,359.4,21.77,-12.373521882238203,-14.39,65.0
2024-08-28,VENUSREM,Diversified Commercial,Diversified Commercial,352.45,16.41,-13.879047037263293,-15.9,40.0
2024-08-29,VENUSREM,Diversified Commercial,Diversified Commercial,347.45,14.99,-16.377858002406743,-18.4,40.0
2024-08-30,VENUSREM,Diversified Commercial,Diversified Commercial,344.5,14.28,-18.161301817317966,-20.18,40.0
2024-09-02,VENUSREM,Diversified Commercial,Diversified Commercial,338.1,14.28,-14.534883720930235,-16.55,40.0
2024-09-03,VENUSREM,Diversified Commercial,Diversified Commercial,340.7,18.39,-12.897865269078357,-14.92,65.0
2024-09-04,VENUSREM,Diversified Commercial,Diversified Commercial,343.5,18.54,-13.877397517863866,-15.9,65.0
2024-09-05,VENUSREM,Diversified Commercial,Diversified Commercial,355.35,25.62,-11.273408239700366,-13.29,100.0
2024-09-06,VENUSREM,Diversified Commercial,Diversified Commercial,359.2,31.1,-9.498614260519023,-11.52,65.0
2024-09-09,VENUSREM,Diversified Commercial,Diversified Commercial,356.95,28.13,-9.265378749364517,-11.29,40.0
2024-09-10,VENUSREM,Diversified Commercial,Diversified Commercial,361.9,31.23,-7.93691172729587,-9.96,65.0
2024-09-11,VENUSREM,Diversified Commercial,Diversified Commercial,359.1,51.55,3.8912194416317325,1.87,40.0
2024-09-12,VENUSREM,Diversified Commercial,Diversified Commercial,356.35,37.59,3.0956169535657496,1.08,40.0
2024-09-13,VENUSREM,Diversified Commercial,Diversified Commercial,353.95,48.09,6.499172559049193,4.48,40.0
2024-09-16,VENUSREM,Diversified Commercial,Diversified Commercial,353.0,44.27,3.9152193111569034,1.9,40.0
2024-09-17,VENUSREM,Diversified Commercial,Diversified Commercial,350.65,45.89,3.3908300162170057,1.37,40.0
2024-09-18,VENUSREM,Diversified Commercial,Diversified Commercial,347.15,41.55,1.077303828796028,-0.94,40.0
