date,P10,P25,P50,P75,P90,P95
2024-10-28,-5.32,0.23,6.32,12.42,17.97,21.24
2024-10-29,-5.79,-0.24,5.85,11.95,17.5,20.77
2024-10-30,-6.95,-1.4,4.69,10.79,16.33,19.61
2024-10-31,-9.08,-3.53,2.56,8.65,14.2,17.48
2024-11-01,-9.9,-4.35,1.74,7.84,13.38,16.66
2024-11-04,-9.65,-4.11,1.99,8.08,13.63,16.9
2024-11-05,-10.38,-4.83,1.27,7.36,12.91,16.18
2024-11-06,-12.67,-7.12,-1.03,5.06,10.61,13.88
2024-11-07,-12.7,-7.15,-1.06,5.03,10.58,13.86
2024-11-08,-10.29,-4.74,1.35,7.44,12.99,16.27
2024-11-11,-10.37,-4.82,1.27,7.37,12.92,16.19
2024-11-12,-8.04,-2.49,3.6,9.7,15.25,18.52
2024-11-13,-6.79,-1.25,4.85,10.94,16.49,19.76
2024-11-14,-5.92,-0.37,5.72,11.82,17.36,20.64
2024-11-18,-5.95,-0.41,5.69,11.78,17.33,20.6
2024-11-19,-6.28,-0.73,5.36,11.45,17.0,20.28
2024-11-20,-6.47,-0.92,5.17,11.26,16.81,20.09
2024-11-21,-6.24,-0.69,5.4,11.49,17.04,20.32
2024-11-22,-6.57,-1.03,5.07,11.16,16.71,19.98
2024-11-25,-7.51,-1.96,4.13,10.23,15.78,19.05
2024-11-26,-9.37,-3.82,2.27,8.36,13.91,17.18
2024-11-27,-9.65,-4.1,1.99,8.09,13.64,16.91
2024-11-28,-9.82,-4.27,1.82,7.91,13.46,16.74
2024-11-29,-10.62,-5.07,1.02,7.11,12.66,15.94
2024-12-02,-13.36,-7.81,-1.72,4.38,9.92,13.2
2024-12-03,-15.54,-9.99,-3.9,2.2,7.74,11.02
2024-12-04,-15.62,-10.07,-3.98,2.12,7.66,10.94
2024-12-05,-16.11,-10.56,-4.47,1.63,7.17,10.45
2024-12-06,-16.41,-10.86,-4.77,1.32,6.87,10.15
2024-12-09,-16.9,-11.35,-5.26,0.83,6.38,9.65
2024-12-10,-17.31,-11.76,-5.67,0.43,5.97,9.25
2024-12-11,-16.78,-11.24,-5.14,0.95,6.5,9.77
2024-12-12,-16.11,-10.57,-4.47,1.62,7.17,10.44
2024-12-13,-16.74,-11.2,-5.1,0.99,6.54,9.81
2024-12-16,-16.73,-11.18,-5.08,1.01,6.56,9.83
2024-12-17,-16.49,-10.94,-4.85,1.24,6.79,10.07
2024-12-18,-14.94,-9.4,-3.3,2.79,8.34,11.61
2024-12-19,-14.0,-8.45,-2.36,3.74,9.28,12.56
2024-12-20,-10.32,-4.77,1.33,7.42,12.97,16.24
2024-12-23,-9.71,-4.16,1.93,8.03,13.57,16.85
2024-10-28,-4.78,0.76,6.86,12.95,18.5,21.77
2024-10-29,-4.77,0.77,6.87,12.96,18.51,21.78
2024-10-30,-7.66,-2.11,3.98,10.08,15.63,18.9
2024-10-31,-9.63,-4.08,2.01,8.11,13.65,16.93
2024-11-01,-8.89,-3.34,2.75,8.85,14.4,17.67
2024-11-04,-9.03,-3.49,2.61,8.7,14.25,17.52
2024-11-05,-10.37,-4.83,1.27,7.36,12.91,16.18
2024-11-06,-12.26,-6.71,-0.61,5.48,11.03,14.3
2024-11-07,-13.92,-8.37,-2.28,3.82,9.36,12.64
2024-11-08,-11.17,-5.63,0.47,6.56,12.11,15.38
2024-11-11,-11.22,-5.67,0.42,6.52,12.06,15.34
2024-11-12,-8.46,-2.91,3.19,9.28,14.83,18.1
2024-11-13,-4.19,1.36,7.46,13.55,19.1,22.37
2024-11-14,-4.32,1.22,7.32,13.41,18.96,22.23
2024-11-18,-4.24,1.31,7.4,13.49,19.04,22.32
2024-11-19,-6.95,-1.4,4.69,10.78,16.33,19.61
2024-11-20,-7.17,-1.62,4.47,10.57,16.12,19.39
2024-11-21,-5.1,0.45,6.54,12.64,18.18,21.46
2024-11-22,-6.24,-0.7,5.4,11.49,17.04,20.31
2024-11-25,-7.38,-1.84,4.26,10.35,15.9,19.17
2024-11-26,-9.65,-4.1,1.99,8.08,13.63,16.91
2024-11-27,-10.05,-4.5,1.59,7.69,13.23,16.51
2024-11-28,-10.25,-4.7,1.39,7.49,13.04,16.31
2024-11-29,-10.65,-5.1,0.99,7.09,12.64,15.91
2024-12-02,-11.82,-6.27,-0.18,5.91,11.46,14.74
2024-12-03,-12.8,-7.25,-1.15,4.94,10.49,13.76
2024-12-04,-15.07,-9.52,-3.43,2.67,8.21,11.49
2024-12-05,-14.68,-9.14,-3.04,3.05,8.6,11.87
2024-12-06,-14.17,-8.63,-2.53,3.56,9.11,12.38
2024-12-09,-14.04,-8.49,-2.4,3.7,9.24,12.52
2024-12-10,-15.2,-9.65,-3.56,2.54,8.09,11.36
2024-12-11,-15.45,-9.9,-3.81,2.28,7.83,11.11
2024-12-12,-15.11,-9.57,-3.47,2.62,8.17,11.44
2024-12-13,-15.35,-9.8,-3.71,2.38,7.93,11.2
2024-12-16,-15.66,-10.11,-4.02,2.07,7.62,10.9
2024-12-17,-16.05,-10.51,-4.41,1.68,7.23,10.5
2024-12-18,-14.9,-9.35,-3.26,2.84,8.38,11.66
2024-12-19,-14.71,-9.16,-3.07,3.03,8.57,11.85
2024-12-20,-10.26,-4.72,1.38,7.47,13.02,16.29
2024-12-23,-10.33,-4.78,1.32,7.41,12.96,16.23
2024-10-28,-4.99,0.56,6.65,12.75,18.29,21.57
2024-10-29,-6.34,-0.79,5.3,11.4,16.94,20.22
2024-10-30,-7.53,-1.98,4.11,10.2,15.75,19.03
2024-10-31,-8.88,-3.33,2.76,8.86,14.4,17.68
2024-11-01,-9.25,-3.7,2.4,8.49,14.04,17.31
2024-11-04,-8.42,-2.87,3.22,9.32,14.87,18.14
2024-11-05,-9.32,-3.77,2.32,8.42,13.97,17.24
2024-11-06,-11.78,-6.23,-0.13,5.96,11.51,14.78
2024-11-07,-12.87,-7.32,-1.23,4.87,10.41,13.69
2024-11-08,-9.36,-3.81,2.28,8.37,13.92,17.19
2024-11-11,-9.49,-3.95,2.15,8.24,13.79,17.06
2024-11-12,-6.45,-0.9,5.2,11.29,16.84,20.11
2024-11-13,-5.4,0.15,6.24,12.33,17.88,21.16
2024-11-14,-5.6,-0.05,6.05,12.14,17.69,20.96
2024-11-18,-6.27,-0.72,5.38,11.47,17.02,20.29
2024-11-19,-6.92,-1.38,4.72,10.81,16.36,19.63
2024-11-20,-6.3,-0.76,5.34,11.43,16.98,20.25
2024-11-21,-5.16,0.39,6.49,12.58,18.13,21.4
2024-11-22,-6.95,-1.4,4.69,10.79,16.34,19.61
2024-11-25,-7.38,-1.83,4.26,10.35,15.9,19.18
2024-11-26,-9.0,-3.45,2.65,8.74,14.29,17.56
2024-11-27,-10.45,-4.9,1.2,7.29,12.84,16.11
2024-11-28,-11.06,-5.52,0.58,6.67,12.22,15.49
2024-11-29,-11.07,-5.52,0.57,6.67,12.22,15.49
2024-12-02,-14.04,-8.5,-2.4,3.69,9.24,12.51
2024-12-03,-15.99,-10.45,-4.35,1.74,7.29,10.56
2024-12-04,-17.24,-11.69,-5.59,0.5,6.05,9.32
2024-12-05,-17.0,-11.45,-5.36,0.74,6.28,9.56
2024-12-06,-16.5,-10.95,-4.86,1.23,6.78,10.06
2024-12-09,-16.24,-10.69,-4.59,1.5,7.05,10.32
2024-12-10,-15.91,-10.36,-4.27,1.82,7.37,10.65
2024-12-11,-16.08,-10.54,-4.44,1.65,7.2,10.47
2024-12-12,-15.32,-9.77,-3.68,2.42,7.97,11.24
2024-12-13,-15.68,-10.13,-4.04,2.05,7.6,10.88
2024-12-16,-16.24,-10.69,-4.6,1.5,7.05,10.32
2024-12-17,-15.77,-10.22,-4.13,1.96,7.51,10.79
2024-12-18,-15.39,-9.85,-3.75,2.34,7.89,11.16
2024-12-19,-14.29,-8.75,-2.65,3.44,8.99,12.26
2024-12-20,-8.97,-3.42,2.67,8.76,14.31,17.59
2024-12-23,-9.91,-4.36,1.74,7.83,13.38,16.65
2024-10-28,-7.41,-1.86,4.23,10.33,15.87,19.15
2024-10-29,-7.53,-1.98,4.12,10.21,15.76,19.03
2024-10-30,-9.37,-3.82,2.27,8.36,13.91,17.19
2024-10-31,-11.31,-5.76,0.33,6.43,11.97,15.25
2024-11-01,-12.58,-7.03,-0.93,5.16,10.71,13.98
2024-11-04,-10.53,-4.98,1.11,7.21,12.76,16.03
2024-11-05,-12.03,-6.48,-0.39,5.71,11.26,14.53
2024-11-06,-14.26,-8.71,-2.62,3.47,9.02,12.29
2024-11-07,-15.41,-9.86,-3.77,2.32,7.87,11.14
2024-11-08,-12.34,-6.79,-0.7,5.39,10.94,14.22
2024-11-11,-12.21,-6.66,-0.57,5.53,11.07,14.35
2024-11-12,-6.13,-0.58,5.52,11.61,17.16,20.43
2024-11-13,-3.05,2.5,8.6,14.69,20.24,23.51
2024-11-14,-2.79,2.76,8.85,14.95,20.5,23.77
2024-11-18,-5.93,-0.39,5.71,11.8,17.35,20.62
2024-11-19,-6.36,-0.81,5.28,11.37,16.92,20.2
2024-11-20,-5.97,-0.42,5.67,11.76,17.31,20.59
2024-11-21,-4.58,0.96,7.06,13.15,18.7,21.97
2024-11-22,-6.42,-0.87,5.22,11.32,16.86,20.14
2024-11-25,-7.9,-2.35,3.75,9.84,15.39,18.66
2024-11-26,-10.59,-5.04,1.05,7.14,12.69,15.97
2024-11-27,-11.44,-5.89,0.2,6.3,11.84,15.12
2024-11-28,-11.46,-5.91,0.18,6.28,11.83,15.1
2024-11-29,-11.94,-6.39,-0.3,5.8,11.34,14.62
2024-12-02,-12.23,-6.68,-0.58,5.51,11.06,14.33
2024-12-03,-13.26,-7.71,-1.62,4.47,10.02,13.3
2024-12-04,-13.36,-7.81,-1.72,4.38,9.92,13.2
2024-12-05,-12.67,-7.12,-1.02,5.07,10.62,13.89
2024-12-06,-12.42,-6.87,-0.78,5.31,10.86,14.14
2024-12-09,-14.72,-9.17,-3.08,3.02,8.57,11.84
2024-12-10,-13.25,-7.7,-1.61,4.49,10.04,13.31
2024-12-11,-14.75,-9.2,-3.11,2.98,8.53,11.81
2024-12-12,-15.05,-9.5,-3.41,2.68,8.23,11.51
2024-12-13,-15.43,-9.88,-3.78,2.31,7.86,11.13
2024-12-16,-16.12,-10.57,-4.48,1.62,7.16,10.44
2024-12-17,-16.08,-10.53,-4.44,1.65,7.2,10.48
2024-12-18,-14.1,-8.55,-2.46,3.64,9.18,12.46
2024-12-19,-14.88,-9.33,-3.24,2.86,8.41,11.68
2024-12-20,-10.87,-5.32,0.77,6.86,12.41,15.69
2024-12-23,-10.54,-4.99,1.1,7.2,12.75,16.02
2024-10-28,-4.86,0.69,6.78,12.88,18.43,21.7
2024-10-29,-5.07,0.48,6.58,12.67,18.22,21.49
2024-10-30,-6.53,-0.98,5.11,11.2,16.75,20.03
2024-10-31,-10.41,-4.86,1.23,7.32,12.87,16.15
2024-11-01,-11.58,-6.03,0.06,6.15,11.7,14.98
2024-11-04,-10.25,-4.7,1.4,7.49,13.04,16.31
2024-11-05,-11.33,-5.78,0.31,6.41,11.95,15.23
2024-11-06,-13.39,-7.85,-1.75,4.34,9.89,13.16
2024-11-07,-14.1,-8.55,-2.45,3.64,9.19,12.46
2024-11-08,-11.39,-5.84,0.26,6.35,11.9,15.17
2024-11-11,-11.1,-5.55,0.54,6.63,12.18,15.46
2024-11-12,-8.11,-2.56,3.53,9.63,15.18,18.45
2024-11-13,-5.21,0.34,6.43,12.52,18.07,21.35
2024-11-14,-4.3,1.25,7.34,13.44,18.99,22.26
2024-11-18,-5.03,0.51,6.61,12.7,18.25,21.52
2024-11-19,-6.65,-1.1,4.99,11.09,16.64,19.91
2024-11-20,-7.04,-1.49,4.6,10.69,16.24,19.51
2024-11-21,-5.51,0.04,6.13,12.23,17.78,21.05
2024-11-22,-6.13,-0.58,5.51,11.6,17.15,20.43
2024-11-25,-8.14,-2.59,3.5,9.59,15.14,18.41
2024-11-26,-9.86,-4.32,1.78,7.87,13.42,16.69
2024-11-27,-9.96,-4.41,1.68,7.77,13.32,16.6
2024-11-28,-10.61,-5.06,1.03,7.13,12.68,15.95
2024-11-29,-11.16,-5.61,0.49,6.58,12.13,15.4
2024-12-02,-12.21,-6.66,-0.57,5.53,11.08,14.35
2024-12-03,-13.54,-7.99,-1.89,4.2,9.75,13.02
2024-12-04,-13.57,-8.02,-1.92,4.17,9.72,12.99
2024-12-05,-13.76,-8.21,-2.12,3.97,9.52,12.79
2024-12-06,-13.88,-8.33,-2.24,3.86,9.41,12.68
2024-12-09,-14.6,-9.05,-2.96,3.14,8.68,11.96
2024-12-10,-15.92,-10.38,-4.28,1.81,7.36,10.63
2024-12-11,-16.22,-10.67,-4.58,1.51,7.06,10.34
2024-12-12,-15.97,-10.42,-4.33,1.76,7.31,10.59
2024-12-13,-16.2,-10.65,-4.56,1.53,7.08,10.36
2024-12-16,-16.25,-10.7,-4.61,1.49,7.03,10.31
2024-12-17,-16.35,-10.8,-4.71,1.39,6.94,10.21
2024-12-18,-14.86,-9.31,-3.22,2.88,8.43,11.7
2024-12-19,-14.87,-9.32,-3.23,2.87,8.42,11.69
2024-12-20,-10.26,-4.71,1.38,7.48,13.02,16.3
2024-12-23,-10.37,-4.82,1.27,7.36,12.91,16.19
2024-10-28,-2.42,3.12,9.22,15.31,20.86,24.13
2024-10-29,-4.82,0.73,6.83,12.92,18.47,21.74
2024-10-30,-8.41,-2.87,3.23,9.32,14.87,18.14
2024-10-31,-9.84,-4.29,1.8,7.89,13.44,16.72
2024-11-01,-11.48,-5.93,0.16,6.25,11.8,15.08
2024-11-04,-9.53,-3.98,2.11,8.21,13.76,17.03
2024-11-05,-10.95,-5.4,0.69,6.78,12.33,15.61
2024-11-06,-13.69,-8.14,-2.05,4.04,9.59,12.87
2024-11-07,-14.26,-8.71,-2.62,3.48,9.03,12.3
2024-11-08,-11.93,-6.39,-0.29,5.8,11.35,14.62
2024-11-11,-11.76,-6.22,-0.12,5.97,11.52,14.79
2024-11-12,-8.8,-3.26,2.84,8.93,14.48,17.75
2024-11-13,-4.92,0.63,6.72,12.81,18.36,21.64
2024-11-14,-5.83,-0.28,5.81,11.9,17.45,20.73
2024-11-18,-5.88,-0.34,5.76,11.85,17.4,20.67
2024-11-19,-7.7,-2.15,3.94,10.04,15.59,18.86
2024-11-20,-8.08,-2.53,3.57,9.66,15.21,18.48
2024-11-21,-6.64,-1.09,5.0,11.09,16.64,19.92
2024-11-22,-7.87,-2.32,3.77,9.87,15.42,18.69
2024-11-25,-8.25,-2.7,3.39,9.49,15.04,18.31
2024-11-26,-10.25,-4.7,1.39,7.48,13.03,16.31
2024-11-27,-10.72,-5.17,0.92,7.02,12.56,15.84
2024-11-28,-11.07,-5.52,0.57,6.66,12.21,15.49
2024-11-29,-12.22,-6.68,-0.58,5.51,11.06,14.33
2024-12-02,-14.27,-8.72,-2.63,3.46,9.01,12.29
2024-12-03,-16.38,-10.83,-4.74,1.36,6.91,10.18
2024-12-04,-16.0,-10.45,-4.36,1.74,7.28,10.56
2024-12-05,-16.53,-10.98,-4.89,1.2,6.75,10.03
2024-12-06,-16.6,-11.05,-4.96,1.13,6.68,9.96
2024-12-09,-16.75,-11.2,-5.11,0.99,6.54,9.81
2024-12-10,-16.64,-11.1,-5.0,1.09,6.64,9.91
2024-12-11,-16.46,-10.92,-4.82,1.27,6.82,10.09
2024-12-12,-16.16,-10.62,-4.52,1.57,7.12,10.39
2024-12-13,-16.71,-11.16,-5.07,1.03,6.58,9.85
2024-12-16,-16.21,-10.66,-4.57,1.53,7.08,10.35
2024-12-17,-16.41,-10.87,-4.77,1.32,6.87,10.14
2024-12-18,-14.87,-9.32,-3.22,2.87,8.42,11.69
2024-12-19,-14.14,-8.59,-2.5,3.6,9.14,12.42
2024-12-20,-9.31,-3.76,2.33,8.43,13.97,17.25
2024-12-23,-8.31,-2.76,3.34,9.43,14.98,18.25
2024-10-28,-5.27,0.28,6.37,12.46,18.01,21.29
2024-10-29,-6.59,-1.05,5.05,11.14,16.69,19.96
2024-10-30,-8.02,-2.47,3.62,9.72,15.26,18.54
2024-10-31,-9.86,-4.31,1.78,7.88,13.42,16.7
2024-11-01,-10.17,-4.62,1.47,7.57,13.11,16.39
2024-11-04,-9.68,-4.13,1.96,8.05,13.6,16.88
2024-11-05,-10.36,-4.81,1.29,7.38,12.93,16.2
2024-11-06,-13.05,-7.5,-1.4,4.69,10.24,13.51
2024-11-07,-13.62,-8.07,-1.98,4.11,9.66,12.94
2024-11-08,-10.98,-5.44,0.66,6.75,12.3,15.57
2024-11-11,-11.17,-5.63,0.47,6.56,12.11,15.38
2024-11-12,-8.48,-2.94,3.16,9.25,14.8,18.07
2024-11-13,-3.27,2.28,8.37,14.46,20.01,23.29
2024-11-14,-3.13,2.42,8.51,14.6,20.15,23.43
2024-11-18,-3.04,2.51,8.6,14.7,20.25,23.52
2024-11-19,-5.8,-0.25,5.85,11.94,17.49,20.76
2024-11-20,-5.95,-0.41,5.69,11.78,17.33,20.6
2024-11-21,-4.81,0.74,6.84,12.93,18.48,21.75
2024-11-22,-6.24,-0.69,5.4,11.49,17.04,20.31
2024-11-25,-7.26,-1.72,4.38,10.47,16.02,19.29
2024-11-26,-9.14,-3.59,2.5,8.6,14.15,17.42
2024-11-27,-10.05,-4.5,1.59,7.69,13.23,16.51
2024-11-28,-9.9,-4.35,1.74,7.84,13.39,16.66
2024-11-29,-10.98,-5.43,0.66,6.75,12.3,15.58
2024-12-02,-13.31,-7.76,-1.67,4.42,9.97,13.25
2024-12-03,-13.54,-7.99,-1.9,4.2,9.74,13.02
2024-12-04,-13.68,-8.13,-2.04,4.05,9.6,12.88
2024-12-05,-14.36,-8.81,-2.72,3.37,8.92,12.2
2024-12-06,-14.45,-8.9,-2.81,3.29,8.84,12.11
2024-12-09,-14.8,-9.25,-3.15,2.94,8.49,11.76
2024-12-10,-15.08,-9.53,-3.44,2.66,8.21,11.48
2024-12-11,-15.08,-9.53,-3.44,2.66,8.2,11.48
2024-12-12,-14.97,-9.42,-3.33,2.76,8.31,11.59
2024-12-13,-14.92,-9.37,-3.28,2.81,8.36,11.64
2024-12-16,-15.37,-9.82,-3.73,2.36,7.91,11.19
2024-12-17,-15.97,-10.42,-4.33,1.76,7.31,10.59
2024-12-18,-14.39,-8.84,-2.75,3.34,8.89,12.17
2024-12-19,-13.53,-7.98,-1.89,4.21,9.76,13.03
2024-12-20,-9.47,-3.93,2.17,8.26,13.81,17.08
2024-12-23,-9.36,-3.81,2.28,8.38,13.93,17.2
2024-10-28,-5.52,0.03,6.13,12.22,17.77,21.04
2024-10-29,-4.53,1.02,7.11,13.21,18.75,22.03
2024-10-30,-6.08,-0.53,5.56,11.65,17.2,20.48
2024-10-31,-9.09,-3.55,2.55,8.64,14.19,17.46
2024-11-01,-11.12,-5.57,0.52,6.61,12.16,15.44
2024-11-04,-9.2,-3.66,2.44,8.53,14.08,17.35
2024-11-05,-10.63,-5.08,1.01,7.1,12.65,15.93
2024-11-06,-13.96,-8.41,-2.32,3.78,9.32,12.6
2024-11-07,-15.26,-9.71,-3.62,2.48,8.02,11.3
2024-11-08,-10.99,-5.44,0.65,6.75,12.3,15.57
2024-11-11,-11.07,-5.53,0.57,6.66,12.21,15.48
2024-11-12,-9.12,-3.57,2.52,8.61,14.16,17.44
2024-11-13,-6.04,-0.49,5.61,11.7,17.25,20.52
2024-11-14,-6.54,-0.99,5.1,11.2,16.74,20.02
2024-11-18,-6.27,-0.73,5.37,11.46,17.01,20.28
2024-11-19,-6.96,-1.41,4.68,10.77,16.32,19.6
2024-11-20,-6.7,-1.16,4.94,11.03,16.58,19.85
2024-11-21,-4.75,0.8,6.89,12.98,18.53,21.81
2024-11-22,-5.82,-0.27,5.82,11.92,17.47,20.74
2024-11-25,-7.22,-1.68,4.42,10.51,16.06,19.33
2024-11-26,-9.27,-3.72,2.37,8.47,14.01,17.29
2024-11-27,-10.03,-4.48,1.61,7.71,13.26,16.53
2024-11-28,-9.9,-4.35,1.74,7.84,13.38,16.66
2024-11-29,-10.15,-4.6,1.49,7.59,13.14,16.41
2024-12-02,-11.8,-6.25,-0.16,5.94,11.48,14.76
2024-12-03,-12.99,-7.44,-1.35,4.75,10.29,13.57
2024-12-04,-13.67,-8.12,-2.03,4.06,9.61,12.89
2024-12-05,-14.28,-8.73,-2.63,3.46,9.01,12.28
2024-12-06,-14.55,-9.0,-2.91,3.19,8.74,12.01
2024-12-09,-14.55,-9.0,-2.91,3.18,8.73,12.01
2024-12-10,-15.48,-9.93,-3.84,2.26,7.81,11.08
2024-12-11,-15.71,-10.16,-4.07,2.03,7.58,10.85
2024-12-12,-15.19,-9.64,-3.55,2.54,8.09,11.37
2024-12-13,-15.91,-10.36,-4.27,1.82,7.37,10.65
2024-12-16,-16.03,-10.48,-4.39,1.71,7.25,10.53
2024-12-17,-15.79,-10.24,-4.15,1.95,7.49,10.77
2024-12-18,-14.45,-8.9,-2.81,3.28,8.83,12.11
2024-12-19,-13.91,-8.36,-2.27,3.82,9.37,12.65
2024-12-20,-9.36,-3.81,2.28,8.37,13.92,17.2
2024-12-23,-8.98,-3.43,2.66,8.76,14.31,17.58
2024-10-28,-5.64,-0.09,6.0,12.09,17.64,20.92
2024-10-29,-6.83,-1.28,4.82,10.91,16.46,19.73
2024-10-30,-8.19,-2.64,3.46,9.55,15.1,18.37
2024-10-31,-10.67,-5.12,0.98,7.07,12.62,15.89
2024-11-01,-11.36,-5.82,0.28,6.37,11.92,15.19
2024-11-04,-10.32,-4.77,1.32,7.41,12.96,16.24
2024-11-05,-10.1,-4.55,1.54,7.63,13.18,16.46
2024-11-06,-12.26,-6.71,-0.62,5.48,11.02,14.3
2024-11-07,-12.8,-7.25,-1.16,4.93,10.48,13.76
2024-11-08,-11.28,-5.74,0.36,6.45,12.0,15.27
2024-11-11,-11.49,-5.94,0.16,6.25,11.8,15.07
2024-11-12,-8.58,-3.03,3.06,9.15,14.7,17.98
2024-11-13,-6.24,-0.7,5.4,11.49,17.04,20.31
2024-11-14,-6.31,-0.76,5.33,11.43,16.98,20.25
2024-11-18,-6.51,-0.96,5.13,11.23,16.78,20.05
2024-11-19,-7.87,-2.32,3.77,9.86,15.41,18.69
2024-11-20,-7.77,-2.23,3.87,9.96,15.51,18.78
2024-11-21,-7.27,-1.73,4.37,10.46,16.01,19.28
2024-11-22,-7.89,-2.35,3.75,9.84,15.39,18.66
2024-11-25,-8.07,-2.52,3.57,9.66,15.21,18.49
2024-11-26,-9.98,-4.43,1.66,7.76,13.3,16.58
2024-11-27,-11.01,-5.46,0.63,6.73,12.28,15.55
2024-11-28,-11.06,-5.51,0.59,6.68,12.23,15.5
2024-11-29,-11.44,-5.89,0.2,6.3,11.84,15.12
2024-12-02,-14.86,-9.31,-3.22,2.88,8.42,11.7
2024-12-03,-16.01,-10.46,-4.37,1.73,7.27,10.55
