Model,Split,Train_Period,Test_Period,Test_Observations,Rank_IC
V3.2_Frozen_Control,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,-0.0022
V3.2_Frozen_Control,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,-0.2581
V3.2_Frozen_Control,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.1
V3.2_Frozen_Control,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,-0.3277
V3.2_Frozen_Control,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,0.1982
Ridge_L2,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.2008
Ridge_L2,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.4314
Ridge_L2,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.3258
Ridge_L2,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.1322
Ridge_L2,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.2221
ElasticNet,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.2071
ElasticNet,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.4344
ElasticNet,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.3271
ElasticNet,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.1012
ElasticNet,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.2275
Logistic_Classifier,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.1595
Logistic_Classifier,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.4057
Logistic_Classifier,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.3814
Logistic_Classifier,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.2552
Logistic_Classifier,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.1378
Huber_Regressor,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.154
Huber_Regressor,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.4082
Huber_Regressor,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.3386
Huber_Regressor,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.1511
Huber_Regressor,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.2113
Quantile_Median,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.154
Quantile_Median,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.4082
Quantile_Median,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,-0.3386
Quantile_Median,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.1511
Quantile_Median,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.2113
Random_Forest,1,2024-03-18 to 2024-06-13,2024-07-11 to 2024-10-08,3072,0.2241
Random_Forest,2,2024-03-18 to 2024-09-10,2024-10-08 to 2025-01-06,3072,0.2411
Random_Forest,3,2024-03-18 to 2024-12-09,2025-01-06 to 2025-04-08,3072,0.0181
Random_Forest,4,2024-03-18 to 2025-03-07,2025-04-08 to 2025-07-10,3072,0.3055
Random_Forest,5,2024-03-18 to 2025-06-12,2025-07-10 to 2026-07-24,2355,-0.3666
