date,industry,sector_strength
2024-10-28,Automobile and Auto Components,10.29
2024-10-28,Capital Goods,23.03625
2024-10-28,Chemicals,19.96
2024-10-28,Construction,14.445
2024-10-28,Construction Materials,18.44
2024-10-28,Consumer Durables,26.543333333333333
2024-10-28,Consumer Services,17.676666666666666
2024-10-28,Diversified Commercial,25.0
2024-10-28,Fast Moving Consumer Goods,16.566666666666666
2024-10-28,Financial Services,27.623333333333335
2024-10-28,Forest Materials,10.6
2024-10-28,Healthcare,34.992000000000004
2024-10-28,Information Technology,26.65
2024-10-28,Media,16.88
2024-10-28,Metals & Mining,21.808
2024-10-28,Oil Gas & Consumable Fuels,10.34
2024-10-28,Power,12.856666666666667
2024-10-28,Realty,19.72
2024-10-28,Services,19.68
2024-10-28,Telecommunication,22.48
2024-10-28,Textiles,15.8
2024-10-29,Automobile and Auto Components,10.8375
2024-10-29,Capital Goods,20.8975
2024-10-29,Chemicals,19.205
2024-10-29,Construction,15.629999999999999
2024-10-29,Construction Materials,19.7375
2024-10-29,Consumer Durables,31.776666666666667
2024-10-29,Consumer Services,19.508333333333333
2024-10-29,Diversified Commercial,22.5
2024-10-29,Fast Moving Consumer Goods,21.496666666666666
2024-10-29,Financial Services,29.376666666666665
2024-10-29,Forest Materials,15.65
2024-10-29,Healthcare,34.416000000000004
2024-10-29,Information Technology,26.15
2024-10-29,Media,13.26
2024-10-29,Metals & Mining,24.236
2024-10-29,Oil Gas & Consumable Fuels,7.025
2024-10-29,Power,11.94
2024-10-29,Realty,24.32
2024-10-29,Services,18.44666666666667
2024-10-29,Telecommunication,18.985
2024-10-29,Textiles,12.355
2024-10-30,Automobile and Auto Components,14.4375
2024-10-30,Capital Goods,27.8475
2024-10-30,Chemicals,22.202499999999997
2024-10-30,Construction,19.3
2024-10-30,Construction Materials,20.4975
2024-10-30,Consumer Durables,32.78333333333333
2024-10-30,Consumer Services,23.258333333333336
2024-10-30,Diversified Commercial,26.28
2024-10-30,Fast Moving Consumer Goods,24.021666666666665
2024-10-30,Financial Services,35.90833333333333
