Date,Rolling_Rank_IC,Rolling_Spread
2024-12-10,-0.2717,-4.22
2024-12-11,-0.3154,-4.96
2024-12-12,-0.3571,-5.56
2024-12-13,-0.3978,-6.43
2024-12-16,-0.436,-7.36
2024-12-17,-0.476,-8.61
2024-12-18,-0.4992,-9.37
2024-12-19,-0.5085,-9.6
2024-12-20,-0.5186,-9.84
2024-12-23,-0.5188,-9.86
2024-12-24,-0.5101,-9.86
2024-12-25,-0.4897,-9.45
2024-12-26,-0.4569,-8.94
2024-12-27,-0.4071,-7.73
2024-12-30,-0.3545,-6.74
2024-12-31,-0.2873,-5.37
2025-01-01,-0.2166,-4.04
2025-01-02,-0.1666,-3.14
2025-01-03,-0.1157,-2.19
2025-01-06,-0.0745,-1.28
2025-01-07,-0.0912,-2.02
2025-01-08,-0.0624,-1.58
2025-01-09,-0.0562,-1.49
2025-01-10,-0.0563,-1.53
2025-01-13,-0.0753,-1.56
2025-01-14,-0.128,-2.3
2025-01-15,-0.1411,-2.22
2025-01-16,-0.1516,-2.03
2025-01-17,-0.1559,-1.61
2025-01-20,-0.1484,-1.09
2025-01-21,-0.1301,-0.89
2025-01-22,-0.1195,-0.98
2025-01-23,-0.1176,-1.2
2025-01-24,-0.1216,-1.27
2025-01-27,-0.112,-1.1
2025-01-28,-0.0947,-1.03
2025-01-29,-0.097,-1.4
2025-01-30,-0.0703,-1.14
2025-01-31,-0.0384,-0.6
2025-02-03,-0.0192,-0.24
2025-02-04,-0.0241,-0.18
2025-02-05,-0.0236,-0.17
2025-02-06,-0.0214,0.03
2025-02-07,-0.0295,-0.04
2025-02-10,-0.0252,0.18
2025-02-11,-0.0074,0.43
2025-02-12,0.0178,0.74
2025-02-13,0.0426,0.94
2025-02-14,0.0773,1.77
2025-02-17,0.0789,2.0
2025-02-18,0.0032,0.33
2025-02-19,-0.0379,-0.71
2025-02-20,-0.0603,-1.14
2025-02-21,-0.0768,-1.05
2025-02-24,-0.0877,-1.3
2025-02-25,-0.0875,-1.24
2025-02-27,-0.089,-1.31
2025-02-28,-0.1034,-1.71
2025-03-03,-0.1099,-1.93
2025-03-04,-0.1215,-2.24
2025-03-05,-0.1131,-1.84
2025-03-06,-0.0926,-1.49
2025-03-07,-0.0776,-0.99
2025-03-10,-0.0622,-0.75
2025-03-11,-0.0646,-1.03
2025-03-12,-0.0604,-1.02
2025-03-13,-0.0548,-1.09
2025-03-17,-0.0583,-1.15
2025-03-18,-0.0656,-1.4
2025-03-19,-0.041,-0.89
2025-03-20,-0.0059,-0.18
2025-03-21,0.03,0.78
2025-03-24,0.0722,1.52
2025-03-25,0.0851,1.8
2025-03-26,0.1161,2.31
2025-03-27,0.1464,2.63
2025-03-28,0.142,2.5
2025-04-01,0.1472,2.5
2025-04-02,0.1307,2.02
2025-04-03,0.0794,1.25
2025-04-04,0.0317,0.45
2025-04-07,0.0152,0.22
2025-04-08,0.0011,0.08
2025-04-09,-0.0157,-0.08
2025-04-11,-0.037,-0.33
2025-04-15,-0.0495,-0.4
2025-04-16,-0.0582,-0.45
2025-04-17,-0.067,-0.89
2025-04-21,-0.0497,-0.74
2025-04-22,-0.0357,-0.4
2025-04-23,-0.0222,-0.26
2025-04-24,-0.0555,-1.0
2025-04-25,-0.114,-2.13
2025-04-28,-0.1517,-2.73
2025-04-29,-0.1851,-3.43
2025-04-30,-0.1941,-3.5
2025-05-02,-0.1754,-3.18
2025-05-05,-0.1399,-2.62
2025-05-06,-0.0896,-1.78
2025-05-07,-0.0745,-1.36
2025-05-08,-0.0728,-1.19
2025-05-09,-0.079,-1.3
2025-05-12,-0.0919,-1.49
2025-05-13,-0.0779,-1.09
2025-05-14,-0.077,-1.04
2025-05-15,-0.0867,-1.08
2025-05-16,-0.1206,-1.56
2025-05-19,-0.1684,-2.03
2025-05-20,-0.2252,-2.93
2025-05-21,-0.2764,-3.43
2025-05-22,-0.3222,-3.97
2025-05-23,-0.3808,-4.8
2025-05-26,-0.4257,-5.63
2025-05-27,-0.4478,-6.2
2025-05-28,-0.4447,-6.17
2025-05-29,-0.4442,-6.45
2025-05-30,-0.4537,-6.68
2025-06-02,-0.4593,-6.77
2025-06-03,-0.4589,-6.73
2025-06-04,-0.4644,-6.91
2025-06-05,-0.4683,-7.01
2025-06-06,-0.4751,-7.09
2025-06-09,-0.4803,-7.29
2025-06-10,-0.4785,-7.42
2025-06-11,-0.4742,-7.52
2025-06-12,-0.4683,-7.71
2025-06-13,-0.4417,-7.35
2025-06-16,-0.4086,-6.61
2025-06-17,-0.3737,-6.26
2025-06-18,-0.3296,-5.28
