Model,Rank_IC,IC,IC_IR,MAE,Directional_Accuracy,Top_Decile_Return,Bottom_Decile_Return,Top_Bottom_Spread,Sharpe,Model_Quality_Score,Status
Existing_Deterministic_V1,0.0991,0.1059,0.03,6.81,58.43,-4.18,-6.71,2.53,-0.53,60.8,CHAMPION
V2_OPTIMIZED_ENSEMBLE,-0.0832,-0.0462,-0.06,6.81,65.72,-3.23,-1.26,-1.98,-0.41,0.0,BENCHMARK
Logistic,-0.1147,-0.074,-0.06,6.74,64.68,-2.32,-3.72,1.4,-0.3,4.2,BENCHMARK
LambdaRank_Fast,-0.1484,-0.1183,-0.05,8.55,36.96,-2.66,-2.88,0.22,-0.34,0.0,BENCHMARK
Pairwise_Rank_Regressor,-0.1493,-0.1049,-0.07,8.13,36.81,-2.5,-3.57,1.07,-0.32,0.0,BENCHMARK
XGBoost,-0.2518,-0.1573,-0.07,7.48,62.65,-3.49,-1.19,-2.3,-0.45,0.0,BENCHMARK
CatBoost_Tree,-0.253,-0.1297,-0.06,7.55,64.86,-3.71,-3.15,-0.56,-0.47,0.0,BENCHMARK
LightGBM,-0.2751,-0.1735,-0.07,7.45,64.4,-3.84,-0.96,-2.87,-0.49,0.0,BENCHMARK
RandomForest,-0.2778,-0.1329,-0.07,7.46,63.88,-3.63,-2.2,-1.43,-0.46,0.0,BENCHMARK
Huber_Regression,-0.2857,-0.2313,-0.1,7.15,68.83,-2.02,0.31,-2.33,-0.26,0.0,BENCHMARK
Quantile_Regressor_P50,-0.2935,-0.1792,-0.09,7.23,67.65,-4.06,-0.43,-3.63,-0.52,0.0,BENCHMARK
Ridge,-0.2972,-0.2372,-0.11,7.17,67.51,-2.21,0.16,-2.37,-0.28,0.0,BENCHMARK
Huber_Loss_Boosting,-0.3008,-0.2088,-0.09,7.35,65.08,-4.53,-0.47,-4.06,-0.58,0.0,BENCHMARK
ExtraTrees,-0.3701,-0.1861,-0.12,7.17,69.01,-3.43,0.87,-4.29,-0.44,0.0,BENCHMARK
ElasticNet,-0.4065,-0.3077,-0.23,6.77,74.38,-1.1,2.03,-3.13,-0.14,0.0,BENCHMARK
