Horizon,Threshold,Probability_Bucket,Mean_Predicted_Prob,Observed_Hit_Rate,Sample_Count,Brier_Error
20D,>+0%,0-20%,12.4,26.7,4621,14.4
20D,>+0%,20-40%,28.8,30.8,2861,2.1
20D,>+0%,40-60%,49.6,27.0,1893,22.7
20D,>+0%,60-80%,69.7,21.2,1676,48.4
20D,>+0%,80-100%,85.6,20.0,661,65.6
20D,>+5%,0-20%,8.1,10.6,7697,2.5
20D,>+5%,20-40%,28.8,6.5,2234,22.3
20D,>+5%,40-60%,48.8,5.3,1222,43.5
20D,>+5%,60-80%,67.7,8.1,507,59.6
20D,>+5%,80-100%,84.2,21.2,52,63.1
20D,>+10%,0-20%,5.6,2.3,10120,3.3
20D,>+10%,20-40%,27.7,2.0,1263,25.7
20D,>+10%,40-60%,47.1,6.1,293,41.0
20D,>+10%,60-80%,67.8,13.9,36,54.0
20D,>+20%,0-20%,1.9,0.4,11694,1.5
20D,>+20%,20-40%,23.5,5.6,18,17.9
