industry,sample_count,v32_accuracy,v34_accuracy,acc_delta,v32_mae,v34_mae,mae_delta,v34_rank_ic
API & CDMO / CRAMS,224,50.89,51.79,0.89,5.8,4.98,0.82,0.1535
Aerospace & Defence,224,46.88,52.23,5.36,10.35,9.14,1.22,0.0498
Affordable Housing Finance Company,224,41.52,48.21,6.7,10.2,7.92,2.28,-0.101
Agrochemicals & Pesticides,224,58.93,54.46,-4.46,12.58,11.56,1.03,-0.1298
Air Conditioners & AC Components,468,49.79,49.15,-0.64,10.75,8.88,1.87,-0.0547
Air Conditioners & Appliances,224,54.46,60.71,6.25,7.42,6.3,1.12,0.1234
Aluminium & Mining,224,55.36,53.12,-2.23,7.59,6.69,0.9,-0.0402
Asset Management & Wealth,16,37.5,37.5,0.0,4.88,4.4,0.48,-0.3324
Asset Management Company (AMC),224,61.16,61.61,0.45,10.37,9.85,0.52,0.2591
Auto Glass,224,48.21,50.89,2.68,10.97,8.04,2.92,-0.2719
Auto Lighting,224,55.8,59.38,3.57,8.97,7.09,1.87,0.2673
Auto Parts & Equipment,224,50.89,60.27,9.38,6.34,5.18,1.16,0.0143
Automobile OEMs,224,57.14,54.91,-2.23,4.76,3.51,1.25,0.189
Automobile and Auto Components,224,50.45,48.66,-1.79,8.35,7.35,1.0,-0.0566
Banks,224,51.34,53.12,1.79,6.96,5.69,1.27,-0.1454
Batteries,468,55.13,55.77,0.64,9.34,8.1,1.24,0.123
Batteries & Energy Storage,224,54.91,42.41,-12.5,7.61,5.82,1.79,-0.1194
Bearings & Friction Solutions,224,54.02,58.48,4.46,7.24,6.26,0.98,-0.0276
Breweries & Distilleries,224,44.64,56.7,12.05,6.83,5.51,1.32,-0.1358
Capital Goods,224,42.41,62.05,19.64,7.66,6.47,1.19,-0.1595
Capital Markets & Asset Management,224,61.61,55.36,-6.25,8.72,8.6,0.12,0.2963
Cement,224,50.89,58.04,7.14,8.24,7.06,1.18,0.0062
Cement & Clinker,224,48.66,53.57,4.91,7.92,6.13,1.79,-0.0924
Ceramics & Tiles,224,67.41,64.73,-2.68,7.31,7.23,0.07,0.2018
Chemicals,224,53.12,59.82,6.7,6.53,4.9,1.63,0.1804
Civil Buildings & Commercial EPC,224,58.48,60.27,1.79,11.54,11.13,0.41,0.0346
Civil Construction & Infrastructure,224,66.52,83.04,16.52,8.44,7.83,0.62,0.0369
Civil Construction & Infrastructure EPC,224,56.25,68.75,12.5,9.33,7.84,1.48,-0.019
Commodity Chemicals,224,60.27,78.57,18.3,6.06,5.28,0.78,-0.0028
Construction,224,45.09,52.68,7.59,10.63,8.71,1.92,0.0632
Construction Materials,224,44.64,50.0,5.36,8.51,5.65,2.86,-0.0097
Consumer Durables,224,58.48,75.0,16.52,5.82,5.2,0.62,0.1435
Consumer Services,224,48.66,68.75,20.09,7.43,5.73,1.7,-0.0017
Copper & Non-Ferrous Metals,224,50.0,51.34,1.34,15.81,14.55,1.26,0.0365
Copper Mining,224,55.36,58.48,3.12,18.54,16.9,1.65,0.1065
Dairy Products,224,56.7,56.25,-0.45,7.33,6.08,1.25,0.1152
Data Centers & Real Estate,224,43.3,43.3,0.0,14.23,12.17,2.06,-0.3005
Diagnostic & Healthcare Laboratories,224,52.23,55.36,3.12,11.79,9.56,2.23,-0.112
Diversified & Fashion Retail,224,66.07,71.43,5.36,5.54,5.06,0.48,0.0657
Diversified Commercial,224,60.27,79.02,18.75,5.72,5.03,0.68,0.0779
Diversified Retail,224,71.43,79.46,8.04,8.3,7.84,0.46,0.052
Edible Oils,224,41.52,39.29,-2.23,13.09,11.48,1.6,-0.1584
Electronic Manufacturing Services (EMS),712,51.83,50.56,-1.26,12.72,11.88,0.84,-0.0559
Explosives & Defence Chemicals,224,50.45,48.66,-1.79,15.0,13.95,1.05,0.0212
Fast Moving Consumer Goods,224,50.0,59.82,9.82,7.33,6.08,1.25,0.1497
Fertilizers,224,50.89,51.34,0.45,8.23,6.46,1.77,-0.0745
Fertilizers & Agrochemicals,224,57.14,65.18,8.04,8.64,7.06,1.58,0.1908
Financial Services,224,54.91,58.93,4.02,6.78,5.57,1.21,-0.1123
Footwear,224,62.5,52.23,-10.27,12.57,13.13,-0.56,0.0816
Gas Distribution,224,56.7,55.36,-1.34,7.42,5.35,2.07,0.1197
Gas Transmission & Distribution,224,45.98,52.68,6.7,6.27,5.07,1.2,-0.1405
Healthcare,224,41.52,61.61,20.09,6.69,5.19,1.51,-0.0013
Heavy Electrical Equipment,224,59.38,66.52,7.14,21.9,20.53,1.37,0.2251
Hospitals & Diagnostic Centres,224,41.96,58.48,16.52,4.48,3.64,0.84,-0.0313
Hospitals & Healthcare Services,224,63.84,65.62,1.79,10.68,9.99,0.69,-0.1481
Hotels & Restaurants,224,48.21,79.91,31.7,7.39,5.36,2.04,0.0028
"Hotels, Resorts & QSR",224,41.96,61.16,19.2,7.94,6.17,1.77,-0.1259
Housing & Urban Infrastructure Financing,224,50.89,47.32,-3.57,10.63,8.83,1.8,-0.0364
IT Consulting & Software,224,55.8,63.84,8.04,8.27,7.83,0.44,-0.0965
Information Technology,224,50.45,63.84,13.39,7.61,6.37,1.24,0.0001
Insurance,224,59.38,66.52,7.14,5.52,4.21,1.31,0.3484
Internet & Digital Platforms,224,52.68,63.39,10.71,7.38,6.48,0.9,-0.1082
Iron & Steel,224,47.32,55.36,8.04,6.95,5.98,0.97,-0.1116
Logistics & Transportation,224,61.61,75.45,13.84,7.98,7.26,0.72,0.1646
"Logistics, Ports & Supply Chain",224,67.41,77.68,10.27,6.23,5.76,0.47,0.1642
Lubricants & Specialty Oils,224,45.54,57.14,11.61,6.0,4.89,1.12,-0.0232
Media & Entertainment,224,59.82,77.23,17.41,7.31,6.37,0.94,0.0761
Media Entertainment & Publication,224,50.89,51.79,0.89,11.0,9.97,1.02,0.0739
Metals & Mining,224,36.16,50.89,14.73,9.63,7.86,1.77,-0.1429
Microfinance NBFC,224,49.11,47.32,-1.79,14.72,13.05,1.67,-0.1255
Mining & Mineral Products,224,53.12,62.5,9.38,5.52,4.35,1.17,0.0278
Non Banking Financial Company (NBFC),224,66.07,75.45,9.38,5.37,4.7,0.66,-0.0012
Oil Exploration & Refining,224,65.18,70.09,4.91,5.79,4.67,1.12,0.1233
Oil Gas & Consumable Fuels,75,32.0,42.67,10.67,15.25,10.47,4.78,-0.3297
Packaged Foods & Consumer Staples,224,58.93,75.0,16.07,6.64,5.66,0.98,0.0679
Packaged Foods & FMCG Staples,224,64.29,72.77,8.48,4.35,3.21,1.13,0.1811
Packaging & Containers,224,37.5,41.07,3.57,7.31,4.72,2.59,-0.0534
Packaging Materials & Containers,224,49.11,60.27,11.16,7.63,6.54,1.09,-0.1159
Paints,224,59.82,60.71,0.89,4.74,3.9,0.84,0.0616
Paints & Coatings,224,41.96,45.09,3.12,11.59,9.99,1.61,0.0054
Paper & Paper Products,224,53.12,57.59,4.46,8.94,8.11,0.83,0.0214
Passenger Cars & Utility Vehicles,224,54.46,51.34,-3.12,13.4,13.07,0.34,-0.0235
Pharmaceuticals,224,64.29,81.25,16.96,6.63,5.88,0.75,-0.0548
Pharmaceuticals & Biotechnology,224,52.68,59.82,7.14,5.26,4.8,0.46,-0.149
Pipes & Tubes,224,64.29,82.59,18.3,7.18,6.42,0.76,0.1061
Plastic Pipes & Fittings,224,73.21,61.16,-12.05,7.56,8.09,-0.52,0.0695
Plastic Pipes & Moulded Products,224,59.82,58.93,-0.89,7.83,7.6,0.23,0.106
Plywood & Boards,16,18.75,81.25,62.5,8.39,3.9,4.49,-0.3912
"Plywood, MDF & Laminates",224,66.96,70.98,4.02,7.85,7.28,0.57,0.1677
Power,224,59.38,59.82,0.45,7.54,7.24,0.3,0.0809
Power Generation & Distribution,16,93.75,25.0,-68.75,4.61,5.63,-1.02,-0.55
Power Generation & Utilities,224,65.18,70.09,4.91,5.21,4.33,0.89,0.1556
Power Sector Financing NBFC,224,37.95,37.5,-0.45,8.91,6.29,2.62,-0.2653
Project Management & Civil Construction,224,56.7,55.8,-0.89,9.98,9.45,0.53,0.1337
Pumps & Compressors,224,58.04,70.98,12.95,8.04,7.38,0.66,0.0939
Railway Financing,224,51.79,49.11,-2.68,10.57,8.8,1.76,0.016
Railway Infrastructure,224,57.59,52.68,-4.91,12.24,10.8,1.44,0.0134
Railway Infrastructure & Consulting,224,54.46,49.11,-5.36,10.82,9.43,1.39,0.0369
Railway Telecom,224,56.7,53.57,-3.12,11.87,11.46,0.4,0.0689
Railway Ticketing & Catering,224,52.23,49.11,-3.13,9.3,7.03,2.27,-0.0624
Railway Wagons & Equipment,224,56.25,51.34,-4.91,11.88,11.35,0.53,0.0106
Railways,224,40.18,45.98,5.8,11.6,8.81,2.78,-0.1808
Realty,224,60.27,55.36,-4.91,13.2,13.23,-0.02,0.0144
Renewable Energy,224,69.64,68.75,-0.89,8.36,8.92,-0.56,0.2025
Renewable Energy - Solar & Wind,224,60.27,70.54,10.27,8.46,7.55,0.91,0.1898
Renewable Energy Financing NBFC,224,53.57,54.02,0.45,9.83,9.14,0.69,0.0119
Residential & Commercial Real Estate,224,60.27,65.62,5.36,7.61,7.1,0.51,-0.0066
Roads & Highways EPC,224,53.12,55.36,2.23,11.33,10.07,1.26,0.2399
Rubber Chemicals,224,58.04,50.0,-8.04,8.17,7.04,1.13,-0.0668
Saw Pipes & Ductile Iron Pipes,224,44.64,36.61,-8.04,12.78,11.36,1.42,-0.2518
Services,224,51.79,76.34,24.55,5.89,4.28,1.61,-0.0762
Ship Building & Defence,224,54.02,54.91,0.89,12.31,11.49,0.82,0.1438
