industry,sample_count,v32_accuracy,v34_accuracy,acc_delta,v32_mae,v34_mae,mae_delta,v34_rank_ic
API & CDMO / CRAMS,224,50.89,51.79,0.89,5.8,4.98,0.82,0.1535
Aerospace & Defence,224,46.88,52.23,5.36,10.35,9.14,1.22,0.0498
Affordable Housing Finance Company,224,41.52,48.21,6.7,10.2,7.92,2.28,-0.101
Agrochemicals & Pesticides,224,58.93,54.46,-4.46,12.58,11.56,1.03,-0.1298
Air Conditioners & AC Components,468,49.79,49.15,-0.64,10.75,8.88,1.87,-0.0547
Air Conditioners & Appliances,224,54.46,60.71,6.25,7.42,6.3,1.12,0.1234
Aluminium & Mining,224,55.36,53.12,-2.23,7.59,6.69,0.9,-0.0402
Asset Management & Wealth,16,37.5,37.5,0.0,4.88,4.4,0.48,-0.3324
Asset Management Company (AMC),224,61.16,61.61,0.45,10.37,9.85,0.52,0.2591
Auto Glass,224,48.21,50.89,2.68,10.97,8.04,2.92,-0.2719
Auto Lighting,224,55.8,59.38,3.57,8.97,7.09,1.87,0.2673
Auto Parts & Equipment,224,50.89,60.27,9.38,6.34,5.18,1.16,0.0143
Automobile OEMs,224,57.14,54.91,-2.23,4.76,3.51,1.25,0.189
Automobile and Auto Components,224,50.45,48.66,-1.79,8.35,7.35,1.0,-0.0566
Banks,224,51.34,53.12,1.79,6.96,5.69,1.27,-0.1454
Batteries,468,55.13,55.77,0.64,9.34,8.1,1.24,0.123
Batteries & Energy Storage,224,54.91,42.41,-12.5,7.61,5.82,1.79,-0.1194
Bearings & Friction Solutions,224,54.02,58.48,4.46,7.24,6.26,0.98,-0.0276
Breweries & Distilleries,224,44.64,56.7,12.05,6.83,5.51,1.32,-0.1358
Capital Goods,224,42.41,62.05,19.64,7.66,6.47,1.19,-0.1595
