prediction_id,session_date,prediction_timestamp,cutoff_timestamp,industry,v32_production_benchmark_return,v34_standalone_shadow_return,v34_direction,v34_uncertainty,v34_rank,ta_risk_level,ta_risk_category,ta_event_type,ta_invalidation_flag,ta_confidence,veto_applied,veto_reason,final_shadow_status,final_shadow_signal,manifest_hash,feature_snapshot_hash,ta_evidence_hash,matured_1D_outcome,matured_5D_outcome,matured_20D_outcome,matured_60D_outcome
pred_v56_2c8d1963e66d4324,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Hospitals & Diagnostic Centres,-0.49,-3.1729,0,7.5,1,NORMAL,NONE,NONE,0,58.5,0,NONE,KEEP,-3.1729,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,104121321ff237aa40ee6b8a6cfa20f49babc0730b2cf031d843ce8748404f2a,156158aa2aadef6623bf127c612041e0af6ab4de3b5af1363d596a80748f5570,,,,
pred_v56_fced2c8759164538,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Rubber Chemicals,-7.88,-0.2579,0,7.5,2,WATCH,ELEVATED_VOLATILITY,NONE,0,30.9,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.129,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,77156655948f5c01b47105b56accd6aae00675c1ea5886e2bf02f41cbf19bde3,afa8a904ae1e2564a4444b0edd9a710022419458a824939f4ef8c6c6818f8258,,,,
pred_v56_6b77a2a062fbf5c1,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Steel Manufacturing & Mining,3.7,0.7357,1,7.5,3,NORMAL,NONE,NONE,0,66.6,0,NONE,KEEP,0.7357,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,4acec6488da206dfbc1c73846675263dbee53676d784ae5eee237c11d80f2fa3,1740d238335d7f73ce91f97c04fc9f134f132cae94bbe5c4385c4355ed6635b0,,,,
pred_v56_f7ed1dae7981c782,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Diversified Retail,-5.04,-1.8009,0,7.5,4,NORMAL,NONE,NONE,0,39.5,0,NONE,KEEP,-1.8009,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,763709e11415a5068e69d127038ba567fde79524ec845cd04e2cd0ad7316843d,57fbdc25d0e414f03a563583a8fd3273a25efcb80f31dc98c7ff03556376e643,,,,
pred_v56_ba41993d14a0a7a4,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Pipes & Tubes,-4.11,-2.8892,0,7.5,5,NORMAL,NONE,NONE,0,47.5,0,NONE,KEEP,-2.8892,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,89b472b1e22f38e77b0bea4ab0a0513674f76bf0ba1cf25e53e34d8dfe619fba,a96e238e8fd37528381536381147d738af4cd72e35b3f5e9757962f9212386f8,,,,
pred_v56_5650ffea23575b38,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Gas Transmission & Distribution,-9.95,-0.4254,0,7.5,6,WATCH,ELEVATED_VOLATILITY,NONE,0,26.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.2127,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,c90adad7c6864949d77bbbffe8cb3e91a7319a3ec45ab8ef49835f8b6c5df14e,e3b05c5e46c1cda74ee38ad132dae4095a0718a86f639557a77b53525701b6d7,,,,
pred_v56_7ef26ff28cd76ec2,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Healthcare,-5.03,-1.9483,0,7.5,7,NORMAL,NONE,NONE,0,47.6,0,NONE,KEEP,-1.9483,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,b03dff49bf6be8e4a639f1bb753640fdeeccb8cd450b6bb73f5d5f7c32c564a0,42ee199c44a3bd4f63ec93be8c8bbac7128fae0c72a63582bc2d600e4c405e36,,,,
pred_v56_22f925589ab3c7d9,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Paints,-7.55,-1.9227,0,7.5,8,WATCH,ELEVATED_VOLATILITY,NONE,0,36.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.9614,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,9aa1348281283a2b7a16fd4dec23f0f48a58e4cfbb88cdea600f585dbbc4fa17,dd46fb084c044d43cee2a645e4fb2068db4dde536f98a0be80b0dc8d905be53e,,,,
pred_v56_83147c5b05302a81,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Transformers & T&D Equipment,1.58,-1.8243,0,7.5,9,NORMAL,NONE,NONE,0,58.8,0,NONE,KEEP,-1.8243,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,76d221945c9e16babeb0760384a9442029d39a839f0f604631449dd7e01d2121,6156ccc0837da5b9516c574e838fb32d7a818633058447a9aa5e3c8a7ed8218b,,,,
pred_v56_9fd7ca4099136968,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Water & Wastewater Treatment,-8.99,-8.99,0,7.5,10,WATCH,ELEVATED_VOLATILITY,NONE,0,26.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-4.495,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,4dfa492118b06c5579af8eb7e803ac58009f7d38a8c968403a5080a65fc0e34e,36eaa76b08b247d02277883cf6b1874b43dfe0f88a2066d822800f23a6ffed56,,,,
pred_v56_d4bee91854607e22,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Aluminium & Mining,-3.25,-2.2486,0,7.5,11,NORMAL,NONE,NONE,0,43.0,0,NONE,KEEP,-2.2486,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,bbe842fa2b17d851383a3a4f900d68985bc2e5d7b436fe731e8b5088ee9dd7fd,a2d9c015f655f93ba272dbda98aff5d21c6f43f8cb8b805335435573d076698b,,,,
pred_v56_be368f1ebef2675c,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Railway Infrastructure & Consulting,-9.86,-1.0354,0,7.5,12,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5177,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,91b6d30802a04568ca658c6b00caa29883835a1594cf857f1122e42f6e7383be,d82ee802665b2bcb2d9c902c3c151a414d3772f2198cbc09bae5d4e46dbc77ce,,,,
pred_v56_67c7f2228527d635,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Wires & Cables,-0.36,-2.3215,0,7.5,13,NORMAL,NONE,NONE,0,56.4,0,NONE,KEEP,-2.3215,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,8a48a20d8657365bda5dd5ecb646b8db635542115fa29284a654379e804b3883,e52ea845a56d68b757489d27fe18179dad545d98d3f3e6f2c768b0d9ffced5f2,,,,
pred_v56_1aa85ff727c4c3d5,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Packaging & Containers,0.13,-2.4322,0,7.5,14,NORMAL,NONE,NONE,0,40.8,0,NONE,KEEP,-2.4322,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,516746625a43fcfba7e6cc87ee6fa9b1d6c6c508881f5e2a363e9aa07e23bb81,79eb52d01d45f244dec221c39821af9539261d5b75c86c0fc33ed7fb5843b741,,,,
pred_v56_2818cb4557f9957b,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Pumps & Compressors,-0.06,-2.6422,0,7.5,15,NORMAL,NONE,NONE,0,46.5,0,NONE,KEEP,-2.6422,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,1a65be53f43c1ac4d3a68215b1a40b63054c50b31980f17fef74945ed0058d41,5da95a1a854c89a3924ebcfc718a6ca4a775c5ed67a9e30483dabb3722066713,,,,
pred_v56_8dcd11ad2ddb6946,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Hospitals & Healthcare Services,8.39,3.6083,1,7.5,16,NORMAL,NONE,NONE,0,44.3,0,NONE,KEEP,3.6083,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,9f9e6db20a8e9f86b49097115574ffef08a238c9c0a88892eac73557916f32d2,4696c69c35a966b1c7697b9ea47a099e40057b8340a7fb9728c17a3d72cc0a8c,,,,
pred_v56_d9177d36c25099c5,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Power Sector Financing NBFC,-7.31,-0.1469,0,7.5,17,WATCH,ELEVATED_VOLATILITY,NONE,0,27.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.0735,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,bc1740117c9196106e32fcef3e6dd605f6538d612fcc9e279c8c2e8149863477,b5fe30661e23acf187efafb479a2f5267d7dd4a8d4d353db6095c726d104d49d,,,,
pred_v56_b6b0778b2a21a4ff,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Diversified & Fashion Retail,-10.24,-1.1417,0,7.5,18,WATCH,ELEVATED_VOLATILITY,NONE,0,31.8,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5708,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,0301b343685c32140d1d4eda1a5e2cb14da4d2f5c05770787d92420451023f81,0f18997ade271b892334d1095efa3965d87e5a2c785c6c2f3136e443240a376d,,,,
pred_v56_ef2e8e0922223e72,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Plastic Pipes & Fittings,-3.91,-0.0338,0,7.5,19,NORMAL,NONE,NONE,0,40.8,0,NONE,KEEP,-0.0338,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,51d44f6ba12b3f2e6931c9103de1c526243ee0510ed39155f0ed877bb88de02f,16e54c1f42dd0cceffb3d2c897775853cc2529f21f7adc7af781385c3e795751,,,,
