prediction_id,date,industry,actual_1D_return,actual_5D_return,actual_20D_return,actual_60D_return,actual_price_20D,max_favorable_movement,max_adverse_movement
PRED_V60_541cb86c8754,2024-10-25,Hospitals & Diagnostic Centres,-1.1411,4.13,4.07,-1.83,1393.5,4.13,-1.14
PRED_V60_abc9d1924e7c,2024-10-25,Rubber Chemicals,-3.4087,7.82,-0.08,-10.13,1297.96,7.82,-3.41
PRED_V60_10abda2ee175,2024-10-25,Steel Manufacturing & Mining,-2.7318,3.36,-2.15,4.67,1369.9,3.36,-2.73
PRED_V60_77ce642a8c48,2024-10-25,Diversified Retail,-3.7057,3.6,-8.01,-16.38,1242.78,3.6,-8.01
PRED_V60_f779b32e7fa8,2024-10-25,Pipes & Tubes,-2.1927,8.05,-0.05,-15.8,1113.44,8.05,-2.19
PRED_V60_d18577d2ebfd,2024-10-25,Gas Transmission & Distribution,-2.698,0.26,-10.78,-7.9,1096.51,0.26,-10.78
PRED_V60_2c9acb0cc169,2024-10-25,Healthcare,-2.3741,10.49,4.09,-0.52,1079.41,10.49,-2.37
PRED_V60_f063fe7f1c40,2024-10-25,Paints,-0.574,1.93,-8.35,-18.26,1227.19,1.93,-8.35
PRED_V60_bf029c5a9d6c,2024-10-25,Transformers & T&D Equipment,-1.8727,6.68,2.21,-13.69,1392.1,6.68,-1.87
PRED_V60_a2d22dfc8e42,2024-10-25,Water & Wastewater Treatment,-4.0041,1.77,6.16,28.5,1277.1,6.16,-4.0
PRED_V60_378b8c2afde6,2024-10-25,Aluminium & Mining,-2.7111,3.67,-3.61,-14.17,1434.28,3.67,-3.61
PRED_V60_fa07ede80f32,2024-10-25,Railway Infrastructure & Consulting,-4.4039,8.64,5.65,0.52,1116.72,8.64,-4.4
PRED_V60_50f4e0682084,2024-10-25,Wires & Cables,-2.2895,5.9,-1.56,-12.8,1238.38,5.9,-2.29
PRED_V60_4cc0ba28ff8a,2024-10-25,Packaging & Containers,0.4359,1.95,-1.2,4.37,1173.74,1.95,-1.2
PRED_V60_585b107b1bba,2024-10-25,Pumps & Compressors,-1.574,9.82,4.57,-12.43,1191.05,9.82,-1.57
PRED_V60_a331837ff38a,2024-10-25,Hospitals & Healthcare Services,1.1952,-0.79,-2.0,10.98,1187.76,1.2,-2.0
PRED_V60_a71bafa9616a,2024-10-25,Power Sector Financing NBFC,-3.3105,4.87,10.3,1.63,1504.49,10.3,-3.31
PRED_V60_5501412e7ce8,2024-10-25,Diversified & Fashion Retail,-1.3353,1.94,-5.48,-16.56,1069.02,1.94,-5.48
PRED_V60_66df2870faeb,2024-10-25,Plastic Pipes & Fittings,-2.1877,1.74,-6.64,-20.58,1062.44,1.74,-6.64
PRED_V60_957bbc31368b,2024-10-25,Residential & Commercial Real Estate,-1.9681,4.23,-0.5,-6.29,1035.8,4.23,-1.97
PRED_V60_731c6853f3c9,2024-10-25,Ceramics & Tiles,-2.2895,4.32,-3.12,-15.27,1351.48,4.32,-3.12
