sample_index,prediction_id,prediction_date,prediction_timestamp,latest_allowed_source_timestamp,industry,v34_predicted_return,actual_20D_return,lookahead_detected,pit_compliance
10990,PRED_V60_95218ee1f152,2025-02-18,2025-02-18T08:30:00,2025-02-18T08:30:00,Tea & Coffee,-1.3298,-2.77,False,VERIFIED_CLEAN
26786,PRED_V60_fa78d5d2f6db,2025-08-11,2025-08-11T08:30:00,2025-08-11T08:30:00,Air Conditioners & AC Components,-2.6336,10.84,False,VERIFIED_CLEAN
14742,PRED_V60_5d39d5117144,2025-04-02,2025-04-02T08:30:00,2025-04-02T08:30:00,"Plywood, MDF & Laminates",-2.1873,-4.44,False,VERIFIED_CLEAN
22672,PRED_V60_52de49133e4f,2025-06-27,2025-06-27T08:30:00,2025-06-27T08:30:00,Realty,3.1304,-7.54,False,VERIFIED_CLEAN
5623,PRED_V60_3bdbc626b6e2,2024-12-24,2024-12-24T08:30:00,2024-12-24T08:30:00,Data Centers & Real Estate,1.5837,6.43,False,VERIFIED_CLEAN
3780,PRED_V60_d0e7002ff156,2024-12-05,2024-12-05T08:30:00,2024-12-05T08:30:00,Plastic Pipes & Moulded Products,-0.9295,-2.11,False,VERIFIED_CLEAN
26747,PRED_V60_4424364793fc,2025-08-08,2025-08-08T08:30:00,2025-08-08T08:30:00,Pumps & Compressors,-2.2449,-2.67,False,VERIFIED_CLEAN
26986,PRED_V60_642f9dca81c9,2025-08-12,2025-08-12T08:30:00,2025-08-12T08:30:00,"Textiles, Yarns & Apparel",-0.333,-7.86,False,VERIFIED_CLEAN
15852,PRED_V60_46b650c86224,2025-04-16,2025-04-16T08:30:00,2025-04-16T08:30:00,Railway Ticketing & Catering,2.8065,6.61,False,VERIFIED_CLEAN
14642,PRED_V60_6887f2812209,2025-04-01,2025-04-01T08:30:00,2025-04-01T08:30:00,Wealth & Asset Management,2.1154,7.12,False,VERIFIED_CLEAN
23307,PRED_V60_dc6f313a1fd4,2025-07-04,2025-07-04T08:30:00,2025-07-04T08:30:00,Consumer Services,-2.8046,-0.83,False,VERIFIED_CLEAN
26438,PRED_V60_1ad151815af9,2025-08-06,2025-08-06T08:30:00,2025-08-06T08:30:00,Hospitals & Diagnostic Centres,-2.9887,-2.66,False,VERIFIED_CLEAN
3108,PRED_V60_f5893cab2086,2024-11-28,2024-11-28T08:30:00,2024-11-28T08:30:00,Hospitals & Healthcare Services,1.796,3.56,False,VERIFIED_CLEAN
23464,PRED_V60_0eb48630ef56,2025-07-07,2025-07-07T08:30:00,2025-07-07T08:30:00,Diversified Commercial,-3.2877,-4.71,False,VERIFIED_CLEAN
29499,PRED_V60_0616d6728511,2026-07-16,2026-07-16T08:30:00,2026-07-16T08:30:00,Financial Services,-2.4996,-0.56,False,VERIFIED_CLEAN
26530,PRED_V60_fbd12f89b0aa,2025-08-07,2025-08-07T08:30:00,2025-08-07T08:30:00,Explosives & Defence Chemicals,-0.1138,38.89,False,VERIFIED_CLEAN
8663,PRED_V60_1f7d54bd6551,2025-01-24,2025-01-24T08:30:00,2025-01-24T08:30:00,Hospitals & Diagnostic Centres,-2.7507,-7.61,False,VERIFIED_CLEAN
2034,PRED_V60_a2815189abe7,2024-11-18,2024-11-18T08:30:00,2024-11-18T08:30:00,Passenger Cars & Utility Vehicles,-0.1177,4.26,False,VERIFIED_CLEAN
14905,PRED_V60_e4d81ff47985,2025-04-03,2025-04-03T08:30:00,2025-04-03T08:30:00,Consumer Durables,-1.41,-5.26,False,VERIFIED_CLEAN
18075,PRED_V60_4369d4c9772e,2025-05-12,2025-05-12T08:30:00,2025-05-12T08:30:00,Railway Infrastructure,6.8284,25.92,False,VERIFIED_CLEAN
3394,PRED_V60_6fe7964639b2,2024-12-02,2024-12-02T08:30:00,2024-12-02T08:30:00,Software Products & Digital Services,-2.11,-6.7,False,VERIFIED_CLEAN
8132,PRED_V60_4831848aa8aa,2025-01-20,2025-01-20T08:30:00,2025-01-20T08:30:00,Railway Telecom,3.19,-29.67,False,VERIFIED_CLEAN
14654,PRED_V60_74c1e91e6266,2025-04-01,2025-04-01T08:30:00,2025-04-01T08:30:00,Tea & Coffee,-0.0852,2.6,False,VERIFIED_CLEAN
28304,PRED_V60_14affe9c7c6a,2026-07-06,2026-07-06T08:30:00,2026-07-06T08:30:00,Capital Markets & Asset Management,-2.8211,-6.4,False,VERIFIED_CLEAN
25659,PRED_V60_2135297d9589,2025-07-29,2025-07-29T08:30:00,2025-07-29T08:30:00,Oil Gas & Consumable Fuels,-5.14,16.6,False,VERIFIED_CLEAN
